SJEDNICA,STATUS,RBr,AKT,POSTUPAK,PZ_PZE,PREDLAGATELJI_CE
1,IZGLASANI,2,1. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA mr.sc. ANDREJA PLENKOVIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA LJUBICE LUKAČIĆ,,,
1,IZGLASANI,11,10. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA PRESTANAK MIROVANJA ZASTUPNIČKOG MANDATA ZASTUPNIKA dr.sc. ZLATKA HASANBEGOVIĆA I PRESTANKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA SANDE KULIĆ-MAKAR,,,
1,IZGLASANI,12,11. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA PRESTANAK MIROVANJA ZASTUPNIČKOG MANDATA ZASTUPNIKA DARKA HORVATA I PRESTANKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA NIKOLINE BABIĆ,,,
1,IZGLASANI,13,12. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA PRESTANAK MIROVANJA ZASTUPNIČKOG MANDATA ZASTUPNIKA ANTONA KLIMANA I PRESTANKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA MONIKE UDOVIČIĆ,,,
1,IZGLASANI,14,13. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA RASPRAVA O ZAHTJEVU ZA PRESTANAK MIROVANJA ZASTUPNIČKOG MANDATA ZASTUPNIKA dr.sc. MIRE KOVAČA I PRESTANKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA MARTINA BARIČEVIĆA,,,
1,IZGLASANI,15,14. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O PRESTANKU ZASTUPNIČKOG MANDATA ZAMJENIKA ZASTUPNIKA NATKA FELBARA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA DAVORA ROMIĆA,,,
1,IZGLASANI,3,2. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA DAVORA IVE STIERA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA MAJDE BURIĆ,,,
1,IZGLASANI,4,3. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA doc.dr.sc. TOMISLAVA ĆORIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA IVANA ĆELIĆA,,,
1,IZGLASANI,5,4. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA DAMIRA KRSTIČEVIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA BLAŽENKA BOBANA,,,
1,IZGLASANI,6,5. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA prof.dr.sc. MILANA KUJUNDŽIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA mr.sc. DRAGICE ROŠČIĆ,,,
1,IZGLASANI,7,6. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA doc.dr.sc. GORANA MARIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA MATU ČIČKA,,,
1,IZGLASANI,8,7. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA IVANA PENAVE I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENICE ZASTUPNIKA MARIJANE BALIĆ,,,
1,IZGLASANI,9,8. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA DRAŽENA MILINKOVIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA DAVORA MILIČEVIĆA,,,
1,IZGLASANI,10,9. IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O ZAHTJEVU ZA MIROVANJE ZASTUPNIČKOG MANDATA ZASTUPNIKA dr.sc. IVANA KOVAČIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA MARE KRISTIĆA,,,
1,IZGLASANI,3,DAVANJE PRISEGE ZASTUPNIKA,,,
1,NERASPRAVLJENI,1,GODIŠNJE IZVJEŠĆE FINANCIJSKE AGENCIJE ZA 2015. GODINU,,,Financijska agencija;
1,NERASPRAVLJENI,4,"GODIŠNJE IZVJEŠĆE HRVATSKE AGENCIJE ZA MALO GOSPODARSTVO, INOVACIJE I INVESTICIJE (HAMAG-BICRO) ZA 2015. GODINU",,,"Hrvatska agencija za malo gospodarstvo, inovacije i investicije;"
1,NERASPRAVLJENI,20,GODIŠNJE IZVJEŠĆE HRVATSKE AGENCIJE ZA NADZOR FINANCIJSKIH USLUGA ZA 2015. GODINU,,,Hrvatska agencija za nadzor financijskih usluga;
1,NERASPRAVLJENI,2,GODIŠNJE IZVJEŠĆE HRVATSKE ZAKLADE ZA ZNANOST ZA 2015. GODINU,,,Hrvatska zaklada za znanost;
1,NERASPRAVLJENI,16,GODIŠNJE IZVJEŠĆE O RADU AGENCIJE ZA TRŽIŠNO NATJECANJE ZA 2015. GODINU,,,Agencija za zaštitu tržišnog natjecanja;
1,NERASPRAVLJENI,11,GODIŠNJE IZVJEŠĆE O RADU DRŽAVNE KOMISIJE ZA KONTROLU POSTUPAKA JAVNE NABAVE ZA 2015. GODINU,,,Državna komisija za kontrolu postupaka javne nabave;
1,NERASPRAVLJENI,18,GODIŠNJE IZVJEŠĆE O RADU DRŽAVNOG ODVJETNIŠTVA ZA 2015. GODINU,,,Državno odvjetništvo Republike Hrvatske;
1,NERASPRAVLJENI,9,GODIŠNJE IZVJEŠĆE O RADU HRVATSKE REGULATORNE AGENCIJE ZA MREŽNE DJELATNOSTI ZA 2015. GODINU,,,Hrvatska regulatorna agencija za mrežne djelatnosti;
1,NERASPRAVLJENI,13,GODIŠNJE IZVJEŠĆE O RADU NADZORNOG ODBORA HRT-a TE PROVEDBI NADZORA ZAKONITOSTI RADA I POSLOVANJA HRT-a ZA RAZDOBLJE 1. SIJEČNJA 2015. DO 31. PROSINCA 2015.,,,Nadzorni odbor Hrvatske radiotelevizije;
1,NERASPRAVLJENI,24,GODIŠNJE IZVJEŠĆE O RADU UPRAVNOG VIJEĆA HINE ZA 2014. GODINU,,,Hrvatska izvještajna novinska agencija;
1,IZGLASANI,3,GODIŠNJI FINANCIJSKI IZVJEŠTAJI HRVATSKE BANKE ZA OBNOVU I RAZVITAK (HBOR) ZA 2015. GODINU,,,Hrvatska banka za obnovu i razvitak;
1,NERASPRAVLJENI,10,GODIŠNJI IZVJEŠTAJ O RADU NACIONALNE ZAKLADE ZA RAZVOJ CIVILNOGA DRUŠTVA ZA 2015. GODINU,,,Upravni odbor Nacionalne zaklade za razvoj civilnoga društva;
1,IZGLASANI,4,IZBOR POTPREDSJEDNIKA HRVATSKOGA SABORA,,,
1,IZGLASANI,1,"IZBOR PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA MANDATNO-IMUNITETNOG POVJERENSTVA",,,
1,IZGLASANI,6,"IZBOR PREDSJEDNIKA, POTPREDSJEDNIKA I ČLANOVA RADNIH TIJELA HRVATSKOGA SABORA",,,
1,IZGLASANI,16,IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O POČETKU MIROVANJA ZASTUPNIČKOG MANDATA ZASTUPNIKA BRANIMIRA GLAVAŠA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA mr.sc. JOSIPA SALAPIĆA,,,
1,IZGLASANI,1,IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O POČETKU MIROVANJA ZASTUPNIČKOG MANDATA ZASTUPNIKA JOSIPA KATALINIĆA I POČETKU OBNAŠANJA ZASTUPNIČKE DUŽNOSTI ZAMJENIKA ZASTUPNIKA MARKA SLADOLJEVA,,,
1,IZGLASANI,2,IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA O PROVEDENIM IZBORIMA,,,
1,IZGLASANI,9,IZVJEŠĆE MANDATNO-IMUNITETNOG POVJERENSTVA;,,,
1,NERASPRAVLJENI,19,IZVJEŠĆE O OBAVLJENOJ REVIZIJI GODIŠNJEG IZVJEŠTAJA O IZVRŠENJU DRŽAVNOG PRORAČUNA REPUBLIKE HRVATSKE ZA 2015. GODINU,,,Državni ured za reviziju;
1,IZGLASANI,1,IZVJEŠĆE O OBAVLJENOJ REVIZIJI VISOKIH UČILIŠTA ZA 2014. GODINU,,,Državni ured za reviziju;
1,NERASPRAVLJENI,17,IZVJEŠĆE O POSLOVANJU FONDA HRVATSKIH BRANITELJA IZ DOMOVINSKOG RATA I ČLANOVA NJIHOVIH OBITELJI ZA 2015. GODINU,,,Fond hrvatskih branitelja iz Domovinskog rata i članova njihovih obitelji;
1,NERASPRAVLJENI,23,IZVJEŠĆE O POSLOVANJU HRVATSKE RADIOTELEVIZIJE ZA 2014. GODINU,,,Glavni ravnatelj Hrvatske radiotelevizije;
1,NERASPRAVLJENI,6,IZVJEŠĆE O RADU AGENCIJE ZA ZAŠTITU OSOBNIH PODATAKA ZA 2015. GODINU,,,Agencija za zaštitu osobnih podataka;
1,NERASPRAVLJENI,15,IZVJEŠĆE O RADU HRVATSKE AKADEMIJE ZNANOSTI I UMJETNOSTI U 2015. GODINI - sažetak,,,Hrvatska akademija znanosti i umjetnosti;
1,NERASPRAVLJENI,8,IZVJEŠĆE O RADU HRVATSKE ENERGETSKE REGULATORNE AGENCIJE ZA 2015. GODINU I IZVJEŠĆE O OSTVARENJU PRORAČUNA HRVATSKE ENERGETSKE REGULATORNE AGENCIJE ZA 2015. GODINU,,,Hrvatska energetska regulatorna agencija;
1,NERASPRAVLJENI,7,IZVJEŠĆE O RADU HRVATSKOG MEMORIJALNO-DOKUMENTACIJSKOG CENTRA DOMOVINSKOG RATA ZA 2015. GODINU,,,Hrvatski memorijalno-dokumentacijski centar Domovinskog rata;
1,NERASPRAVLJENI,14,IZVJEŠĆE O RADU I POSLOVANJU HRVATSKOG ZAVODA ZA MIROVINSKO OSIGURANJE ZA 2015. GODINU,,,Hrvatski zavod za mirovinsko osiguranje;
1,NERASPRAVLJENI,5,IZVJEŠĆE O RADU NACIONALNOG VIJEĆA ZA RAZVOJ LJUDSKIH POTENCIJALA ZA 2015. GODINU,,,Nacionalno vijeće za razvoj ljudskih potencijala;
1,IZGLASANI,5,IZVJEŠĆE O RADU ODBORA ZA PREDSTAVKE I PRITUŽBE ZA 2015. GODINU,,,Odbor za predstavke i pritužbe;
1,IZGLASANI,4,IZVJEŠĆE O RADU POVJERENSTVA ZA ODLUČIVANJE O SUKOBU INTERESA ZA 2015. GODINU,,,Povjerenstvo za odlučivanje o sukobu interesa;
