Priimek,Števec
prikl,0
tomić,2
trček,5
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,1
brglez,0
košnik,0
horvat,2
koleša,0
kramar,0
matić,1
murgel,1
rajić,0
shaker,1
dolinšek,2
škodnik,0
škopac,0
zajc,0
zorman,1
gantar,0
hainz,1
hršak,1
kotnik,0
levičar,0
battelli,0
breznik,7
brinovšek,1
grims,4
irgl,2
lep,198
logar,14
mahnič,6
podkrajšek,0
pojbič,2
šircelj,4
muršič,0
nemec,0
horvat,2
vrtovec,1
kovačič,0
hanžek,1
kordiš,1
škoberne,0
vilfan,0
veber,1
krajnc,0
janša,21
göncz,0
tanko,65
novak,2
han,10
sluga,0
tonin,7
jurša,10
gorenak,43
vervega,0
potočnik,3
kopmajer,0
žibert,9
godec,0
krivec,6
lisec,1
pogačnik,8
žnidar,4
dimic,1
tašner,0
bizjak,1
lipicer,0
möderndorfer,7
verbič,7
mesec,72
čuš,0
laj,1
ljubič,0
počkaj,0
bratušek,7
lah,4
dobovšek,8
bačič,0
klanjšček,0
radič,0
tabaković,0
