Beseda,Števec
biti,7706
ta,6274
jesti,4869
in,4790
da,4442
se,3012
ne,2936
v,2876
pa,2466
na,1963
jaz,1834
imeti,1544
ki,1418
ker,1408
za,1318
on,1273
ves,1143
o,1010
sam,968
če,952
kar,936
še,916
kaj,895
ali,883
tudi,864
vedeti,831
tak,775
zato,740
lahek,730
ampak,703
že,672
sem,649
en,640
s,620
seveda,611
kot,603
ti,592
danes,587
resnica,563
iti,551
drug,544
z,541
tisti,539
potem,529
zelo,513
ko,485
stvar,453
problem,443
povedati,427
nek,425
do,411
zakon,410
govoriti,409
več,390
mora,369
jasen,368
kak,366
svoj,365
po,359
oda,358
zaradi,345
reklo,345
seja,339
vlada,338
državen,338
nekaj,333
zdaj,330
tukaj,328
ozir,321
priti,320
res,303
kateri,301
odbor,298
kdo,298
predlog,289
narediti,284
zbor,279
kakšen,279
misliti,277
poslanec,276
predsednik,271
naprej,268
predlagati,265
si,262
nič,262
zakaj,262
sploh,253
vprašanje,252
sklep,251
bolj,248
razprava,247
javen,247
komisija,246
pomemben,244
vedno,242
videti,240
iz,233
dati,230
treba,225
mena,224
postopek,223
konec,222
prav,219
razpravljati,218
zdeti,216
čas,216
dober,211
takšen,208
cel,201
moči,201
morati,199
lep,198
del,197
velik,194
država,194
pri,189
razumeti,189
enkrat,188
let,187
naj,186
nit,182
določen,182
noben,178
vsak,177
hoteti,176
pogovarjati,175
namreč,175
minister,175
delati,173
dobiti,172
primer,168
predvsem,163
način,163
sedaj,162
mali,161
odločati,159
kjer,158
dva,158
reči,155
pač,153
gospoda,152
takrat,151
stran,149
naslednji,147
glede,147
pred,147
saj,146
nov,146
kolega,146
preprost,144
slovenija,142
človek,141
zadeva,138
pravi,138
morala,138
pogledati,137
resen,137
zgoditi,137
nekdo,136
reč,135
prej,135
bistvo,134
ministrstvo,132
tam,132
trije,131
bit,130
dejstvo,129
enostaven,128
tu,127
skupina,127
vaš,127
govor,126
pomen,125
stanovanje,122
ostal,122
političen,121
verjeti,120
moj,120
–,120
poslovnik,120
isti,119
pravzaprav,119
tolik,119
točka,119
nadaljevanje,118
začeti,117
drugače,116
gledati,116
slišati,113
stanovanjski,112
prejšnji,112
kje,111
znotraj,111
sicer,111
pravica,111
začetek,109
želeti,107
vsaj,105
potreben,105
nikoli,104
mvka,103
denar,101
podatek,100
podlaga,99
sredstvo,99
zanimati,99
breza,98
odločitev,98
proračun,97
svet,95
odločiti,95
zadnji,95
skupaj,94
vendar,94
sodišče,94
dan,94
strinjati,94
predlagatelj,93
govorilo,93
najprej,92
sprejeti,92
sistem,92
ja,92
poročilo,92
politika,91
praksa,91
oseben,91
posebej,91
sprememba,91
dokument,90
prositi,88
poslanski,87
ministrica,86
rad,86
kdaj,85
sds,85
ugotoviti,84
razlog,84
zraven,84
možnost,83
namen,83
poslušati,83
sklad,83
leto,82
red,81
tikati,80
mandat,79
ukvarjati,79
početi,79
hvala,78
spremeniti,78
vprašati,77
večina,76
eden,76
zakonodaja,76
delo,75
dajati,75
član,75
dejanski,74
lokalen,73
spet,73
nihče,73
beseda,73
skratka,73
prebrati,72
člen,72
mesec,72
