Priimek,Števec
prikl,5
tomić,0
trček,4
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,3
prelog,0
ranc,4
šergan,0
zorčič,0
dekleva,1
brglez,0
košnik,0
horvat,4
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,3
levičar,0
battelli,0
breznik,1
brinovšek,0
grims,0
irgl,0
lep,74
logar,1
mahnič,0
podkrajšek,0
pojbič,0
šircelj,5
muršič,0
nemec,1
horvat,4
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,2
vilfan,0
veber,3
krajnc,0
janša,2
göncz,0
tanko,1
novak,0
han,2
sluga,1
tonin,3
jurša,2
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,4
lisec,0
pogačnik,2
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,0
verbič,7
mesec,124
čuš,0
laj,1
ljubič,0
počkaj,0
bratušek,4
lah,0
dobovšek,2
bačič,0
klanjšček,0
radič,0
tabaković,0
