Priimek,Števec
prikl,4
tomić,2
trček,3
ban,0
cink,0
ferluga,0
kavčič,1
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,2
dekleva,0
brglez,0
košnik,0
horvat,2
koleša,0
kramar,0
matić,6
murgel,1
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,1
zajc,0
zorman,0
gantar,1
hainz,4
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,109
logar,1
mahnič,4
podkrajšek,0
pojbič,3
šircelj,2
muršič,0
nemec,1
horvat,2
vrtovec,3
kovačič,0
hanžek,0
kordiš,1
škoberne,0
vilfan,1
veber,2
krajnc,0
janša,6
göncz,0
tanko,2
novak,0
han,0
sluga,0
tonin,0
jurša,2
gorenak,3
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,2
krivec,4
lisec,2
pogačnik,0
žnidar,1
dimic,0
tašner,0
bizjak,1
lipicer,1
möderndorfer,1
verbič,0
mesec,106
čuš,4
laj,2
ljubič,0
počkaj,0
bratušek,48
lah,3
dobovšek,1
bačič,0
klanjšček,1
radič,0
tabaković,0
