Beseda,Števec
biti,5157
da,3212
in,2955
v,2771
jesti,2742
ta,2678
se,2005
pa,1918
za,1749
na,1743
tudi,1545
ki,1071
ne,1060
sam,765
jaz,765
ves,735
o,705
tak,620
imeti,607
sem,567
on,562
s,539
ali,502
zakon,497
kot,486
ampak,478
seveda,464
po,452
slovenija,445
mlad,440
še,415
vlada,409
že,404
ko,404
povedati,379
do,372
ker,372
lahek,371
danes,364
z,359
let,355
če,344
kar,342
nekaj,341
država,339
en,337
drug,331
državen,317
kaj,300
velik,293
področje,289
nek,289
iti,281
ozir,281
misliti,261
vedeti,260
iz,256
dober,253
več,250
zbor,246
predlog,245
zdaj,239
razprava,231
sredstvo,229
slovenski,223
oda,221
naš,221
odbor,220
pri,218
kak,216
evropski,215
svoj,212
kateri,204
center,199
rad,198
zato,197
poslanski,194
si,193
človek,191
torej,191
treba,187
stran,187
del,185
potem,181
šport,179
narediti,178
problem,178
tukaj,175
urgenten,175
ti,171
mora,171
zelo,167
moj,165
ministrica,163
reči,162
politika,161
nov,161
nekak,161
–,160
predvsem,159
seja,158
skupina,157
kakšen,157
saj,154
nič,154
predlagati,154
dan,153
beseda,153
zaradi,153
ever,152
mali,149
ob,149
govoriti,148
dobiti,148
ministrstvo,146
sploh,145
zadnji,143
mnenje,142
svet,142
čas,142
problematika,140
leto,140
konkreten,138
vprašanje,135
glede,135
morala,134
dati,133
videti,132
stranka,132
hvala,131
ukrep,131
ter,131
sklep,130
mladinski,130
mogoč,129
dva,128
žal,126
kdo,124
morati,124
tisti,124
vsak,123
gospoda,122
program,121
prav,120
pogovarjati,119
pripravništvo,119
slab,118
sprememba,117
rešitev,115
pred,115
republika,114
poslanec,114
bolj,113
nekateri,113
javen,113
lep,109
priti,108
res,108
želeti,108
mesec,106
naprej,105
verjeten,105
koalicija,104
prvi,104
sicer,104
gospa,102
mladina,102
takrat,102
socialen,99
prej,98
strinjati,97
nacionalen,96
naj,96
organizacija,96
ptovati,95
volonterski,95
predsednik,95
deloven,95
vaš,95
podpreti,94
tisoč,94
študentski,93
kolega,93
zdeti,91
prihodnji,90
postopek,90
delo,89
minister,89
občina,88
raven,88
podpirati,87
spoštovan,87
trije,87
sprejeti,86
bit,86
k,85
končen,85
vseeno,85
stanje,84
arhiv,84
proračun,84
visok,84
milijon,84
pravica,84
konec,84
zakonodaja,84
preteklost,82
zanimati,82
vsaj,81
unija,81
obravnava,81
delati,80
cerar,80
spet,79
govor,79
sprejet,78
komisija,78
sedaj,78
čim,77
sistem,76
takšen,76
politik,76
proti,75
primer,74
zdravstvo,74
kultura,74
tam,74
dogajati,74
športen,73
reklo,72
šolstvo,72
denar,72
mir,71
prihodnost,70
moči,70
pričakovati,69
predstavnik,69
sektor,68
izmed,68
reč,68
razvoj,68
izobraževanje,68
zadeva,67
tu,67
političen,67
odgovor,67
pomemben,67
mesto,67
kolegica,66
cel,66
reforma,66
vedno,66
finančen,65
vložiti,65
pripraviti,65
gledati,65
skupaj,64
namen,64
precej,64
kjer,63
med,62
meniti,62
družba,62
prejšnji,62
športnik,61
nujen,61
prisoten,60
zakaj,60
okolje,60
pravi,60
gospod,60
projekt,60
opozorilo,59
ugotavljati,58
pogledati,58
praksa,58
javnost,57
služba,57
podatek,57
kdaj,57
slišati,57
opozicija,57
financiranje,57
član,56
poslušati,56
ugotoviti,55
lokalen,55
sds,55
dodaten,55
zdravstven,54
razpis,54
pripravnik,54
ukvarjati,53
kazati,53
priprava,53
prositi,52
opozarjati,52
faza,52
namreč,52
nad,52
doba,52
regija,52
skupnost,51
upati,51
lepahvala,51
noben,51
stališče,50
podlaga,50
začetek,50
demokratski,49
govorilo,49
sistemski,49
stopiti,49
potekati,48
spodnji,48
bratušek,48
teden,48
enkrat,48
zgoditi,48
prebrati,47
prepričan,47
strokoven,46
dijak,46
mena,46
podpora,46
opozoriti,46
strategija,45
najbolj,45
dovolj,45
gospodarstvo,45
možnost,44
2015,44
potreben,44
aktivnost,44
izvajanje,44
stvar,44
volitve,44
začeti,44
zagotovo,44
alenka,43
vzgoja,43
bistvo,43
obdobje,43
delovanje,42
vprašati,42
praven,42
nihče,42
člen,42
preko,42
urediti,42
pač,42
vesel,42
isti,42
omenjen,42
breza,42
avstrija,42
2014,41
potrebovati,41
dr,41
dolg,41
splošen,41
odgovarjati,41
težava,40
državljanski,40
šola,40
storiti,40
podravje,40
dom,40
občutek,40
pomoč,40
razpravljati,40
izgradnja,40
postaviti,40
sodišče,39
raziskava,39
odgovornost,39
veljati,38
čakati,38
hvalahvala,38
zveza,38
predstavljati,38
generacija,38
red,38
rok,38
dejanje,38
standard,37
roka,37
stanovanjski,37
dejstvo,37
naslednji,37
življenje,37
zaposlovanje,37
organ,37
nit,37
očiten,37
star,37
povedan,36
pristopiti,36
plača,36
načrt,36
ogromen,36
papir,36
človekov,36
odločiti,36
nazaj,36
izvajati,36
število,36
manj,35
davek,35
analiza,35
strošek,35
pogoj,35
kulturen,35
pomen,35
sodelovanje,35
medgeneracijski,34
težek,34
kje,34
dovoliti,34
pobuda,34
pet,34
kljub,34
vključiti,34
način,34
primeren,34
upoštevati,34
interes,34
sklop,33
dajati,33
zavrniti,33
medij,33
bolnišnica,33
skoraj,33
mreža,33
finance,33
gradivo,33
pol,33
točka,33
noveti,32
današnji,32
omogočiti,32
zdravje,32
državljan,32
mednaroden,32
velikokrat,32
zaseben,32
ura,32
kolik,32
kandidat,32
družina,32
nadaljevanje,32
razmerje,32
mandat,31
marsikdo,31
nekdo,31
nadzor,31
sklad,31
rebalans,31
ljubljana,31
pravosodje,31
imenovanje,30
zagotoviti,30
stanovanje,30
pripravljati,30
razmišljati,30
vsebina,30
podjetje,30
dediščina,30
odnos,30
sprejemati,30
premalo,30
predloga,30
jasen,30
podoben,30
cilj,30
zagovarjati,30
urejati,30
plačati,29
zakonski,29
resor,29
pripravljen,29
skozi,29
bivši,29
imenovan,29
ptuj,29
čakalen,29
smer,29
glas,29
eden,29
poslanka,29
širok,29
zakonodajen,28
reševanje,28
podati,28
sklic,28
posameznik,28
vezan,28
živeti,28
slediti,28
3,28
tujina,28
parlament,28
20,28
dodati,28
vojen,28
delovati,28
tikati,28
slovenec,28
verjeti,27
prihajati,27
hoteti,27
zavedati,27
univerza,27
koalicijski,27
prioriteta,27
telo,27
haloza,27
dokument,27
potreba,27
medicinski,27
pomagati,27
pozitiven,27
izpostaviti,27
iskati,27
vojska,27
nameniti,27
žrtev,26
nato,26
ovira,26
pristojen,26
reden,26
le,26
potek,26
mnog,26
čez,26
voda,26
usten,26
poplava,26
grobišče,26
minuta,25
območje,25
štirje,25
trg,25
dneven,25
2012,25
njihov,25
enostaven,25
predstaviti,25
moralen,25
odgovoren,25
dama,25
glava,25
župan,25
spomniti,25
takoj,25
enak,25
prizadevati,25
trend,25
dejavnost,25
raje,25
ostal,25
študent,25
rešiti,25
dogajanje,25
vloga,24
zahteva,24
prisluhniti,24
a,24
banka,24
oseben,24
aktiven,24
čist,24
predlagatelj,24
apelirati,24
plačevati,24
prebivalec,24
zavod,24
evropa,24
določen,24
razen,24
storitev,24
razočaran,24
pod,24
rezultat,24
dostojen,24
urad,24
trenuten,24
igra,23
sprava,23
zgolj,23
birokratski,23
vidik,23
lani,23
začet,23
ormož,23
račun,23
kolikor,23
zgodovina,23
pogodba,23
osnoven,23
včeraj,23
izobraževalen,23
močen,23
veljaven,23
glasovati,23
obstoječ,23
daleč,23
pridobiti,23
varnost,23
popraviti,23
praviti,23
sodelovati,23
zaključek,22
znanje,22
ostanek,22
razlog,22
2,22
spoštovati,22
vsebinski,22
okvir,22
infrastruktura,22
ustrezen,22
članica,22
ustvarjati,22
rabiti,22
plačilo,22
sprejemanje,22
pozivati,22
glaven,22
15,22
kandidatek,22
hiter,22
celoten,22
mandati,22
približen,22
določati,22
spremeniti,22
kriza,22
fundacija,22
tolik,22
njegov,22
posmrten,21
zaslišanje,21
postati,21
resolucija,21
argument,21
najti,21
oblikovanje,21
zaskrbljujoč,21
korupcija,21
letos,21
svetoven,21
slovenka,21
moč,21
obravnavati,21
razvit,21
ustava,21
uspešen,21
možen,21
poročilo,21
situacija,21
korak,21
spraševati,21
parlamentaren,21
vključevati,21
poiskati,21
edin,21
prvič,21
zaposlitev,20
prehrana,20
dogodek,20
škoda,20
problematičen,20
skupen,20
razumeti,20
ustaven,20
2013,20
lasten,20
brati,20
zaposlen,20
fakulteta,20
spremljati,20
jemati,20
odpreti,20
letošnji,20
zadolževati,20
boriti,20
zujf,20
napaka,20
skrb,20
10,20
sreča,20
pokazati,20
partner,20
ureditev,20
mesten,20
opraviti,20
5,20
etičen,20
kriv,20
vendar,19
prostor,19
odločati,19
november,19
zadolževanje,19
predmet,19
večina,19
blagajna,19
prispevek,19
večkrat,19
dopolnitev,19
noč,19
povprečen,19
oškodovanec,19
analiziranje,19
živ,19
novel,19
uredba,19
položaj,19
tretji,19
plačan,19
boj,19
islamski,19
prizadevanje,19
načelo,19
pripomba,19
miza,19
soglasen,19
potrditi,19
sekretar,19
pristop,19
amandmaj,19
komaj,19
resnica,19
dialog,19
obramba,19
opravljati,18
majhen,18
leten,18
invalidski,18
rezerva,18
amand,18
600,18
odprt,18
vplivati,18
nikoli,18
predsedujoč,18
uporaba,18
korekten,18
kmetijstvo,18
institucija,18
predstavitev,18
pot,18
priložnost,18
gradnja,18
drugič,18
marsikateri,18
smiseln,18
civilen,18
tema,18
volja,17
realizacija,17
opravljen,17
državljanka,17
osamosvojitev,17
poseg,17
deliti,17
znanost,17
upravičen,17
ponosen,17
matičen,17
nadaljevati,17
ocena,17
lotiti,17
zahvaliti,17
2016,17
mera,17
gorišnica,17
združen,17
vzeti,17
poziv,17
marec,17
kmetija,17
usklajen,17
kratek,17
otrok,17
čeprav,17
prejeti,17
bolje,17
delež,17
