Priimek,Števec
prikl,28
tomić,4
trček,25
ban,38
cink,1
ferluga,7
kavčič,3
kotnik,5
prelog,0
ranc,0
šergan,9
zorčič,1
dekleva,0
brglez,3
košnik,0
horvat,37
koleša,1
kramar,4
matić,1
murgel,1
rajić,0
shaker,6
dolinšek,0
škodnik,3
škopac,1
zajc,1
zorman,5
gantar,5
hainz,0
hršak,2
kotnik,5
levičar,3
battelli,3
breznik,9
brinovšek,2
grims,1
irgl,0
lep,842
logar,21
mahnič,0
podkrajšek,2
pojbič,0
šircelj,2
muršič,3
nemec,46
horvat,37
vrtovec,53
kovačič,20
hanžek,0
kordiš,11
škoberne,9
vilfan,3
veber,20
krajnc,3
janša,75
göncz,0
tanko,0
novak,0
han,6
sluga,2
tonin,5
jurša,0
gorenak,2
vervega,2
potočnik,1
kopmajer,1
žibert,4
godec,0
krivec,0
lisec,0
pogačnik,103
žnidar,1
dimic,4
tašner,0
bizjak,3
lipicer,8
möderndorfer,9
verbič,14
mesec,253
čuš,8
laj,0
ljubič,0
počkaj,0
bratušek,169
lah,10
dobovšek,10
bačič,0
klanjšček,0
radič,0
tabaković,0
