Beseda,Števec
biti,16006
ta,14839
in,10288
jesti,9441
da,9254
v,5852
za,5496
se,5394
na,5257
ne,4311
tudi,4309
jaz,3428
ki,3089
pa,3023
ali,2607
o,2465
imeti,2412
tak,2405
tukaj,2333
on,1994
seveda,1959
če,1885
s,1882
še,1720
dejanski,1649
ves,1561
banka,1546
z,1507
vlada,1504
lahek,1460
državen,1453
slovenija,1364
glede,1364
kot,1351
drug,1295
kaj,1281
že,1235
zdaj,1220
gospoda,1175
nek,1173
ker,1170
misliti,1153
zaradi,1127
potem,1120
ampak,1118
zakon,1089
pač,1083
vprašanje,1058
finance,1035
ti,1008
sam,988
iti,982
vedeti,967
država,940
ozir,927
komisija,918
naprej,901
kar,872
tisti,860
lep,842
proračun,813
javen,810
do,773
en,772
let,768
velik,754
govoriti,747
gospa,745
beseda,745
sodišče,744
sem,737
sklep,735
iz,726
kdo,719
zadeva,716
ministrstvo,695
kakšen,690
oda,682
po,677
seja,664
povedati,659
evropski,650
danes,648
nekaj,646
narediti,645
sedaj,634
dati,631
stran,622
verjeten,617
več,612
treba,606
predlagati,595
računski,582
davčen,576
kak,568
ko,568
kateri,567
zanimati,558
zbor,541
leto,538
priti,533
pri,533
reklo,533
pomen,530
nadzor,506
minister,495
želeti,494
davek,493
gospod,486
denar,484
tu,468
spoštovan,465
točka,464
predstavnik,457
finančen,452
dobiti,450
razprava,441
kolik,441
človek,439
predvsem,435
zelo,430
nov,421
red,421
predsednik,421
–,416
mora,404
slovenski,402
predlog,402
zakaj,383
podatek,380
takšen,379
mnenje,378
svoj,373
sklad,367
del,366
zato,362
milijon,358
način,358
bolj,354
pravi,354
ukrep,350
skratka,349
področje,348
naj,346
določen,342
noben,338
podlaga,332
dneven,331
ob,331
takrat,329
morda,328
sredstvo,327
izvoliti,326
praven,326
primer,326
tolik,326
nič,324
republika,324
zgoditi,323
enostaven,321
sicer,321
zveza,320
odgovor,319
žeti,318
nekateri,318
občina,315
dolg,312
račun,311
nit,309
dva,307
podjetje,307
odbor,305
dajati,304
pogledati,303
dan,303
enkrat,302
gledati,302
terjatev,292
vendar,289
dodaten,287
sistem,285
politika,283
glasovati,280
ostal,278
član,276
morati,276
kjer,274
2014,273
prvi,273
proti,270
stranka,270
poročilo,270
člen,266
kolega,266
dober,263
mesec,253
slab,252
si,251
težava,251
med,250
moči,246
manj,243
sprejeti,243
sprejet,241
navsezadnje,241
prositi,239
moj,239
reč,235
bistvo,235
2015,234
koalicija,233
milijarda,232
uprava,230
delovati,230
ugotavljati,228
mali,227
nadaljevanje,227
čas,226
naslednji,225
svet,224
razumeti,220
k,218
delati,213
sekretarka,213
družba,212
različen,210
izvolitehvala,208
reči,207
govor,207
sprememba,207
tam,206
razlog,204
vedno,203
najprej,203
bančen,202
sekretar,202
dogajati,200
kolegica,199
pred,197
videti,195
strinjati,195
informacija,195
ever,194
postopek,192
plačevati,192
bit,192
mena,191
