Priimek,Števec
prikl,2
tomić,12
trček,30
ban,7
cink,8
ferluga,19
kavčič,1
kotnik,3
prelog,5
ranc,9
šergan,11
zorčič,2
dekleva,3
brglez,1
košnik,0
horvat,9
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,2
dolinšek,4
škodnik,4
škopac,7
zajc,12
zorman,3
gantar,2
hainz,0
hršak,0
kotnik,3
levičar,8
battelli,0
breznik,26
brinovšek,0
grims,1
irgl,1
lep,54
logar,3
mahnič,0
podkrajšek,12
pojbič,1
šircelj,3
muršič,0
nemec,7
horvat,9
vrtovec,0
kovačič,0
hanžek,0
kordiš,3
škoberne,5
vilfan,1
veber,1
krajnc,0
janša,0
göncz,0
tanko,0
novak,3
han,2
sluga,3
tonin,28
jurša,1
gorenak,1
vervega,2
potočnik,6
kopmajer,4
žibert,1
godec,3
krivec,20
lisec,11
pogačnik,9
žnidar,3
dimic,12
tašner,0
bizjak,0
lipicer,0
möderndorfer,5
verbič,1
mesec,18
čuš,7
laj,1
ljubič,0
počkaj,0
bratušek,15
lah,2
dobovšek,0
bačič,9
klanjšček,2
radič,0
tabaković,6
