Priimek,Števec
prikl,0
tomić,6
trček,14
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,2
košnik,0
horvat,0
koleša,0
kramar,0
matić,2
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,3
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,1
lep,67
logar,0
mahnič,1
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,0
horvat,0
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,1
göncz,2
tanko,0
novak,1
han,0
sluga,0
tonin,1
jurša,0
gorenak,4
vervega,0
potočnik,0
kopmajer,0
žibert,2
godec,0
krivec,6
lisec,6
pogačnik,0
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,1
möderndorfer,5
verbič,0
mesec,23
čuš,2
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,1
dobovšek,0
bačič,3
klanjšček,0
radič,0
tabaković,0
