Priimek,Števec
prikl,0
tomić,2
trček,9
ban,1
cink,0
ferluga,1
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,4
dekleva,3
brglez,3
košnik,0
horvat,9
koleša,2
kramar,1
matić,7
murgel,3
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,1
zorman,1
gantar,2
hainz,2
hršak,0
kotnik,0
levičar,3
battelli,3
breznik,4
brinovšek,0
grims,4
irgl,9
lep,481
logar,2
mahnič,0
podkrajšek,0
pojbič,0
šircelj,1
muršič,4
nemec,2
horvat,9
vrtovec,1
kovačič,0
hanžek,6
kordiš,1
škoberne,2
vilfan,2
veber,1
krajnc,0
janša,42
göncz,0
tanko,3
novak,0
han,9
sluga,5
tonin,0
jurša,7
gorenak,16
vervega,0
potočnik,0
kopmajer,0
žibert,4
godec,0
krivec,2
lisec,1
pogačnik,0
žnidar,8
dimic,2
tašner,0
bizjak,0
lipicer,9
möderndorfer,6
verbič,7
mesec,79
čuš,0
laj,2
ljubič,0
počkaj,0
bratušek,6
lah,0
dobovšek,3
bačič,0
klanjšček,0
radič,0
tabaković,0
