Beseda,Števec
biti,14864
ta,9253
da,8714
jesti,8362
in,6839
v,4854
se,4492
ne,3757
na,3699
pa,3363
za,3343
tudi,3193
ki,2797
jaz,2656
o,2310
on,1851
tak,1775
še,1352
ves,1344
govoriti,1338
če,1256
imeti,1243
ampak,1229
kot,1215
nek,1190
s,1157
sam,1139
ti,1130
ali,1126
lahek,1108
vedeti,1058
kar,1047
ker,1038
drug,1033
tisti,1032
iti,1026
zakon,966
potem,956
zadeva,925
ko,921
z,916
kaj,902
ozir,862
seveda,857
že,827
danes,791
država,769
tukaj,766
sem,748
nekaj,744
do,739
po,723
zato,717
misliti,669
res,669
povedati,668
pri,664
en,662
pač,654
oda,641
problem,619
velik,605
nekak,586
glede,579
državen,570
več,567
stran,557
svoj,552
slovenija,539
način,537
slovenski,525
razprava,521
kakšen,521
iz,517
lep,481
pravi,479
prav,475
priti,472
nekateri,470
naš,469
vaš,469
kak,465
del,458
stranka,452
zelo,451
želeti,451
zdaj,444
prej,443
pomemben,443
vlada,441
dober,431
kateri,419
takrat,418
pogledati,414
čas,393
zbor,387
si,380
takšen,374
naj,372
dejanski,367
spoštovan,366
pravica,366
sistem,364
dejstvo,364
zakaj,347
področje,341
odgovor,341
narediti,337
moči,325
sodišče,323
kajti,321
zdeti,321
konkreten,321
morati,319
minister,318
postopek,317
–,317
beseda,317
treba,314
podatek,311
naprej,311
seja,310
bolj,306
morala,304
let,302
reklo,298
hvala,291
človek,291
verjeten,291
javen,290
vprašanje,289
predlagati,289
enkrat,287
predlog,287
potreben,283
poročilo,282
stvar,281
mora,279
državljan,277
govor,274
bit,273
ministrstvo,273
zaradi,273
dobiti,271
morda,270
predvsem,265
nekdo,264
kdo,262
mnenje,262
namreč,262
meniti,261
raven,256
nazadnje,255
primer,254
saj,251
sedaj,248
demokratski,247
stanje,244
dati,242
vedno,241
dan,241
posamezen,237
sprememba,237
vendar,236
zanimati,236
sploh,235
predsednik,232
jasen,232
mena,226
videti,225
kjer,225
pred,225
političen,223
gotov,217
predsedujoč,215
poslanec,214
ministrica,213
verjeti,211
odbor,211
delo,208
moj,208
prvi,205
otrok,204
gospoda,203
k,202
upati,202
odločitev,202
tam,201
sicer,201
kolega,199
strinjati,197
ostal,197
ustava,194
slišati,194
človekov,194
mali,193
komisija,193
vsak,192
tolik,192
policija,190
delati,189
težek,187
nov,187
med,187
dogajati,186
cel,182
gledati,182
imenovan,181
tikati,181
skupaj,180
dokument,180
sklep,179
soden,178
nič,177
spraševati,172
ob,172
oseba,171
delovati,170
prositi,167
pomen,167
nekolik,164
ukrep,164
njihov,163
mogoč,160
sredstvo,160
enak,160
dva,159
evropski,159
funkcija,158
javnost,155
republika,155
vsaj,154
različen,154
odgovoren,153
rešitev,150
pomoč,150
kršiti,150
kje,149
člen,147
nit,147
povsem,146
nujen,146
enostaven,145
red,144
točka,144
podpreti,142
delovanje,142
ever,142
obravnavati,141
poslušati,141
skupina,140
koalicija,140
ja,140
skratka,140
prihajati,139
odgovornost,138
nenazadnje,138
nadaljevanje,138
leto,138
kolegica,137
sprejeti,137
veljati,137
organ,137
oseben,136
zdravstven,135
služba,134
žal,133
pravosodje,133
noben,132
izpostaviti,132
konec,132
svet,131
pomagati,131
sklad,130
začeti,130
zgolj,129
tu,129
korak,129
poslanski,129
slab,127
odgovoriti,126
natančen,126
možnost,125
sprejet,125
le,125
rečen,124
podlaga,123
torej,123
dovoliti,122
zakonodaja,121
problematika,120
ustaven,120
njegov,119
občina,118
številka,118
pod,118
posameznik,117
najbolj,117
praktičen,115
poročiti,114
razpravljati,114
družina,114
praven,112
spremeniti,112
razumeti,111
smeti,111
zgoditi,111
družba,111
poskrbeti,110
kršitev,110
drugače,110
manj,109
opozarjati,109
amand,108
naslednji,108
zagotovo,108
mesto,108
izjava,107
dobeseden,107
razlog,107
breza,107
tisoč,106
najprej,106
kolik,106
lepahvala,106
zame,105
praviti,105
policist,104
končen,103
trenutek,102
državljanov,102
opravljati,101
državljanka,101
denar,101
notranji,101
varnost,100
podati,98
meja,97
šola,97
absoluten,97
bistvo,97
pričakovati,97
predstavnik,97
reč,96
določen,96
čim,96
stališče,95
socialen,95
vrhoven,94
dom,94
hiter,94
omenjen,94
čeprav,93
zopet,92
znan,91
isti,91
širok,91
pravosoden,90
najti,90
oprostiti,90
nazaj,90
dodaten,90
prostor,89
potrebovati,89
živeti,89
spomniti,89
poudarjati,89
podoben,89
informacijski,88
vrsta,88
opozoriti,88
gospod,88
vojska,88
storiti,87
informacija,87
odločati,86
pogovarjati,86
proračun,86
nikoli,86
začetek,86
hud,86
begunec,85
vesel,85
poznati,85
očiten,85
težava,84
drugačen,84
resen,84
kakorkoli,84
sodnik,83
vprašati,83
predlagatelj,83
narobe,83
ter,82
a,82
oblast,82
mednaroden,81
nadzor,80
koalicijski,80
plača,80
sprejemati,80
no,80
njen,79
prihodnji,79
lokalen,79
nihče,79
migrant,79
mesec,79
ura,78
odnos,78
znesek,78
sodelovati,78
današnji,77
lasten,77
odločiti,77
strokoven,76
ustrezen,76
poslanka,76
pokazati,76
hoteti,76
iskati,76
dajati,75
visok,75
gospa,75
kpka,75
eden,75
volilen,75
klemenčič,74
nad,74
rešiti,74
preteklost,73
pozivati,73
številen,73
reči,73
kdaj,73
mnog,73
predstavljati,72
ime,72
ugotoviti,71
posledica,71
potekati,71
osnoven,71
urediti,71
situacija,71
pripravljen,70
moč,70
življenje,70
smisel,70
kazati,69
uspešen,69
poudariti,69
bolje,69
primeren,69
število,69
roka,68
skrb,68
oblika,67
medij,67
tožilec,67
korupcija,67
faza,67
pogodba,67
teren,67
mandati,67
početi,67
razlika,67
tovrsten,66
proti,66
sodelovanje,66
izvajanje,66
politika,65
zaključiti,65
nekje,65
član,65
večkrat,65
govorilo,65
veja,65
bistven,65
pravzaprav,65
zadnji,65
tema,65
razmera,64
sposoben,64
ukvarjati,63
vzeti,63
neposreden,63
skoraj,63
pooblaščenka,63
amandmajati,63
trije,63
obdobje,63
cilj,63
povezan,62
povedan,62
motiti,62
mlad,62
spreminjati,62
oni,61
podjetje,61
omogočati,61
slediti,60
finančen,60
marsikaj,60
gradivo,60
oba,60
uslužbenec,59
dolg,59
pripraviti,59
nenehen,59
program,59
obravnava,59
interes,59
nadaljevati,58
notri,58
omeniti,58
podpirati,58
okoli,58
kandidat,58
meriti,58
predmet,57
starš,57
resolucija,57
sedeti,57
sodstvo,57
ključen,56
