Priimek,Števec
prikl,13
tomić,1
trček,6
ban,3
cink,0
ferluga,4
kavčič,0
kotnik,2
prelog,0
ranc,2
šergan,1
zorčič,4
dekleva,1
brglez,6
košnik,1
horvat,31
koleša,0
kramar,2
matić,9
murgel,7
rajić,0
shaker,0
dolinšek,5
škodnik,0
škopac,0
zajc,0
zorman,4
gantar,4
hainz,0
hršak,5
kotnik,2
levičar,1
battelli,0
breznik,9
brinovšek,1
grims,4
irgl,3
lep,109
logar,5
mahnič,3
podkrajšek,0
pojbič,1
šircelj,19
muršič,1
nemec,2
horvat,31
vrtovec,1
kovačič,0
hanžek,1
kordiš,1
škoberne,0
vilfan,0
veber,5
krajnc,0
janša,22
göncz,0
tanko,2
novak,3
han,18
sluga,4
tonin,1
jurša,17
gorenak,10
vervega,0
potočnik,0
kopmajer,2
žibert,1
godec,1
krivec,25
lisec,0
pogačnik,12
žnidar,0
dimic,0
tašner,2
bizjak,1
lipicer,14
möderndorfer,12
verbič,15
mesec,87
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,42
lah,0
dobovšek,16
bačič,0
klanjšček,0
radič,0
tabaković,0
