Beseda,Števec
biti,8646
ta,7537
jesti,6397
da,5537
in,5013
v,4724
na,3146
se,2744
ki,2697
za,2634
pa,2491
ne,2432
jaz,1447
tudi,1392
on,1385
o,1299
s,1209
če,1193
nek,1159
imeti,1142
še,1028
ali,1002
z,968
kot,956
vlada,933
tak,879
tisti,849
ves,778
potem,756
slovenija,751
sam,749
državen,733
ampak,697
torej,691
kar,683
ker,635
ozir,631
lahek,626
banka,621
ko,616
ti,585
komisija,582
po,582
razprava,581
vedeti,565
svoj,548
en,537
zato,498
oda,494
iti,488
zdaj,470
drug,468
pri,464
poslanec,464
do,461
predsednik,457
minister,453
že,452
predlog,445
iz,439
država,439
kateri,424
zakon,413
kak,402
misliti,398
vprašanje,390
pač,388
glede,386
let,385
kaj,374
zbor,370
danes,367
zadeva,364
nov,360
naj,355
sem,349
primer,345
evropski,342
stranka,337
reklo,337
način,320
koalicija,319
kakšen,319
naprej,315
slovenski,314
predlagati,314
zelo,313
beseda,311
gospoda,310
raven,308
stran,307
priti,304
odbor,304
zunanji,300
seja,300
govoriti,299
želeti,298
finance,298
reči,295
pravi,295
ministrstvo,292
naš,291
velik,288
stališče,285
svet,282
slab,278
dva,278
koalicijski,276
tu,273
tukaj,272
namreč,271
politika,269
več,268
si,268
mora,266
povedati,265
sedaj,265
prej,263
pogledati,262
mnenje,259
ever,256
treba,253
pred,251
kolega,250
javen,249
takšen,247
del,247
verjeten,247
med,246
gledati,245
dober,242
kjer,241
proračun,241
odločitev,241
zaradi,240
dokument,234
saj,232
bančen,231
–,230
čas,228
sklep,226
pogled,222
dodaten,222
podlaga,219
milijon,218
sodišče,216
področje,210
nekaj,210
bolj,205
vaš,205
razlog,201
narediti,198
očiten,198
praven,195
političen,195
pogodba,194
enkrat,192
ob,191
dati,190
zakaj,184
konec,184
ukrep,183
skupina,180
sprejeti,176
ustrezen,176
pravica,175
jasen,175
sistem,174
dobiti,174
pomemben,170
člen,170
hvalahvala,170
preiskovalen,170
res,168
delovanje,166
vsak,166
verjeti,165
kandidat,162
poslanski,162
prvi,159
leto,158
dejati,156
moči,155
bit,154
imenovanje,152
problem,152
postopek,152
dutba,150
mandatnovolilen,149
podatek,148
gospod,148
moj,147
dan,147
stanje,146
zveza,146
informacija,146
pomen,145
spraševati,145
dejanski,144
luknja,144
morati,143
mandati,142
javnost,141
cerar,141
prejšnji,140
spoštovan,139
gospodarski,139
isti,139
soden,137
podpreti,136
pod,136
kdo,135
tovrsten,134
nekdo,133
visok,133
deklaracija,133
breza,132
odgovornost,131
sicer,131
takrat,131
razumeti,130
sodstvo,130
ostal,130
nadzor,129
vsaj,129
morda,129
vedno,128
poročilo,128
strokoven,127
mesto,127
parlament,127
noben,126
trije,126
strinjati,126
človekov,126
republika,126
posebej,125
predstavnik,125
človek,124
služba,123
finančen,123
konkreten,123
odgovor,123
podjetje,122
sredstvo,120
unija,118
nadaljevanje,118
ugotoviti,117
nič,117
ključen,117
parlamentaren,117
težek,116
posamezen,116
delo,115
cel,114
funkcija,114
glasovati,113
k,112
prositi,111
nadzoren,111
tisoč,110
govor,110
institucija,110
začetek,110
morala,110
lep,109
rešitev,109
videti,108
nad,108
cilj,108
zgolj,107
pripraviti,107
tikati,107
vladen,105
sprememba,105
točka,105
namen,104
seveda,102
razpravljati,102
2014,101
odločiti,101
zgodba,100
prebrati,100
proti,100
spomniti,100
glaven,99
predstavljati,99
član,98
popolnoma,98
zadnji,98
mena,97
sd,97
5,97
davčen,97
premoženje,97
poslušati,97
sekretarka,95
njegov,95
slišati,94
davek,93
današnji,93
večina,93
tam,93
nit,93
normalen,91
davkoplačevalec,91
mir,91
sodnik,90
pravosodje,90
gospa,89
podpora,89
dovoliti,89
zdeti,89
govorilo,89
obdobje,89
splošen,89
sploh,88
enak,88
smer,88
družba,88
začeti,88
gradivo,87
ustaven,87
2015,87
mesec,87
zanimati,86
obrazložitev,86
nekateri,86
uprava,86
izvajanje,86
prav,86
precej,85
denar,85
dajati,84
demokratski,84
priča,83
red,83
kljub,83
praviti,83
kajti,82
neposreden,82
bistvo,82
zakonodaja,82
odločati,81
ljubljanski,81
odgovoren,81
izreden,81
smca,81
interes,81
milijard,81
predvsem,80
oblast,79
strategija,79
upravljanje,79
vendarle,79
predsednica,79
bistven,79
opraviti,79
kolegica,78
izjava,78
potreben,78
opozicija,78
zapisati,78
organ,77
sporazum,76
ukvarjati,76
spremeniti,76
zahteva,75
spet,75
članica,75
želja,75
predsedujoč,75
sprejet,74
hkrati,74
tolik,74
vsebinski,73
rebalans,73
naslednji,73
zgoditi,73
nazaj,73
edin,73
zakonski,72
sprejemati,72
situacija,72
piš,72
stvar,71
težava,70
drugačen,70
rahel,70
mednaroden,70
citirati,70
hvala,69
kršitev,69
potrditi,69
sekretar,69
manj,68
mali,68
pripravljen,68
njihov,68
okvir,68
sodelovati,68
žeti,67
standard,67
zagotoviti,67
podpirati,67
sds,67
različen,67
pot,67
delovati,67
milijarda,66
predstaviti,66
nastal,66
kredit,66
eden,66
amand,65
zakonodajnopraven,65
predloga,64
2,63
zapisan,63
račun,63
kolik,63
relevanten,63
določen,63
drža,62
argument,62
terjatev,62
omeniti,62
veljati,62
ja,62
dolg,62
pet,62
pričakovati,62
priprava,62
enostaven,61
ugotavljati,61
korupcija,61
roka,61
oseba,61
opravljati,60
skupaj,60
zaupanje,60
malce,60
tema,60
vrhoven,59
praksa,59
kje,59
omenjen,59
kolikor,59
delati,59
šele,58
vodja,58
imenovati,58
najbolj,58
e,58
hiter,58
češ,58
zagotovo,58
majhen,57
mramor,57
zagotavljati,57
nujen,57
trenutek,57
skupen,56
prihajati,56
plača,56
zanimiv,56
zahtevati,56
nalog,56
veja,56
postaviti,56
no,56
njen,55
najti,55
podati,55
drugače,55
kriza,55
pol,55
ocena,54
državljan,54
pogajanje,54
jazbec,54
močen,54
21,54
bodisi,54
stati,54
upati,53
prihodnji,53
zaupati,53
spremljati,53
politik,53
aktiven,53
ustava,53
pomoč,53
čeprav,53
krediten,53
ter,53
zaključiti,52
nihče,52
oseben,52
sedeti,52
načelo,52
kpka,52
ime,52
zaključek,51
vidik,51
vendar,51
2013,51
reforma,51
celoten,51
fiskalen,51
možnost,50
naloga,50
potrebovati,50
3,50
načrt,50
opozoriti,50
vladajoč,50
aktualen,50
upoštevati,50
dejanje,50
nadaljevati,49
štirje,49
podroben,49
najprej,49
uraden,49
gospodarstvo,49
glas,49
nazadnje,48
bruselj,48
problematika,48
amandmaj,48
ministrica,47
faza,47
moč,47
reč,47
forum,47
izpostaviti,47
volitve,47
vloga,46
trg,46
a,46
pošten,46
čist,46
prepričati,45
oprostiti,45
posledica,45
opozarjati,45
blagajna,45
sodelovanje,45
preko,45
dragonja,45
preiskava,45
nlba,45
vseeno,45
kršiti,45
čim,45
zaveza,44
znotraj,44
združen,44
privatizacija,44
strošek,44
spreminjati,44
pogovarjati,44
integriteta,44
nekak,44
nasproten,44
rezultat,44
meriti,44
postati,43
migracijski,43
dvorana,43
razlaga,43
razmera,43
sektor,43
vprašati,43
10,43
okolje,43
omogočati,43
hud,43
nasprotje,43
širok,43
rešiti,43
socialen,43
varnosten,42
večkrat,42
sklad,42
rast,42
združenje,42
bratušek,42
ugled,42
napovedati,42
nadzornik,42
mandat,41
računski,41
dr,41
vrednost,41
izvajati,41
demokratičen,41
smeti,41
kratek,41
navajati,41
pravilen,41
navesti,41
9,41
proračunski,40
vzeti,40
kazati,40
nepravilnost,40
sistemski,40
včeraj,40
poročiti,40
direktor,40
možen,40
pravnik,40
1,40
uvod,39
napaka,39
kadrovski,39
pregled,39
razvoj,39
alenka,38
dvigniti,38
sestava,38
spoštovati,38
omogočiti,38
določati,38
oprava,38
stavek,38
pristojnost,38
pritisk,38
reševati,38
zagovarjati,38
notranji,38
odstavek,37
sestanek,37
dvomiti,37
2012,37
zavzemati,37
stopnja,37
dovolj,37
skladen,37
telo,37
temeljen,37
4,37
nenazadnje,37
poudarjati,37
miza,37
odgovoriti,37
dilema,37
deležnik,37
opozorilo,37
obstajati,36
krog,36
napačen,36
medij,36
izreči,36
številka,36
tretji,36
opravičevati,36
dejstvo,36
poseben,36
kandidatov,36
približen,36
uporabiti,36
predstavitev,36
korak,36
pretekel,36
ustvarjati,36
etičen,36
podoben,36
čelo,35
zakonodajen,35
umakniti,35
nacionalen,35
oni,35
prenesti,35
generalen,35
preprost,35
moralen,35
učinkovit,35
voda,35
iskati,35
poslati,35
dogajati,35
razlika,35
posel,34
varovanje,34
reševanje,34
last,34
sprejem,34
analiza,34
opredeliti,34
mera,34
tožilec,34
postavljati,34
napisati,34
brati,34
pogoj,34
vztrajati,34
položaj,34
grčija,34
narobe,34
desus,34
določiti,34
razen,34
deloven,34
rok,34
projekt,34
delež,33
dogodek,33
zavedati,33
napredovanje,33
soglasje,33
nizek,33
vložiti,33
imenovan,33
naslov,33
neodvisen,33
tedaj,33
vrniti,33
ureditev,33
naveden,33
število,33
vodstvo,32
varuh,32
dvom,32
vseskozi,32
vzvod,32
priznati,32
amandmajati,32
tok,32
odločanje,32
prepričan,32
vrsta,32
program,32
predhoden,32
tekst,32
civilen,32
domneven,32
posredovati,31
povečati,31
seznaniti,31
100,31
preprečevanje,31
posloven,31
preden,31
žal,31
znesek,31
…,31
evropa,31
čez,31
poln,31
horvati,31
razlagati,31
slovenec,31
vsakič,30
nalagati,30
formula,30
izvoliti,30
ruski,30
leten,30
noveti,30
določilo,30
izhajati,30
prisoten,30
kulturen,30
razložiti,30
kakorkoli,30
dokler,30
skoraj,30
kasneje,30
skrb,30
naložba,30
6,30
pravnikov,30
prepričevati,30
glasovanje,30
prvič,30
dvojen,30
poslovnik,30
uporabljati,30
oblikovati,29
pravosoden,29
prostor,29
tveganje,29
doseči,29
proceduralen,29
kakršenkoli,29
potekati,29
klemenčič,29
nabor,29
transparentnost,29
članov,29
vpliv,29
iskanje,29
organizacija,29
bati,29
oba,29
natančen,29
20,29
poznati,29
poslanka,29
izpeljati,29
dopis,28
povezan,28
preteklost,28
upravljati,28
kvaliteten,28
uporaba,28
prisluhniti,28
pustiti,28
predlagatelj,28
sodnikov,28
11,28
ekonomski,28
tuj,28
izbrati,28
nerazumljiv,28
kader,28
30,28
magnetogram,28
očitek,28
dno,27
zaključen,27
vzpostaviti,27
zaprt,27
kriterij,27
izkušnja,27
begunec,27
lasten,27
voditi,27
upraven,27
podpisati,27
resen,27
test,27
predstavnikov,27
ugotavljanje,27
izpostavljen,27
narejen,27
prihodnost,27
dutbje,27
strateški,27
seznam,27
razum,27
motiti,27
