Beseda,Števec
biti,578
v,403
ta,370
za,348
in,324
jesti,314
da,307
na,231
se,186
ki,161
tudi,127
pa,124
o,123
s,109
ne,104
zakon,98
on,92
z,85
tak,83
lahek,69
jaz,62
ali,61
vlada,61
pri,60
če,59
iz,57
kot,57
drug,57
slovenija,54
še,54
kar,54
let,54
sklad,53
imeti,52
do,51
predlog,51
evropski,50
že,49
sam,47
po,47
ves,46
davčen,46
nek,45
ministrstvo,43
ozir,42
podatek,41
beseda,41
bistvo,40
kateri,38
javen,37
zveza,36
člen,35
seveda,35
razprava,33
zato,33
ever,32
zaradi,32
glede,32
država,32
državen,31
voda,30
velik,30
leto,29
ker,29
zdaj,29
torej,28
kaj,28
vprašanje,28
republika,28
gospoda,27
podlaga,27
ko,27
2015,27
kolega,27
med,26
stran,26
višina,26
ukrep,26
e,26
oda,26
hvala,26
predsednik,25
primer,25
način,25
dolg,25
svoj,24
en,24
del,24
sredstvo,24
sprememba,24
predlagati,24
odbor,23
okolje,23
unija,22
kak,22
stališče,21
gospodarski,21
kakšen,21
skupina,21
sklep,20
bolj,20
komisija,20
mali,20
danes,20
poslanski,20
zavezanec,20
namen,20
treba,20
carinski,19
prvi,19
pred,19
tisti,19
2013,19
kjer,18
področje,18
finančen,18
naslednji,18
k,17
hvalahvala,17
program,17
prav,17
milijon,17
povedati,17
izvajanje,16
delovanje,16
rešitev,16
dars,16
ostal,16
ter,16
predvsem,16
naj,16
podjetje,15
pravi,15
več,15
kratek,15
tu,15
govor,15
tikati,15
nekateri,15
visok,15
uredba,14
obstoječ,14
občina,14
investicijski,14
zelo,14
podpreti,14
inštitut,14
račun,14
morati,14
zadeva,14
pravica,14
ob,14
gospodarstvo,14
takrat,14
tukaj,14
subjekt,14
poleg,14
2014,14
2016,14
ampak,14
organ,14
možen,14
sistem,14
naprej,13
seja,13
pomen,13
kolegica,13
nov,13
3,13
nekaj,13
določati,13
nepremičnina,13
mogoč,13
zadolževanje,13
razumeti,13
lepahvala,13
določen,13
obdobje,13
reforma,12
določba,12
uprava,12
govoriti,12
sicer,12
nadaljevanje,12
lestvica,12
1,12
si,12
formula,12
čas,12
družba,12
odškodnina,12
dva,12
prostor,12
mnenje,12
praven,12
kljub,12
raven,12
upravljanje,12
blagajna,11
dejanski,11
dolžniški,11
takšen,11
negativen,11
oba,11
finance,11
stvar,11
urediti,11
izdan,11
pomemben,11
potreben,11
pravzaprav,11
ti,11
iti,11
pomoč,11
papir,11
lep,11
vrednosten,11
sprejeti,11
združen,11
predstavitev,11
nadzor,11
zavarovalen,11
neposreden,10
možnost,10
spremeniti,10
razlog,10
ustrezen,10
njen,10
članica,10
dopolnitev,10
cerar,10
strošek,10
2,10
saj,10
zanimati,10
mesto,10
pogoj,10
predlagan,10
veljati,10
obseg,10
predstavljati,10
cilj,10
zadnji,10
poraba,10
mir,10
potem,10
točka,10
uporabljati,10
predstavnik,10
zakonodaja,10
ugotoviti,9
predlagatelj,9
odstavek,9
kredit,9
strokoven,9
podpirati,9
sporazum,9
prej,9
povezan,9
posledica,9
vrednost,9
zakaj,9
preteklost,9
pogledati,9
svet,9
konec,9
osnova,9
breza,9
hiter,9
veljaven,9
prihodnji,9
morala,9
plačevati,9
urad,9
koalicijski,9
reč,9
sedaj,9
zemljišče,9
–,9
naložba,9
mera,9
delo,8
videti,8
naslov,8
okvir,8
vsak,8
prenos,8
tveganje,8
dodaten,8
dokument,8
alternativen,8
stanje,8
sekretarka,8
primanjkljaj,8
primerjava,8
zaposlen,8
škoda,8
primeren,8
doseči,8
mednaroden,8
deloven,8
poroštvo,8
intervencija,8
reči,8
narejen,8
mora,8
uvrstitev,8
davek,8
rezultat,8
zmanjšati,8
misliti,8
sem,8
stranka,8
celoten,8
obravnava,8
sprejet,8
bit,8
spoštovan,8
sektor,8
strukturen,8
zbor,8
amandmajati,8
slišati,8
začeti,8
red,8
poslovanje,8
slovenski,8
pristojnost,8
opredeliti,8
problem,8
investicija,7
poudariti,7
tisoč,7
politika,7
splošen,7
gospa,7
naloga,7
razvoj,7
vedeti,7
priti,7
znižanje,7
posel,7
pobuda,7
uvoden,7
sploh,7
začetek,7
poskušati,7
rečen,7
prositi,7
kmetijski,7
predstaviti,7
ekonomski,7
dohodek,7
pač,7
tabel,7
dutba,7
moj,7
upoštevanje,7
amand,7
enak,7
kraljestvo,7
cel,7
obravnavati,7
obveznost,7
uporaba,7
posrednik,7
reklo,7
izvesti,7
predvidevati,7
koncesijski,7
zaščita,7
trg,7
moderen,7
gradivo,7
proračun,7
interes,7
prihodek,7
izvajati,7
poročilo,7
center,7
zdeti,7
omogočiti,7
pomeniti,6
poseben,6
ureditev,6
infrastruktura,6
tretji,6
sodelovanje,6
znašati,6
namenjen,6
dejstvo,6
odgovor,6
predložiti,6
plačilo,6
ocenjevati,6
učinek,6
realen,6
nakup,6
rok,6
pozdrav,6
direktiva,6
nacionalen,6
praksa,6
faktor,6
manj,6
pretekel,6
težava,6
konkreten,6
odhodek,6
vzrok,6
problematičen,6
naveden,6
območje,6
ministrica,6
uvedba,6
nadaljevati,6
znotraj,6
oprema,6
hkrati,6
nadomestiti,6
vpliv,6
vsebinski,6
nizek,6
dosti,6
smca,6
dajatev,6
najbolj,6
ključen,6
30,6
