Priimek,Števec
prikl,20
tomić,15
trček,30
ban,4
cink,2
ferluga,14
kavčič,10
kotnik,45
prelog,5
ranc,10
šergan,5
zorčič,28
dekleva,9
brglez,4
košnik,6
horvat,44
koleša,12
kramar,26
matić,13
murgel,22
rajić,3
shaker,9
dolinšek,6
škodnik,7
škopac,14
zajc,6
zorman,8
gantar,12
hainz,21
hršak,2
kotnik,45
levičar,3
battelli,1
breznik,28
brinovšek,9
grims,27
irgl,35
lep,1603
logar,16
mahnič,30
podkrajšek,14
pojbič,12
šircelj,36
muršič,0
nemec,9
horvat,44
vrtovec,43
kovačič,4
hanžek,12
kordiš,27
škoberne,11
vilfan,4
veber,19
krajnc,1
janša,4
göncz,10
tanko,42
novak,19
han,12
sluga,15
tonin,8
jurša,10
gorenak,113
vervega,4
potočnik,10
kopmajer,8
žibert,71
godec,22
krivec,9
lisec,20
pogačnik,18
žnidar,27
dimic,35
tašner,37
bizjak,18
lipicer,1
möderndorfer,43
verbič,21
mesec,64
čuš,13
laj,4
ljubič,0
počkaj,0
bratušek,19
lah,20
dobovšek,10
bačič,6
klanjšček,1
radič,5
tabaković,9
