Beseda,Števec
biti,4591
in,3564
jesti,3442
v,3102
da,2895
za,2698
na,2526
ta,2475
se,1925
lep,1603
beseda,1568
imeti,1544
ki,1335
o,1232
tudi,1212
ne,1122
gospoda,1017
s,981
kdo,975
predlog,960
zakon,959
pa,944
državen,943
skupina,857
poslanski,852
on,824
žeti,777
z,756
še,733
razprava,661
k,597
gospa,587
ves,578
člen,565
jaz,534
kot,534
točka,534
dr,517
zbor,502
izvolitehvala,499
seja,484
odbor,480
tak,468
prehajati,457
slovenija,451
po,429
glasovanje,421
maga,405
javen,403
ter,394
razpravljati,389
naj,385
pri,371
vlada,371
socialen,368
amandmaj,363
red,362
predlagatelj,359
predlagati,359
glasovati,357
dajati,346
svoj,340
do,339
obravnava,337
drug,327
dneven,326
sprejet,323
proti,321
ker,321
ali,320
lahek,311
amand,304
ministrstvo,301
že,298
priprava,293
iz,290
zaključevati,288
ugotavljati,287
kateri,285
minister,282
pravosodje,279
let,272
poslanec,271
nihče,259
postopek,259
glas,256
kar,251
članov,246
predstavnik,244
zadeva,243
del,239
dan,239
več,237
iti,237
področje,237
če,236
velik,234
torej,234
ozir,233
ti,228
oda,228
zato,227
sodišče,226
2015,218
pravica,217
ministrica,213
mora,211
svet,209
vprašanje,208
sklep,204
član,201
sam,200
obrazložiti,198
sprememba,197
mnenje,196
država,194
soden,192
zanjo,191
stran,191
deloven,190
obrazložitev,188
nov,187
danes,187
ob,186
sem,179
izvoliti,177
sklad,176
1,176
naš,175
tožilstvo,172
stranka,170
–,170
poslanka,170
zelo,169
dopolnitev,168
demokrat,167
podlaga,166
glede,165
amandmajati,165
prositi,164
čas,163
predsednik,159
sicer,159
ime,157
2,156
želeti,156
praven,155
republika,154
res,153
telo,152
prav,152
služba,146
hvala,146
zaradi,145
človek,143
ampak,142
vinka,142
priporočiti,142
sistem,140
vložen,140
tukaj,139
slovenski,138
naslednji,138
morati,137
članica,136
leto,135
stališče,134
10,133
vaš,132
okvir,131
demokratov,131
smca,131
9,131
poslovnik,130
prvi,130
delo,129
sd,129
desus,129
ko,129
matičen,125
en,125
tisti,125
poročilo,124
vrhoven,122
spoštovan,122
misliti,121
replik,121
odgovor,121
anje,121
dober,120
treba,118
predstavitev,118
