Priimek,Števec
prikl,0
tomić,0
trček,8
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,9
košnik,0
horvat,1
koleša,0
kramar,0
matić,1
murgel,0
rajić,0
shaker,0
dolinšek,2
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,36
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,159
logar,0
mahnič,2
podkrajšek,0
pojbič,1
šircelj,4
muršič,0
nemec,5
horvat,1
vrtovec,0
kovačič,0
hanžek,0
kordiš,1
škoberne,0
vilfan,0
veber,11
krajnc,0
janša,44
göncz,0
tanko,3
novak,1
han,1
sluga,0
tonin,3
jurša,0
gorenak,3
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,2
lisec,0
pogačnik,0
žnidar,1
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,5
verbič,0
mesec,63
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,28
lah,0
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
