Beseda,Števec
biti,7903
jesti,6266
ta,6259
in,4886
da,3832
se,3522
v,3508
pa,2552
ki,2216
ne,2122
na,2091
za,2083
ves,1479
on,1474
tudi,1173
kar,1158
tisti,1126
če,1103
še,1096
tak,1086
kot,1057
sam,999
s,936
o,884
imeti,838
slovenija,808
ko,790
potem,784
z,781
jaz,735
iti,711
že,699
ampak,692
ker,692
ali,688
država,652
po,641
en,632
kaj,613
lahek,559
drug,553
vedeti,497
do,487
zelo,479
treba,477
pravica,477
svoj,474
oda,467
človek,467
kateri,446
evropski,444
zdaj,440
danes,434
vlada,431
nek,426
tukaj,424
problem,412
zato,406
seveda,404
stvar,397
nekaj,389
zaradi,385
pravi,382
zakon,376
ti,374
sem,368
velik,360
iz,358
več,345
pri,332
primer,331
–,330
kdo,330
sodišče,317
evropa,316
gospod,312
govoriti,301
tam,298
gospa,295
priti,284
praven,282
državen,281
dober,272
kajti,272
pač,270
kak,267
vprašanje,261
povedati,260
takrat,257
nič,250
ustaven,244
morala,239
človekov,235
čas,232
slovenski,230
ustava,229
enkrat,226
del,225
beseda,224
prej,221
reklo,220
reči,220
cel,219
pred,218
kakšen,214
narediti,213
naš,213
dan,204
nekateri,204
način,199
mora,198
nekdo,196
mali,193
naj,193
bit,192
noben,189
vrednota,188
stran,187
let,186
vsak,186
zakaj,186
sistem,184
očiten,183
konec,182
prvi,181
pomen,179
služba,178
točen,176
parlament,173
dati,172
dva,171
zbor,170
unija,170
varnost,170
glede,166
sploh,164
prav,164
komisija,160
meja,159
lep,159
vedno,159
bolj,159
zadeva,158
jasen,158
red,157
si,156
kjer,156
predsednik,154
nihče,151
sedaj,151
resnica,149
predlagati,148
proti,147
želeti,147
ob,147
seja,145
temeljen,145
minister,144
ustrezen,143
vsaj,143
celota,143
breza,143
morati,142
ostal,139
tolik,139
dogajati,138
nov,137
govor,137
verjeti,136
storiti,136
ozir,135
političen,134
misliti,134
sklep,133
hoteti,133
naprej,132
gospoda,131
isti,130
trenutek,129
začeti,129
res,127
javen,125
mimogrede,125
mandati,124
najbolj,123
odgovornost,122
volilen,122
koalicija,121
denar,121
saj,120
tisoč,120
raven,120
institucija,120
postopek,118
ever,117
rečen,116
mnenje,116
med,116
hud,116
nit,115
zanimiv,115
republika,115
torej,115
tu,113
opozarjati,113
oblast,113
pod,113
pogledati,112
delati,110
volitve,109
enak,108
sicer,107
popolnoma,105
pravosodje,105
begunec,104
takšen,103
dejstvo,103
politika,102
dejanski,102
videti,100
dolg,100
zgoditi,100
čist,98
celoten,98
vaš,98
varnosten,97
mesto,97
slab,97
ekonomski,97
sodba,96
bistven,96
nadzor,95
veljati,95
področje,95
edin,95
rešitev,94
nazaj,94
predlog,94
njegov,93
pravzaprav,92
zgodba,91
dobiti,91
ja,91
glasovati,90
reč,90
otrok,88
levica,87
razprava,86
njihov,85
svet,85
stranka,85
pomagati,85
stanje,84
resen,83
skladen,83
vendar,82
približen,82
vidik,81
govorilo,81
drugače,81
zadnji,81
razvojen,80
člen,80
migrant,80
moj,80
vprašati,79
tujina,79
sedanji,79
njen,78
skupaj,78
sredstvo,77
policija,77
naslednji,77
izjemen,76
konkreten,76
žal,76
sprememba,76
ravnanje,75
podoben,75
kje,74
tranzicijski,74
gledati,74
postaviti,74
leto,74
visok,73
vojen,73
mogoč,72
soden,72
oseben,72
postavljati,71
mednaroden,71
razlog,70
večina,70
potreben,70
pogovarjati,70
namreč,70
obstajati,69
spet,69
mnog,69
interes,69
praksa,68
drugačen,68
spremeniti,68
glas,67
demokratičen,67
sds,67
možen,67
določen,67
moči,67
realen,67
pomemben,67
temelj,66
živeti,66
pozdrav,66
izvajati,66
delovati,66
normalen,65
svoboda,65
razumeti,65
nemčija,65
rdeč,65
predstavljati,65
oni,64
razvoj,64
točka,64
mesec,63
odgovor,63
ter,63
blaginja,63
zagotovo,63
