Priimek,Števec
prikl,0
tomić,0
trček,1
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,3
dekleva,0
brglez,2
košnik,0
horvat,0
koleša,0
kramar,0
matić,0
murgel,2
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,2
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,2
brinovšek,1
grims,0
irgl,0
lep,13
logar,1
mahnič,0
podkrajšek,0
pojbič,1
šircelj,2
muršič,0
nemec,1
horvat,0
vrtovec,1
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,0
göncz,0
tanko,8
novak,0
han,1
sluga,0
tonin,1
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,2
godec,3
krivec,0
lisec,0
pogačnik,1
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,3
verbič,0
mesec,13
čuš,1
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,0
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
