Beseda,Števec
biti,1469
ta,1260
in,889
jesti,884
v,803
da,719
se,649
za,528
na,504
ne,389
pa,386
ki,365
tudi,253
o,218
s,209
ves,204
že,187
on,186
kot,186
nek,183
jaz,179
kar,174
tak,172
imeti,168
zakon,150
z,147
če,140
ali,135
lahek,126
seveda,126
sam,121
ker,118
ampak,117
še,114
zdravstven,111
potem,111
ozir,109
iz,106
ministrstvo,106
predlog,105
oda,94
drug,94
primer,92
vedeti,92
državen,90
zdaj,88
pravi,87
po,87
do,83
pri,80
svoj,77
en,77
vlada,77
nov,76
let,76
država,76
povedati,75
določen,75
slovenija,74
tukaj,74
ko,70
sklep,69
reklo,69
zato,69
treba,67
kateri,67
javen,65
tisti,64
del,63
kaj,62
sem,62
kolega,61
zelo,60
iti,60
mogoč,60
bistvo,60
predlagati,57
stran,56
govoriti,56
danes,56
misliti,54
sistem,54
skupina,54
predsednik,52
ti,52
svet,52
glede,52
naš,52
beseda,52
kak,51
področje,49
zbor,49
zaradi,48
sredstvo,48
proračun,48
odbor,47
dober,47
sprememba,46
prvi,45
priti,44
zdravstvo,44
kjer,43
poslanski,43
naj,43
postopek,42
več,42
velik,42
jasen,42
res,42
sedaj,42
način,41
mora,41
nujen,41
mali,40
nekaj,39
vaš,39
seja,38
uprava,38
dejavnost,38
bit,38
–,38
sd,37
zdravje,37
smca,37
sicer,36
podatek,36
takšen,35
2015,35
predlagatelj,34
k,34
bolj,34
tikati,34
storitev,33
morala,33
bistven,33
pravica,33
medicinski,33
ukrep,33
dva,33
hvala,33
center,33
strinjati,32
finančen,32
delovanje,32
proti,32
potreben,32
predvsem,32
vendar,32
občina,31
med,31
faza,31
sklad,31
čas,31
kakšen,31
siguren,31
kolegica,30
leto,30
ob,30
predsedujoč,30
morati,30
mnenje,30
pomen,29
saj,29
družba,29
pač,29
konkreten,29
hvalahvala,29
torej,29
ukca,29
zakaj,29
konec,29
zavod,29
poročilo,29
gospoda,28
rešitev,28
verjeten,28
hkrati,28
nekdo,28
razumeti,28
naprej,28
nadzor,28
pravilnik,27
dodaten,27
komisija,27
si,27
člen,27
pomemben,27
zadeva,27
moj,27
davek,27
spoštovan,27
končen,26
evropski,26
republika,26
političen,26
pacient,26
ostal,26
ter,26
banka,26
prav,26
stranka,26
projekt,26
poslanec,26
davčen,26
priporočiti,26
razprava,26
zakonodaja,26
investicija,25
vsak,25
strokoven,25
želeti,25
stanje,25
izvajalec,25
predstavnik,25
oseben,25
upravljanje,25
pomoč,25
nekateri,25
dejstvo,24
verjeti,24
dutba,24
noben,24
politika,23
moči,23
podpreti,23
dati,23
podlaga,23
obravnava,23
začeti,23
tam,23
urejati,23
točka,23
član,22
prej,22
najprej,22
program,22
cel,22
govor,22
enkrat,22
oseba,22
opravljati,21
okvir,21
zavarovanje,21
problem,21
posamezen,21
organ,21
kdo,21
delo,20
varstvo,20
razlog,20
stvar,20
primeren,20
prejšnji,20
urejen,20
veljati,20
glasovati,20
dogajati,20
obdobje,20
raven,20
njihov,20
urgenten,20
ureditev,19
nadaljevanje,19
narediti,19
ministrica,19
takrat,19
volilen,19
absoluten,19
sploh,18
zgolj,18
ezdravje,18
zopet,18
rečen,18
nacionalen,18
zaposlen,18
državljan,18
predlagan,18
sektor,18
cilj,18
videti,17
blagajna,17
možnost,17
standard,17
potreba,17
nit,17
prepoved,17
delati,17
izpostaviti,17
slab,17
informacija,17
vedno,17
določati,17
notri,17
namen,17
2014,17
dan,17
praven,17
potrebovati,17
omenjen,17
sodišče,17
obsojen,17
nadzoren,17
trenuten,17
zgoditi,16
dom,16
narobe,16
tu,16
amandmajati,16
reči,16
zaveza,16
funkcija,16
služba,16
človek,16
slovenski,16
zahteva,16
priprava,16
prevoz,15
dr,15
zakonski,15
izvajanje,15
strošek,15
spraševati,15
kriterij,15
deloven,15
zdravilo,15
prihodnji,15
vprašanje,15
pred,15
trije,15
pogoj,15
vsaj,14
milijon,14
račun,14
podpirati,14
enostaven,14
finance,14
argument,14
potekati,14
mesto,14
nekak,14
delovati,14
žal,14
otrok,14
ocena,14
skratka,14
število,14
2013,14
tolik,14
zdraviti,13
sistemski,13
združen,13
nič,13
cerar,13
znotraj,13
vodstvo,13
izpostavljen,13
prositi,13
urediti,13
dobiti,13
nlzoh,13
učinkovit,13
poseben,13
mesec,13
uraden,13
očiten,13
pojasniti,13
lokalen,13
direktor,13
lep,13
šola,13
sprejeti,13
državljanov,13
cena,13
pristojnost,13
situacija,13
kljub,13
smeti,13
javnost,12
dovolj,12
ever,12
imenovan,12
podjetje,12
zagotoviti,12
plača,12
oni,12
poročiti,12
naveden,12
dejanje,12
zbirka,12
pacientov,12
morda,12
bolnišnica,12
isti,12
nevrološki,12
ugotoviti,11
izreden,11
ime,11
gospa,11
kandidat,11
sprejet,11
dopolnitev,11
nivo,11
meniti,11
začetek,11
vodenje,11
nadaljnji,11
primanjkljaj,11
praksa,11
dogovor,11
kje,11
zavedati,11
poskrbeti,11
posledica,11
laboratorij,11
koalicijski,11
5,11
lekarniški,11
amandmaj,11
vpliv,11
ljubljana,11
nad,11
poleg,11
osnoven,11
bdp,11
pogovarjati,11
mandati,11
vsebina,11
nekje,11
kdaj,11
pričakovati,11
pripraviti,11
omogočiti,11
trenutek,11
lasten,11
red,10
vključiti,10
dejanski,10
klinika,10
občutek,10
kazen,10
opravljen,10
upraven,10
preprečevanje,10
večkrat,10
ocenjevati,10
prihajati,10
omeniti,10
zzzs,10
stališče,10
kratek,10
pravnomočen,10
zdravnik,10
dolg,10
pasiven,10
prodaja,10
delen,10
hvalapredsedujoč,10
opozarjati,10
povedan,10
karkoli,10
kazniv,10
obravnavati,10
stopnja,10
konkurenca,10
voljen,10
presoja,10
vsebinski,10
praviti,10
komentar,10
soden,10
zveza,10
podoben,10
mvka,10
sds,10
naslednji,10
odgovoren,10
najbolj,10
levica,10
delavec,10
predstavljati,10
gradivo,10
pripravljen,10
varnost,10
omejitev,10
poslovanje,10
uporabnik,10
kpka,10
prvič,10
kakovost,10
fiskalen,10
nepravilnost,9
naslov,9
spremeniti,9
ustanova,9
poudariti,9
pristojen,9
ustrezen,9
mena,9
nadalje,9
nazaj,9
realen,9
rok,9
občinski,9
mreža,9
oba,9
korist,9
1,9
pomislek,9
pozvati,9
dajati,9
popolnoma,9
zavarovalnica,9
izvedba,9
manj,9
meja,9
zagotavljati,9
pod,9
pretekel,9
oblika,9
opozoriti,9
pogledati,9
življenje,9
rabiti,9
sledeč,9
izpolnjevati,9
volitve,9
uspel,9
institucija,9
odločitev,9
zainteresiran,9
vpleten,9
celota,9
pozitiven,9
stalen,9
moderen,9
oblast,9
promet,9
številka,9
sprejemati,9
spomniti,9
visok,9
mir,9
reč,9
hoteti,9
uspešen,9
župan,9
prihodek,9
seznaniti,9
praktičen,9
star,9
večina,8
skupnost,8
včasih,8
telo,8
strok,8
pravilo,8
čez,8
odprava,8
pisen,8
bodoč,8
kdorkoli,8
višina,8
javnozaseben,8
dokument,8
sedež,8
kandidirati,8
članica,8
tanek,8
pet,8
ptuj,8
premoženje,8
resolucija,8
posloven,8
vezan,8
odločati,8
poslovati,8
priznati,8
napaka,8
2,8
analiza,8
dotičen,8
zanimati,8
sekretariat,8
kontrolen,8
črn,8
težava,8
zaupanje,8
sodnik,8
medij,8
izvrševanje,8
denar,8
vidik,8
razmišljanje,8
6,8
ambulanta,8
nasprotovati,8
problematika,8
leten,8
kol,8
sodelovati,8
vključen,8
drugačen,8
celoten,8
zahtevati,8
šele,8
kolik,8
sprejem,8
načelo,8
e,8
debatirati,8
nadzornik,8
trg,8
ustaven,8
partnerstvo,8
opozicija,8
zadnji,8
uporabljati,8
posameznik,8
organizacija,8
različen,8
socialen,8
vzpostavitev,8
pošten,8
predvidevati,8
načrt,8
prehoden,7
razen,7
pravilen,7
poskrbljen,7
drugače,7
koalicija,7
terjatev,7
omenjati,7
sodelovanje,7
želja,7
namenjen,7
10,7
opravljanje,7
težek,7
plačilo,7
sekretar,7
tisoč,7
postati,7
kakršen,7
pomeniti,7
voda,7
korupcija,7
kultura,7
anomalija,7
gospod,7
voliti,7
hud,7
poslanka,7
nikoli,7
živeti,7
sestra,7
korak,7
deležnik,7
3,7
primerjava,7
preden,7
soglasje,7
osnutek,7
imenovati,7
glasovanje,7
upoštevati,7
funkcionar,7
pristop,7
pregled,7
iskati,7
proces,7
pustiti,7
ravnanje,7
zakonodajnopraven,7
bojazen,7
odgovornost,7
kliničen,7
kandidiranje,7
dol,7
dovoljen,7
elektronski,7
prenehanje,7
dokončanje,7
slišati,7
primera,7
pripomba,7
zmanjšanje,7
primaren,7
kakršenkoli,7
ukvarjati,7
aktiven,7
zagotovljen,7
smisel,7
možen,7
okoli,7
nasilje,7
nalog,7
opozorilo,7
omogočati,7
oskrba,7
tema,7
spet,6
čist,6
vseeno,6
slika,6
financiranje,6
odškodninski,6
potencialen,6
zaznati,6
dalja,6
izključen,6
obrazložitev,6
zgodba,6
sofinancirati,6
ptovati,6
izkušnja,6
scenarija,6
nazadnje,6
uvod,6
poziv,6
učinkovitost,6
realizacija,6
številen,6
monetaren,6
gledati,6
prenos,6
zakonodajen,6
neizvoljivost,6
odločiti,6
vzeti,6
bolje,6
postaviti,6
privatizacija,6
resen,6
smer,6
ponoven,6
korporativen,6
imenovanje,6
stroka,6
štirje,6
povezan,6
glaven,6
kakovosten,6
hvalaspoštovan,6
nalagati,6
skupaj,6
register,6
funkcionirati,6
naložen,6
ja,6
pot,6
znan,6
4,6
reorganizacija,6
ustrezati,6
nobeden,6
tek,6
nehati,6
svetnik,6
enak,6
objektiven,6
glas,6
uslužbenec,6
kadrovski,6
rezultat,6
21,6
vsekakor,6
ugotovljen,6
nanašati,6
žeti,6
plan,6
reden,6
racionalizacija,6
tovrsten,6
ključen,6
dvojen,6
mandat,6
postopkoven,6
izdati,6
obseg,6
pozdrav,6
smiseln,6
proračunski,6
resničen,6
upravičen,6
nedvomen,6
kriv,6
navajati,6
kader,6
tematika,6
odgovor,6
2016,6
recept,6
kazenski,6
gospodarski,6
pozdraviti,6
obrazložiti,6
govorilo,6
generalen,6
ideja,6
razpravljavec,6
zagovarjati,6
zbirati,6
današnji,6
le,6
njegov,6
izvajati,6
plačen,6
zdeti,6
zdrav,6
povezava,6
koristiti,6
obstoječ,5
vmes,5
oceniti,5
naloga,5
začet,5
človekov,5
fizičen,5
trajen,5
odstavek,5
tretji,5
zaporen,5
regija,5
paket,5
rad,5
razmišljati,5
akter,5
ustvariti,5
prvoten,5
jazmp,5
realnost,5
intervju,5
mandatnovolilen,5
integriteta,5
posel,5
navesti,5
50,5
voziti,5
legitimen,5
prilagoditi,5
furs,5
evidenca,5
postavljati,5
takoj,5
no,5
poročati,5
poslovnik,5
vertikalen,5
financirati,5
zagotavljanje,5
sekretarka,5
upati,5
formalen,5
čakalen,5
prisoten,5
človeški,5
horizontalen,5
vrsta,5
prebrati,5
seznam,5
skrb,5
udeležen,5
predstaviti,5
družinski,5
normalen,5
izmenjava,5
slediti,5
uspešnost,5
izpostavljati,5
nastal,5
brati,5
nastajanje,5
reševanje,5
odnos,5
posredovati,5
vrednost,5
pojasnjen,5
ogromen,5
sindikat,5
razmera,5
odločba,5
matičen,5
pomanjkljiv,5
priložnost,5
zavesten,5
uvedba,5
primerjati,5
gost,5
namera,5
nadaljevati,5
razmerje,5
eden,5
spuščati,5
gospodarstvo,5
poznati,5
20,5
upravljati,5
breza,5
zdržati,5
