Priimek,Števec
prikl,0
tomić,0
trček,20
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,1
ranc,1
šergan,0
zorčič,2
dekleva,0
brglez,0
košnik,0
horvat,0
koleša,1
kramar,1
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,3
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,1
kotnik,0
levičar,1
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,90
logar,1
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,1
nemec,0
horvat,0
vrtovec,3
kovačič,0
hanžek,2
kordiš,0
škoberne,0
vilfan,0
veber,3
krajnc,0
janša,3
göncz,6
tanko,0
novak,0
han,2
sluga,0
tonin,1
jurša,1
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,3
lisec,0
pogačnik,1
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,5
verbič,0
mesec,51
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,7
lah,1
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
