Beseda,Števec
biti,5105
ta,4299
da,3023
jesti,2938
in,2841
v,2673
na,2004
se,1820
tudi,1495
ki,1438
za,1414
pa,1259
ne,1153
nek,1034
o,816
jaz,814
ves,723
on,685
imeti,654
tak,637
s,573
zakon,518
kot,516
ali,489
z,463
še,459
glede,444
drug,416
že,397
velik,387
kar,384
sam,381
če,372
ker,338
ministrstvo,327
lahek,323
državen,318
vlada,317
do,307
zato,306
let,303
po,301
sem,298
ko,290
stvar,276
govoriti,268
zdaj,266
iz,261
minister,257
vedeti,256
pri,255
način,253
ampak,247
vendar,236
projekt,234
en,231
zbor,226
primer,222
kak,218
ozir,212
ti,211
kaj,211
odgovor,208
misliti,204
oda,204
stran,197
zelo,197
kateri,197
iti,192
tisti,190
pravi,189
sredstvo,186
kajti,185
odbor,183
reklo,181
določen,181
slovenija,176
država,173
verjeten,169
treba,168
investicija,166
sklep,164
predlagati,163
kakšen,162
takrat,162
nov,161
naš,161
zadeva,159
del,159
razprava,159
nekateri,158
uredba,157
kjer,157
evropski,156
nekdo,144
svoj,143
mogoč,141
predvsem,140
noben,138
priti,137
čas,137
področje,137
komisija,135
kolega,133
dejanski,131
6,130
posamezen,129
beseda,129
problem,129
proračun,128
govor,126
želeti,125
nekaj,125
več,124
vprašanje,124
prej,123
območje,123
konec,123
zanimati,121
dva,121
nit,117
naprej,115
postavka,114
postopek,113
dokument,112
sprememba,112
raven,111
ostal,110
težava,109
jasen,108
mora,107
infrastruktura,106
povedati,105
dobiti,104
predlog,104
res,103
dati,102
izvajati,102
vseeno,100
pač,100
sprejeti,100
nič,100
ukrep,99
javen,98
seja,98
sedaj,98
ponoven,98
si,98
družba,97
pomemben,97
program,96
opozarjati,96
pred,95
moj,95
vidik,95
poslanec,95
milijon,94
naslednji,94
vedno,94
vaš,94
urediti,93
potreben,93
sprejet,93
narediti,93
preteklost,92
bolj,92
energetski,92
termoelektrarna,92
obdobje,91
mali,90
lep,90
konkreten,89
ministrica,89
finančen,89
blok,87
dober,87
voda,86
vir,86
prostor,85
ugotavljati,85
pogodba,85
dejstvo,84
sti,84
enkrat,84
kdo,84
šoštanje,82
zakaj,82
zahteva,81
strinjati,80
smer,80
rešitev,80
turizem,80
zakonodaja,80
prejšnji,78
sicer,78
nadaljevanje,78
bistven,78
informacija,78
prav,78
morati,78
priprava,77
občina,76
vsaj,76
saj,76
spoštovan,76
naj,76
mnenje,76
zadnji,76
sklad,75
člen,75
agencija,75
priporočiti,75
cena,75
objekt,74
predsednik,73
izvajanje,73
republika,73
videti,72
leto,71
skozi,71
ugotoviti,70
naprava,70
stališče,70
okolje,70
lokalen,70
pričakovati,70
praktičen,70
trenutek,70
možnost,69
rok,69
ob,69
potem,69
pomen,68
spremeniti,68
pozdrav,68
upati,68
spraševati,68
enak,68
vrednost,67
gospodarski,67
koncept,67
verjeti,66
podpirati,66
kasneje,66
znotraj,66
2015,66
skupina,66
večina,65
energija,65
moči,64
zaradi,64
tukaj,64
gradnja,63
slišati,63
slovenski,63
poročilo,63
nihče,62
morala,62
organ,62
poslanski,62
ter,62
čistilen,62
–,62
tu,61
kolegica,60
podpreti,60
urad,60
hs,60
poroštven,59
očiten,59
dodaten,58
tam,58
takšen,56
podlaga,56
človek,56
povezava,56
ever,55
rad,55
svet,55
opozoriti,55
zgodba,54
pristojen,54
precej,54
opozorilo,54
skupnost,53
čist,53
razvoj,53
podatek,53
med,52
direktiva,52
dan,52
mera,52
prvi,51
vodotok,51
dajati,51
mesec,51
pravica,50
služba,50
pripraviti,50
načrt,50
vezan,49
finance,49
podoben,49
okvir,48
park,48
bit,48
omeniti,47
resor,47
osnova,47
ključen,47
delati,46
greznica,46
direktor,46
govorilo,46
vprašati,46
slab,45
2014,45
ukvarjati,45
nujen,45
k,44
zgoditi,44
vpliv,44
faza,43
stanje,43
obnovljiv,43
razlog,43
praksa,43
amand,43
gospodarstvo,43
vsak,42
dovoljenje,42
parlament,42
pogledati,42
veljati,42
bistvo,42
mena,41
začetek,41
obravnavati,41
odgovornost,41
trije,41
cesta,41
dejavnost,40
povezan,40
najprej,40
naroden,40
rebalans,40
problematika,40
reč,40
triprekaten,40
pridobiti,39
odločiti,39
poroštvo,39
breza,39
strategija,39
zanimiv,39
odločitev,39
obravnava,39
razumeti,39
gradivo,39
pripravljen,39
zavedati,39
koalicija,38
majhen,38
pet,38
električen,38
posledica,38
sprejemati,38
situacija,38
nesreča,37
zagotoviti,37
strošek,37
reči,37
isti,37
spet,36
elektrarna,36
preiskovalen,36
težek,36
tir,36
sprejemanje,36
prisoten,36
poročiti,36
seveda,36
cel,36
triglavski,36
predstavljati,36
dogajati,36
volja,35
pravilnik,35
postaviti,35
odločati,35
nalagati,35
unija,35
prostorski,35
hiter,35
škoda,35
reševati,35
praven,35
hvala,35
2013,35
smisel,35
pristojnost,35
rešiti,35
miza,35
izkušnja,34
kratek,34
korak,34
spoštovati,34
zahtevati,34
vzdrževanje,34
razvojen,34
točka,34
naraven,34
podjetje,33
nip,33
višina,33
povedan,33
gradben,33
signal,33
voden,33
promet,33
poslušati,33
uradnik,33
opozorjen,33
namreč,32
kje,32
različen,32
nasproten,32
smiseln,32
roka,32
piš,32
