Priimek,Števec
prikl,0
tomić,0
trček,27
ban,2
cink,0
ferluga,3
kavčič,0
kotnik,0
prelog,7
ranc,2
šergan,1
zorčič,5
dekleva,0
brglez,4
košnik,0
horvat,5
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,1
škopac,2
zajc,0
zorman,0
gantar,0
hainz,2
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,6
brinovšek,0
grims,0
irgl,0
lep,60
logar,3
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,1
horvat,5
vrtovec,3
kovačič,0
hanžek,1
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,2
janša,0
göncz,0
tanko,3
novak,0
han,0
sluga,0
tonin,0
jurša,0
gorenak,0
vervega,2
potočnik,2
kopmajer,0
žibert,0
godec,0
krivec,5
lisec,10
pogačnik,3
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,2
verbič,3
mesec,10
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,1
dobovšek,0
bačič,0
klanjšček,2
radič,0
tabaković,0
