Priimek,Števec
prikl,51
tomić,70
trček,112
ban,20
cink,45
ferluga,50
kavčič,17
kotnik,72
prelog,13
ranc,24
šergan,31
zorčič,47
dekleva,65
brglez,22
košnik,59
horvat,180
koleša,23
kramar,18
matić,56
murgel,42
rajić,10
shaker,11
dolinšek,28
škodnik,25
škopac,26
zajc,32
zorman,49
gantar,61
hainz,10
hršak,16
kotnik,72
levičar,17
battelli,4
breznik,103
brinovšek,43
grims,39
irgl,38
lep,5524
logar,64
mahnič,85
podkrajšek,36
pojbič,195
šircelj,53
muršič,49
nemec,81
horvat,180
vrtovec,89
kovačič,40
hanžek,92
kordiš,142
škoberne,29
vilfan,17
veber,78
krajnc,9
janša,30
göncz,31
tanko,109
novak,75
han,26
sluga,73
tonin,35
jurša,61
gorenak,95
vervega,22
potočnik,26
kopmajer,17
žibert,58
godec,146
krivec,44
lisec,64
pogačnik,46
žnidar,58
dimic,130
tašner,22
bizjak,26
lipicer,8
möderndorfer,121
verbič,25
mesec,335
čuš,89
laj,25
ljubič,0
počkaj,0
bratušek,63
lah,33
dobovšek,11
bačič,59
klanjšček,72
radič,11
tabaković,25
