Beseda,Števec
biti,38553
ta,23946
da,22556
jesti,22188
in,21158
v,17568
za,14169
se,13172
na,12868
tudi,10046
pa,9814
ki,8465
ne,8109
jaz,6358
lep,5524
o,5174
on,5004
s,4767
imeti,4717
še,4445
tak,4338
ves,4109
zakon,4102
z,4023
kot,4008
seveda,3556
če,3187
predlog,2920
kar,2915
lahek,2874
ali,2853
gospoda,2845
beseda,2834
sem,2677
skupina,2672
slovenija,2544
razprava,2501
ker,2468
državen,2418
poslanski,2369
sam,2317
do,2316
drug,2281
po,2276
gospa,2232
že,2231
ampak,2200
tisti,2115
iti,2062
ozir,2055
zadeva,1998
let,1984
potem,1966
iz,1962
pri,1929
misliti,1923
nek,1887
ministrstvo,1858
tukaj,1841
zelo,1820
vlada,1817
področje,1797
kdo,1764
država,1750
velik,1721
ko,1703
odbor,1657
naš,1582
svoj,1580
del,1572
povedati,1537
člen,1522
mora,1521
torej,1515
vedeti,1500
glede,1499
ti,1488
oda,1481
zato,1475
seja,1474
en,1472
kolega,1447
kateri,1446
zbor,1444
k,1442
sredstvo,1403
več,1401
kaj,1382
naj,1356
izvolitehvala,1352
želeti,1348
dober,1321
desus,1302
nekaj,1300
hvala,1270
vprašanje,1255
točka,1240
javen,1236
socialen,1222
način,1210
treba,1190
kakšen,1180
zdaj,1180
stran,1171
stališče,1159
danes,1147
si,1129
pač,1119
delo,1114
sklep,1099
čas,1091
slovenski,1086
spoštovan,1072
minister,1051
evropski,1047
sprememba,1013
predlagati,1012
poslanec,1008
nekateri,1003
nov,999
predsednik,999
–,991
ter,978
prav,961
dr,946
zaradi,946
potreben,931
republika,928
kak,920
red,915
proračun,909
res,878
priti,875
sprejet,874
predvsem,870
sicer,864
ob,854
kolegica,853
pravica,852
prositi,835
reč,831
pravi,827
ministrica,826
glasovati,825
sedaj,823
takšen,821
naslednji,817
pomemben,815
žeti,814
med,814
dneven,814
primer,811
človek,810
morati,809
mnenje,808
govoriti,804
glasovanje,797
razpravljati,783
dobiti,782
bolj,781
pomen,777
ever,775
svet,774
mali,770
leto,761
stranka,752
dati,751
postopek,750
problem,748
priprava,742
maga,741
kultura,741
videti,740
prvi,728
moj,727
verjeti,711
proti,706
izvoliti,702
politika,700
dajati,698
dan,698
reklo,689
konec,688
kjer,687
podpreti,682
predlagatelj,676
možnost,674
vsak,674
narediti,671
zveza,671
deloven,668
mogoč,664
saj,662
obravnava,662
amandmaj,659
tu,657
sklad,652
ukrep,645
predstaviti,639
program,635
milijon,633
določen,633
vendar,632
vaš,629
verjeten,625
predstavnik,613
rešitev,607
dva,606
amand,598
služba,597
pred,595
finančen,588
zunanji,587
komisija,583
bit,582
naprej,577
enkrat,566
noben,558
moči,558
gospodarski,555
podatek,552
projekt,546
vedno,546
nujen,542
poslanka,538
nadaljevanje,534
gospod,529
prehajati,528
kulturen,522
razlog,519
sistem,514
banka,512
podlaga,510
morala,510
dejanski,509
1,507
družina,503
strinjati,499
dejstvo,497
dodaten,497
jasen,496
stvar,495
sprejeti,491
skupaj,490
ugotavljati,483
delati,482
tam,480
prej,479
tolik,477
sodišče,475
članov,474
okvir,471
lepahvala,469
ostal,468
kratek,462
upokojenec,462
2015,460
raven,460
podjetje,459
namen,457
cilj,452
zahteva,446
trenutek,437
zaključevati,436
težek,435
pričakovati,435
tisoč,430
pod,429
reči,427
enak,426
razvoj,426
pokojnina,423
namreč,423
zakaj,423
unija,414
takrat,414
nihče,412
bistven,411
finance,410
prejeti,409
morda,407
tikati,406
mesto,404
zadnji,402
zdravstvo,401
član,398
2,396
prepričan,395
10,392
pomoč,390
njihov,389
družba,389
zdravstven,388
zavod,388
visok,387
podpirati,387
najprej,386
