Priimek,Števec
prikl,0
tomić,15
trček,35
ban,0
cink,7
ferluga,1
kavčič,1
kotnik,5
prelog,4
ranc,2
šergan,2
zorčič,2
dekleva,5
brglez,3
košnik,0
horvat,2
koleša,12
kramar,1
matić,0
murgel,1
rajić,12
shaker,6
dolinšek,0
škodnik,2
škopac,1
zajc,4
zorman,2
gantar,0
hainz,2
hršak,0
kotnik,5
levičar,1
battelli,0
breznik,4
brinovšek,4
grims,2
irgl,5
lep,68
logar,3
mahnič,4
podkrajšek,7
pojbič,1
šircelj,0
muršič,1
nemec,7
horvat,2
vrtovec,0
kovačič,5
hanžek,0
kordiš,0
škoberne,2
vilfan,5
veber,0
krajnc,0
janša,27
göncz,18
tanko,5
novak,11
han,2
sluga,14
tonin,1
jurša,0
gorenak,25
vervega,1
potočnik,1
kopmajer,0
žibert,13
godec,23
krivec,0
lisec,8
pogačnik,0
žnidar,3
dimic,7
tašner,0
bizjak,13
lipicer,1
möderndorfer,5
verbič,0
mesec,13
čuš,17
laj,0
ljubič,0
počkaj,0
bratušek,2
lah,2
dobovšek,1
bačič,7
klanjšček,8
radič,0
tabaković,5
