Beseda,Števec
biti,3364
jesti,2335
ta,2124
da,2066
in,2039
v,1517
za,1491
se,1307
na,1210
ki,919
pa,786
tudi,707
ne,669
on,541
imeti,536
o,486
z,464
s,430
jaz,408
kot,363
kultura,356
ozir,337
ves,336
še,327
če,322
lahek,322
tak,322
nek,318
odbor,312
ali,312
zakon,306
beseda,295
ker,287
kar,272
ministrstvo,271
gospa,264
do,258
kdo,256
iz,249
po,243
seja,233
zdaj,233
državen,219
že,217
gospoda,215
sam,212
slovenija,211
razprava,210
iti,209
pri,203
kateri,202
potem,196
ko,195
drug,195
ti,190
predlog,189
ampak,185
javen,184
let,180
sklep,166
kak,164
vprašanje,162
seveda,156
glede,156
oda,155
vlada,154
tukaj,154
stran,153
svoj,150
program,150
točka,150
sem,149
red,148
treba,145
kakšen,142
videti,140
kulturen,140
k,135
področje,135
država,130
poslanec,128
tisti,128
člen,126
kaj,125
žeti,123
dneven,122
del,120
ministrica,118
naj,115
primer,115
misliti,114
priti,113
dajati,113
več,112
gospod,112
svet,111
naš,110
gradivo,108
en,107
moj,107
vedeti,107
bolj,105
način,105
predlagati,104
zelo,101
sicer,101
razpravljati,100
sds,98
nekaj,98
ter,98
mora,97
ob,95
zdeti,94
povedati,93
naslednji,93
zadeva,92
dober,92
pravi,91
slovenski,90
mnenje,90
med,90
arhiv,89
velik,89
podatek,89
zato,89
čas,89
univerza,88
danes,88
ostal,88
dan,87
republika,87
zbor,86
pomemben,86
predstavnik,86
projekt,85
kjer,85
verjeten,85
torej,83
želeti,81
skupina,80
prav,79
prositi,78
ugotavljati,77
sredstvo,76
arhivski,76
noben,76
–,76
glasovanje,76
1,75
nacionalen,74
pač,74
2015,73
študijski,73
določen,73
izobraževanje,73
res,72
konec,72
saj,71
sprejet,71
raven,71
stališče,70
leto,70
mogoč,69
pravica,69
dati,68
lep,68
pred,68
znanost,67
prvi,67
prejeti,67
smisel,67
zaradi,67
njihov,66
govoriti,66
članov,66
predsednik,66
vaš,66
član,65
naprej,65
interes,65
komisija,64
zveza,64
nekolik,63
sedaj,63
poročilo,63
deloven,63
vendarle,62
človek,62
tolik,62
proti,60
povsem,60
proračun,59
konkreten,59
jasen,59
poslanka,59
pravzaprav,58
kolega,58
izvoliti,57
vendar,57
sprejeti,57
članica,57
spoštovan,57
morati,57
namen,57
takrat,57
tikati,57
šport,56
slišati,56
izvajanje,56
problem,56
občina,55
možnost,55
zanimati,55
evropski,55
bit,55
informacija,55
podlaga,54
dva,54
njegov,54
2,53
hvala,53
oseben,53
izvajati,53
dediščina,53
poslanski,53
predstavitev,53
si,52
prisoten,52
zlasti,52
minister,52
cilj,52
nadomeščati,51
nihče,51
dobiti,51
vrsta,51
postopek,51
emuna,51
sprememba,51
sklic,50
političen,50
potreben,50
uprava,50
njen,49
zaključevati,49
amand,49
sistem,49
delo,48
služba,47
mesto,47
raziskovalen,47
skupaj,46
problematika,46
otrok,46
moči,46
vsaj,45
vsak,45
rešitev,45
zakaj,45
organ,45
nadaljevanje,45
začeti,45
dr,44
nekateri,44
prehajati,44
družba,44
morda,44
podpreti,43
2014,43
dejanski,43
morala,43
delovanje,42
noveti,42
reklo,42
razumeti,42
tisoč,42
milijon,42
financiranje,42
9,42
tam,42
današnji,41
ustrezen,41
maribor,41
ukrep,41
glasovati,41
nit,41
rad,41
smer,41
obstajati,40
sodelovanje,40
različen,40
obravnava,40
takšen,39
stranka,39
rok,39
sploh,38
strokoven,38
stanje,38
pojasnilo,38
policija,38
šola,38
dodaten,38
podoben,38
politika,37
tovrsten,37
nov,37
medij,37
finančen,37
seznaniti,37
namreč,37
vojen,37
razen,37
strinjati,37
razvoj,37
tema,37
verjeti,36
ksevt,36
pomen,36
dejstvo,36
oba,36
trček,35
avdiovizualen,35
situacija,35
zakonodaja,35
sistemski,35
center,35
mesten,35
javnost,34
nekdo,34
prihajati,34
predstaviti,34
zavod,34
občutljiv,34
prej,34
upati,33
težava,33
4,33
ustanova,33
začetek,33
vabiti,33
skupnost,32
prostor,32
mednaroden,32
kdaj,32
ever,32
potreba,32
varstvo,32
10,32
obravnavati,32
primeren,32
5,32
mali,31
dalja,31
strategija,31
načelo,31
6,31
dejavnost,31
celovit,31
najprej,30
oblika,30
nadaljevati,30
elektronski,30
znanstven,30
pojasniti,30
potek,30
rtv,30
kje,29
območje,29
zahteva,29
cel,29
načrt,29
predlagatelj,29
koalicija,29
poseben,29
uspešen,29
pričakovati,29
ime,29
odgovor,29
zanimiv,29
maga,29
očiten,29
smca,29
sklad,29
obveščati,29
nujen,29
vedno,28
kratek,28
hvalahvala,28
posebej,28
le,28
pristojnost,28
zakonski,27
manj,27
vidik,27
janša,27
lokalen,27
odprt,27
3,27
oseba,27
telo,27
arheološki,27
trije,27
priprava,27
stvar,27
grobišče,27
kolegica,26
zunanji,26
praksa,26
meja,26
šolstvo,26
produkcija,26
zagotoviti,26
agencija,26
direktor,26
pristojen,26
predloga,26
institucija,26
bistven,26
vsekakor,26
praznik,26
oni,25
razlog,25
okvir,25
nič,25
poskušati,25
slab,25
objavljen,25
izvolitehvala,25
poudariti,25
storitev,25
zgoditi,25
omenjati,25
gorenek,25
upoštevati,25
širok,25
mena,24
ura,24
tu,24
vsebinski,24
vloga,24
sodišče,24
begunec,24
narediti,24
janez,24
razmera,24
reči,24
pozdravljati,24
7,24
dovolj,24
oblast,24
kandidatek,24
medresorski,24
nerazumljiv,24
obdobje,24
gledati,24
čim,24
spleten,23
naroden,23
ustaven,23
dopolnitev,23
ponoven,23
pogoj,23
govor,23
številka,23
tretji,23
pobuda,23
meniti,23
dostopen,23
godec,23
dejanje,23
socialen,23
predmet,22
veljati,22
visok,22
nositi,22
unija,22
ja,22
nasprotovati,22
reden,22
enkrat,22
možen,22
splošen,22
življenje,22
oglašanje,22
postaviti,22
dunaj,22
pod,22
nanašati,22
odpirati,22
citirati,22
ugotoviti,21
skupen,21
urejen,21
posamezen,21
rebalans,21
informacijski,21
vsebina,21
sindikat,21
najbolj,21
gospodarski,21
uporaba,21
znan,21
mir,21
