Beseda,Števec
biti,3249
jesti,2890
ta,2862
da,2787
in,2574
v,2474
se,2020
tudi,1213
za,1187
na,1181
ki,1092
pa,718
ne,716
banka,684
s,680
ali,625
kot,524
o,510
sam,510
zakon,506
tak,504
z,501
kar,461
ves,460
imeti,447
če,407
sem,388
državen,381
še,365
slovenija,361
jaz,347
zelo,342
on,334
tisti,321
lahek,298
že,298
prav,278
glede,275
nek,269
iz,269
postopek,262
beseda,247
let,244
družba,240
do,239
bančen,239
stran,236
javen,236
tukaj,235
zadeva,228
zaradi,222
upravljanje,216
predvsem,214
misliti,211
po,210
lep,209
kateri,206
terjatev,205
poslanec,205
skupina,200
primer,195
mora,193
predlog,191
svoj,189
pravi,187
pomen,185
kajti,184
velik,184
meniti,183
ko,183
pri,182
republika,181
država,178
področje,177
vprašanje,175
drug,173
ker,170
nekak,169
imenovan,166
poslanski,166
organ,164
hvala,162
stališče,155
kaj,150
ter,149
dejstvo,147
nekaj,147
praven,147
ampak,145
sicer,143
oda,143
en,142
sistem,142
danes,141
tovrsten,140
čas,138
ozir,136
zbor,136
razprava,135
spoštovan,134
dober,131
del,131
preprost,131
treba,129
pomemben,127
smer,126
res,126
člen,125
stranka,123
zakaj,122
moj,121
vlada,117
poslovanje,116
si,115
zveza,115
tikati,114
prvi,113
naslednji,112
podjetje,109
komisija,109
predsedujoč,109
potem,108
potreben,107
resničen,107
dotakniti,107
evropski,106
omeniti,106
posamezen,106
dva,106
jasen,105
rad,103
pred,103
lepahvala,103
predlagatelj,102
pozdrav,102
vsebina,102
raven,102
uprava,101
nadaljevanje,101
nov,99
odgovornost,99
slovenski,99
vezan,98
slab,98
zato,98
morati,97
sedaj,97
kak,96
gotov,95
predsednik,94
zgolj,94
reč,93
iti,92
smca,92
oseba,92
luknja,91
tolik,91
priti,90
poslanka,90
naj,89
priznati,88
vseeno,88
finančen,88
kolega,88
razlog,87
malce,86
svet,86
bolj,85
političen,85
proces,85
podatek,85
pravilo,84
pravica,84
uvod,83
odbor,83
vedeti,83
sprememba,83
izpostaviti,82
podoben,82
k,81
pogovarjati,80
aktivnost,80
zavedati,80
posloven,79
delovanje,78
podlaga,77
namen,77
pristojnost,77
konkreten,76
določen,76
lastnina,76
–,76
predlagati,75
današnji,75
prej,74
naš,74
omenjen,74
nadzoren,74
govoriti,72
ti,71
zadnji,71
prisoten,70
želeti,69
institucija,69
vendar,69
povedati,67
točka,67
njihov,66
bit,65
oblast,65
vsak,64
direktiva,64
kljub,64
sploh,63
minister,63
ob,63
odgovoren,63
trg,63
rečen,62
več,62
noben,62
sodišče,62
član,61
ocenjevati,61
nosilec,61
leto,61
lastnik,60
naveden,60
konec,60
govor,60
zaključiti,60
izvajati,59
notranji,59
krediten,58
informacija,58
mesto,58
dan,58
red,58
tu,57
pogodba,57
naročanje,57
pričakovati,57
prodaja,56
gospodarski,56
odločitev,56
papir,56
začeti,56
vedno,56
oseben,55
dutba,54
sredstvo,54
enkrat,53
načelo,53
preiskava,53
račun,52
pregon,52
dovoliti,52
kakšen,52
ukrep,52
vrednosten,52
cilj,52
bančništvo,52
delovati,52
način,51
med,51
strinjati,50
izhajati,50
izdelek,50
kjer,50
cel,50
ministrstvo,50
problem,50
sd,49
praksa,49
zaupanje,49
nadzor,49
regulator,48
vsaj,48
vrsta,48
stvar,48
morda,48
vaš,48
praktičen,48
zgoditi,47
nič,47
upraven,47
prepričan,47
kolikor,47
znan,47
vrednost,47
ostal,47
mesec,47
2013,47
kakršenkoli,47
kakorkoli,47
ugotoviti,46
politika,46
obrazložitev,46
veja,46
tveganje,46
zakonski,46
trden,46
naslov,46
last,46
veljati,46
moči,46
mnenje,46
kontekst,45
preiskovalen,45
izvajanje,45
pač,45
spraševati,45
služba,45
interes,45
poročilo,45
ever,44
seja,44
kolegica,44
2,44
popolnoma,44
ocena,44
predstavljati,44
dati,44
