Priimek,Števec
prikl,0
tomić,0
trček,0
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,0
brglez,0
košnik,0
horvat,1
koleša,0
kramar,0
matić,1
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,1
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,1
lep,23
logar,1
mahnič,2
podkrajšek,0
pojbič,13
šircelj,0
muršič,0
nemec,0
horvat,1
vrtovec,5
kovačič,0
hanžek,1
kordiš,3
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,3
göncz,0
tanko,1
novak,2
han,1
sluga,0
tonin,0
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,2
godec,3
krivec,0
lisec,2
pogačnik,3
žnidar,0
dimic,2
tašner,0
bizjak,0
lipicer,0
möderndorfer,0
verbič,1
mesec,18
čuš,7
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,0
dobovšek,2
bačič,0
klanjšček,1
radič,0
tabaković,0
