Beseda,Števec
biti,1342
in,876
jesti,839
da,812
ta,619
v,558
se,468
za,443
na,424
ne,357
tudi,340
ki,309
pa,293
jaz,286
ves,240
zakon,236
on,201
o,198
tak,179
z,166
s,162
kot,161
lahek,134
sam,132
imeti,127
ali,124
ker,123
predlog,117
še,101
že,97
če,96
sem,96
do,94
velik,93
seveda,88
kar,87
pravica,84
vlada,83
otrok,81
slovenija,79
človek,79
zelo,77
let,76
ozir,75
dober,74
področje,73
kateri,71
misliti,71
danes,70
en,69
prav,69
po,69
drug,69
del,68
res,67
socialen,66
svoj,65
zato,62
beseda,62
iz,60
kaj,59
dejstvo,58
več,58
zaradi,57
strinjati,55
želeti,55
ko,55
razprava,55
povedati,55
ti,54
sredstvo,54
vendar,54
sprememba,54
kolega,54
oda,53
država,53
skupina,53
vedeti,52
treba,51
verjeti,51
vedno,51
iti,50
ukrep,50
občina,49
tisti,49
čas,49
ter,49
prvi,48
enak,48
predvsem,46
državen,45
proračun,45
človekov,44
nekateri,44
pripravništvo,44
sedaj,43
govoriti,42
pravzaprav,41
seja,41
hvalahvala,41
nekaj,41
potem,41
mora,40
nek,39
deloven,39
si,39
pomoč,39
med,38
pri,38
delo,37
sicer,37
pomemben,37
naš,37
mena,37
zdeti,37
saj,36
oseben,36
naj,36
primer,35
nov,35
potreben,35
zakaj,35
morda,35
kak,35
družina,34
šola,34
leto,34
glede,34
število,34
javen,33
nič,33
vsak,32
pravi,32
reklo,32
ever,31
kolegica,31
podpreti,31
morati,31
visok,31
pred,30
člen,30
meniti,30
možnost,29
le,29
–,29
raven,29
namreč,28
1,28
rešitev,28
žal,28
vprašanje,28
zbor,28
sodišče,28
postopek,27
stran,27
kjer,27
organ,27
stvar,27
težava,27
breza,27
sprejeti,27
narediti,27
ustrezen,26
moči,26
bolj,26
odbor,26
resolucija,26
zadeva,26
reči,26
kakšen,26
razumeti,26
zdaj,26
k,25
izpostaviti,25
moj,25
ob,25
finančen,25
poslanski,25
podatek,25
najbrž,25
ministrstvo,25
upati,24
jasen,24
razmerje,24
cel,24
takrat,24
