Priimek,Števec
prikl,0
tomić,0
trček,5
ban,0
cink,2
ferluga,0
kavčič,0
kotnik,3
prelog,1
ranc,0
šergan,0
zorčič,4
dekleva,0
brglez,9
košnik,0
horvat,6
koleša,1
kramar,1
matić,9
murgel,2
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,1
zajc,0
zorman,0
gantar,3
hainz,2
hršak,0
kotnik,3
levičar,0
battelli,2
breznik,2
brinovšek,0
grims,0
irgl,0
lep,83
logar,2
mahnič,4
podkrajšek,0
pojbič,0
šircelj,0
muršič,2
nemec,2
horvat,6
vrtovec,0
kovačič,0
hanžek,5
kordiš,0
škoberne,0
vilfan,0
veber,3
krajnc,0
janša,95
göncz,0
tanko,14
novak,2
han,1
sluga,0
tonin,0
jurša,2
gorenak,14
vervega,0
potočnik,0
kopmajer,0
žibert,5
godec,0
krivec,4
lisec,0
pogačnik,6
žnidar,0
dimic,0
tašner,1
bizjak,0
lipicer,3
möderndorfer,15
verbič,1
mesec,35
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,33
lah,0
dobovšek,1
bačič,0
klanjšček,0
radič,0
tabaković,1
