Beseda,Števec
biti,5300
ta,4042
jesti,3549
da,3150
in,2981
v,2407
se,1989
na,1963
za,1825
ki,1501
ne,1355
tudi,1331
pa,1315
jaz,898
on,829
o,798
ampak,677
kot,609
tak,592
ves,584
s,568
pravica,564
imeti,544
že,509
komisija,507
še,506
ker,491
človekov,459
z,458
lahek,457
sam,445
ti,439
ko,413
do,408
če,404
ali,391
potem,388
državen,384
nek,370
zakon,365
pravosodje,340
danes,339
spoštovan,337
iti,330
govoriti,321
gospoda,321
povedati,321
tisti,320
kar,320
sem,309
po,298
tukaj,285
vprašanje,284
minister,283
stranka,277
ozir,276
evropski,268
slovenski,266
svoj,265
drug,264
zaradi,262
država,257
vedeti,247
pravi,244
zbor,243
zato,242
predsednik,239
let,236
glede,235
oda,233
mora,231
iz,229
področje,229
pri,228
seja,224
slovenija,222
takšen,211
prav,210
poslanec,210
velik,207
kaj,207
zelo,202
takrat,202
korupcija,201
kateri,197
želeti,195
primer,195
več,193
zakaj,192
seveda,191
sistem,190
zadeva,189
prej,186
razprava,184
beseda,184
treba,181
žrtev,179
–,177
jasen,176
čas,173
zlasti,173
morati,171
človek,170
hvala,168
nekaj,167
kak,167
postopek,166
demokratski,166
resolucija,164
sodišče,163
priti,161
naj,159
kolega,159
preprečevanje,158
problem,157
sedaj,155
bit,154
kršitev,153
torej,152
zgoditi,150
stran,149
političen,147
naš,147
pač,145
nič,143
ter,143
reč,143
gospod,142
reči,142
dober,142
pomemben,141
mnenje,141
vlada,138
en,137
način,136
kakšen,136
vaš,136
reklo,135
gospa,132
stvar,130
res,128
nekateri,127
enak,124
vedno,124
potreben,123
del,122
zdaj,122
integriteta,121
morala,121
položaj,118
pred,116
vendar,116
parlament,115
odgovornost,115
zločin,115
predlagati,114
raven,114
poslanski,113
pomen,112
proti,111
podatek,111
naprej,110
ravnati,110
skupina,110
med,108
storiti,107
režim,107
bolj,106
si,106
pogledati,106
pričakovati,106
dobiti,105
hvalalep,105
možnost,104
zveza,103
člen,101
stanje,101
kršiti,101
peticija,99
bančen,99
določen,99
namreč,98
dejanje,98
oseben,97
poslanka,97
janez,97
janša,95
moči,94
narediti,94
misliti,93
dr,92
praven,92
visok,92
vojen,92
odgovor,91
prvi,90
prejšnji,90
pojasniti,90
zanimati,89
vendarle,89
banka,88
nadaljevanje,87
mesto,87
enkrat,87
čeprav,87
služba,87
zdeti,87
nov,86
kjer,86
mogoč,86
javen,85
videti,85
odgovoren,85
glasovati,84
sicer,83
lep,83
ministrica,82
oseba,82
podpreti,81
dva,81
pravosoden,81
dati,80
ključen,80
koalicija,79
konkreten,79
noben,79
cel,78
kdo,78
odbor,77
posameznik,77
totalitaren,76
varuh,76
opozarjati,76
oblast,76
ugotoviti,75
meniti,74
kazati,74
vsaj,74
sploh,73
ob,73
delo,72
saj,72
gradivo,72
tožilstvo,71
nadzor,71
grobišče,71
strinjati,70
večkrat,70
nihče,70
ustava,70
ministrstvo,70
zakonodaja,70
namestnik,69
delati,69
odgovoriti,68
kolegica,68
omeniti,68
govor,68
soden,68
dan,68
arhiv,68
njihov,68
kajti,67
sporen,67
izjemen,67
obsoditi,67
razumeti,67
verjeten,66
mandati,66
nekdanji,65
stališče,65
skupaj,65
funkcija,65
dogajati,65
najprej,64
opraviti,64
sodnik,63
nit,63
bistven,63
ostal,63
skupen,63
k,62
natančen,62
konec,62
podlaga,62
odločiti,61
žal,61
dejanski,60
dejstvo,60
tožilec,60
mandatnovolilen,60
arhivski,60
podpirati,60
pod,60
nekdo,60
dostojanstvo,60
vsak,59
republika,59
državljanka,58
klemenčič,58
članica,58
sprejeti,58
nikoli,57
moj,57
priporočiti,57
kazenski,57
vezan,57
zadnji,56
sprememba,55
deloven,55
opozoriti,55
nad,55
ukvarjati,55
javnost,54
delovanje,54
predlog,54
tu,54
dejati,54
najbolj,54
odgovarjati,54
politika,53
