Priimek,Števec
prikl,1
tomić,2
trček,11
ban,0
cink,0
ferluga,4
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,3
dekleva,0
brglez,0
košnik,0
horvat,19
koleša,0
kramar,0
matić,4
murgel,0
rajić,0
shaker,0
dolinšek,1
škodnik,0
škopac,1
zajc,1
zorman,4
gantar,3
hainz,5
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,22
brinovšek,0
grims,4
irgl,4
lep,242
logar,4
mahnič,6
podkrajšek,2
pojbič,6
šircelj,3
muršič,2
nemec,30
horvat,19
vrtovec,0
kovačič,0
hanžek,2
kordiš,6
škoberne,9
vilfan,0
veber,28
krajnc,0
janša,92
göncz,0
tanko,34
novak,1
han,9
sluga,0
tonin,11
jurša,1
gorenak,26
vervega,0
potočnik,3
kopmajer,0
žibert,1
godec,1
krivec,8
lisec,2
pogačnik,9
žnidar,2
dimic,1
tašner,0
bizjak,2
lipicer,1
möderndorfer,32
verbič,0
mesec,107
čuš,4
laj,0
ljubič,0
počkaj,0
bratušek,12
lah,3
dobovšek,21
bačič,0
klanjšček,1
radič,3
tabaković,0
