Beseda,Števec
biti,13311
ta,10312
jesti,8337
da,7087
v,7052
in,6960
ki,5186
na,3802
se,3705
tudi,3331
imeti,2833
pa,2798
jaz,2779
za,2778
ne,2705
nek,2524
on,2215
lahek,1959
ves,1820
ali,1742
kot,1610
torej,1538
tisti,1471
o,1410
tak,1345
človek,1201
z,1107
sem,1098
s,1075
po,1056
ker,1012
sam,1003
slovenski,974
en,974
država,969
let,965
iti,963
kar,961
če,951
danes,934
slovenija,925
še,907
ko,901
kolega,886
reči,882
kjer,827
drug,808
ti,760
svoj,758
velik,754
iz,747
pogledati,745
nekaj,736
kaj,727
govoriti,722
misliti,703
do,689
ampak,672
zaradi,667
sistem,663
del,660
potem,628
nekak,607
kateri,583
cel,581
povedati,569
predvsem,559
zadeva,539
raven,539
morati,530
več,529
dober,522
pri,520
državen,518
stran,509
tukaj,506
zato,499
naš,498
ostal,496
podjetje,478
moj,476
narediti,473
področje,465
si,463
vedeti,460
oda,459
problem,455
nekateri,442
spoštovan,438
prvi,435
zakon,432
kak,431
sedaj,430
delovati,429
zdaj,429
že,428
priti,424
čas,423
vsaj,415
mora,405
sodišče,404
soden,387
naprej,381
kakšen,381
pred,379
seveda,367
resen,366
vlada,365
nekdo,363
želeti,362
vrsta,359
kolegica,342
bistvo,340
predsednik,339
pravica,338
dati,337
določen,335
naj,332
vedno,331
razprava,326
zelo,324
delati,323
reč,322
izreden,322
dva,321
prihajati,316
gospoda,315
primer,312
pomemben,312
zgodba,310
politika,308
visok,308
gospodarski,306
–,302
pravi,302
morda,301
reklo,291
sodnik,290
svet,290
vojska,290
videti,288
družba,286
glede,285
moči,284
zavedati,282
vsak,276
nov,276
zadnji,273
vprašanje,270
tu,265
javen,265
stranka,264
praven,261
potrebovati,259
tam,259
dobiti,255
nerazumljiv,253
dan,252
najbolj,251
evropski,251
hvala,249
poslanec,246
lep,242
služba,242
ever,240
trg,238
med,236
govorilo,235
naslednji,233
morala,233
kdo,232
mnenje,232
takšen,230
gospodarstvo,229
zakaj,228
konec,227
začeti,227
izmed,224
mali,222
minister,220
vaš,220
noben,217
nikoli,216
preko,214
treba,213
nič,210
prej,210
sredstvo,209
ministrstvo,208
bit,206
pomen,205
potreben,202
upati,198
mesto,198
mogoč,197
institucija,197
seja,196
tisoč,192
pač,191
leto,190
znanje,188
slab,186
trenutek,185
milijon,185
gledati,184
človekov,183
socialen,183
člen,181
denar,181
poznati,181
verjeti,180
njihov,177
zbor,176
funkcija,176
bolj,176
projekt,175
rešitev,174
kandidat,174
republika,174
majhen,171
enkrat,170
največkrat,170
njegov,170
podlaga,169
takrat,168
komisija,167
približen,167
ugotavljati,166
beseda,164
razvoj,164
kazati,162
razumeti,161
obstajati,160
telek,160
postopek,159
nit,156
varnost,156
prvič,155
resničen,153
nadaljevanje,152
trije,151
dajati,150
gospod,150
zgoditi,149
odbor,148
kolikor,148
sploh,146
govor,145
imenovan,145
tolik,145
fakulteta,143
točka,143
kje,142
političen,142
sklep,141
proti,141
oseben,141
nemčija,139
šolski,137
mlad,137
cilj,137
vojen,135
bivši,133
hoteti,133
vojaški,133
slovenec,133
strokoven,131
demokratski,131
zveza,130
izdelek,129
eden,129
ustaven,128
evropa,127
proces,127
živeti,126
strinjati,126
opravljati,125
skupina,125
predlagati,124
dogajati,124
delo,123
skupaj,123
nekoč,123
možnost,122
mena,122
priznati,122
začetek,121
jasen,121
industrija,120
odgovor,120
pot,120
napaka,119
delovanje,117
10,117
isti,117
okvir,115
mednaroden,115
plača,115
nazaj,115
avstrija,115
zgodovina,114
deloven,114
verjetnost,113
20,113
obramba,113
sodnikov,112
kolik,112
nekolik,111
manj,110
tuj,110
meja,109
praksa,109
dokument,109
rad,109
marsikdaj,108
ukrep,108
vseeno,108
razlagati,108
k,107
večina,107
vrednost,107
mesec,107
območje,106
totalen,106
poskušati,106
čist,106
pripadnik,106
dolg,106
postaviti,106
podpreti,105
prositi,105
trenuten,105
meniti,105
pokazati,105
turizem,104
poklic,104
ukvarjati,104
banka,104
proračun,104
cena,104
različen,104
ugotoviti,103
oblast,103
številen,103
