Priimek,Števec
prikl,1
tomić,0
trček,1
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,2
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,5
košnik,1
horvat,8
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,1
hainz,6
hršak,0
kotnik,2
levičar,0
battelli,0
breznik,10
brinovšek,0
grims,0
irgl,0
lep,117
logar,3
mahnič,1
podkrajšek,0
pojbič,2
šircelj,1
muršič,0
nemec,1
horvat,8
vrtovec,3
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,12
krajnc,0
janša,9
göncz,0
tanko,9
novak,0
han,2
sluga,0
tonin,1
jurša,3
gorenak,8
vervega,0
potočnik,1
kopmajer,1
žibert,1
godec,0
krivec,1
lisec,5
pogačnik,0
žnidar,2
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,1
verbič,0
mesec,22
čuš,1
laj,0
ljubič,0
počkaj,0
bratušek,3
lah,0
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
