Beseda,Števec
biti,3669
ta,2272
da,1858
in,1754
v,1687
jesti,1612
na,1032
se,1006
tudi,957
za,955
pa,878
ki,744
jaz,685
ne,669
imeti,459
on,453
o,351
ves,347
sem,331
s,313
tak,296
kot,288
poslanski,281
zadeva,273
še,273
skupina,270
nek,264
naš,262
z,261
če,260
lahek,250
tisti,243
državen,226
ali,225
zakon,222
povedati,219
država,216
že,208
drug,205
do,203
ampak,203
vlada,199
predsednik,197
seveda,186
let,185
svoj,184
po,181
stranka,175
ko,174
ker,173
slovenija,170
mora,170
beseda,167
sam,164
zelo,163
način,163
misliti,162
vedeti,161
potem,161
kar,160
en,156
razprava,154
zbor,151
ti,149
dober,149
nekateri,149
oda,148
kateri,143
ozir,140
dejanski,138
čas,135
upokojenec,134
iz,133
velik,132
nekaj,131
glede,130
govoriti,129
morati,126
reklo,122
takrat,118
zdaj,118
lep,117
predlog,116
področje,116
pri,115
kolega,115
kaj,114
vprašanje,114
priti,112
mogoč,111
verjeten,109
želeti,108
gospoda,107
iti,106
zaradi,105
si,104
res,103
človek,100
minister,99
danes,99
kak,96
sredstvo,96
poslanec,96
več,95
vsak,94
stran,93
komisija,93
mali,93
moj,91
del,91
ministrstvo,91
pač,90
predvsem,89
zato,88
pomen,87
slovenski,87
podpreti,83
demokratičen,83
naj,82
–,82
pravi,81
desus,81
primer,79
predlagati,79
kakšen,78
določen,78
saj,77
enostaven,76
prav,75
pomemben,74
pokojnina,72
treba,72
morala,70
hvala,70
deloven,68
dobiti,67
postopek,66
takšen,65
tu,65
konec,65
pred,64
tukaj,64
trenutek,64
reč,63
ever,62
obramba,62
stališče,60
ter,60
vedno,60
sklad,59
mnenje,59
ocenjevati,58
nov,58
vseeno,58
kdo,58
evropski,57
vojska,57
proračun,57
preprost,57
kandidat,56
pozdrav,56
ob,56
sedaj,56
republika,55
političen,55
začetek,53
delati,53
milijon,53
noben,53
govorilo,53
kolegica,52
dati,52
socialen,52
dan,52
točka,52
seja,51
moči,51
bolj,51
razmišljati,51
koalicijski,51
bit,51
vaš,51
javen,50
ministrica,50
možnost,49
prvi,49
prej,49
zakaj,49
raven,49
mena,48
preteklost,48
tolik,48
čist,47
podjetje,47
odločiti,47
slab,47
gospodarski,47
dva,47
podatek,47
njegov,47
kljub,47
dvorana,47
sprememba,46
plača,46
znotraj,46
število,46
kratek,45
rešitev,45
oseben,45
enkrat,45
spoštovan,45
pričakovati,45
sistem,45
gospa,44
zavarovalnica,44
kakor,44
odbor,43
narediti,43
med,42
prepričan,42
jasen,42
nekdo,42
k,41
funkcija,41
leto,41
mesto,41
obdobje,41
zavedati,40
služba,40
razpravljati,40
delo,39
bistven,39
triglav,39
sprejeti,39
zadnji,39
stvar,38
usklajevanje,38
ključen,38
kolik,38
razumeti,38
namen,38
visok,38
predstavnik,38
razvoj,37
poslanka,37
podpredsednik,37
sodelovati,37
zgoditi,36
pokojninski,36
pravica,36
različen,36
strinjati,35
verjeti,35
banka,35
prihodnost,35
sedeti,35
začeti,35
videti,34
koalicija,34
težek,34
omeniti,34
kriza,34
denar,34
ostal,34
projekt,34
lokalen,34
občina,33
telo,33
državljanka,33
zagotoviti,33
smer,33
gospod,33
pod,33
gospodarstvo,33
politika,32
ogromen,32
skupaj,32
konkreten,32
skupen,32
red,32
ura,32
končen,31
razlog,31
a,31
odločitev,31
najbolj,31
izmed,31
le,31
tisoč,30
sploh,30
opravljati,30
dneven,30
nič,30
kjer,30
situacija,30
potreben,30
isti,30
uspešen,30
zakonodaja,30
ugotoviti,29
drugače,29
demografski,29
premoženje,29
zanimati,29
družba,29
naprej,29
državljan,29
odgovoren,29
strateški,29
pozitiven,29
slišati,29
oseba,29
opozicija,29
večina,28
dejstvo,28
nadaljevanje,28
faza,28
informacija,28
težava,28
opozoriti,28
problematika,28
hiter,28
odgovornost,28
naslednji,28
tam,28
poslušati,28
relativen,28
nujen,28
star,28
skupnost,27
ustrezen,27
gledati,27
zaključek,27
delovanje,27
finance,27
nikoli,27
unija,27
pogledati,27
priložnost,27
cilj,27
dolg,27
zaščita,27
interes,27
smeti,27
strokoven,26
meja,26
pomurski,26
primeren,26
početi,26
pogodba,26
predstavljati,26
pogovarjati,26
sodišče,26
rast,26
zahteva,26
kajti,25
spomniti,25
namreč,25
posebej,25
pristojen,25
skozi,25
sprejemati,25
glasovati,25
begunec,25
izvajati,25
čim,25
pripraviti,25
njihov,25
fiskalen,25
vendar,24
družina,24
prihajati,24
postaviti,24
člen,24
cel,24
nizek,24
okrog,24
problem,24
dokument,23
organ,23
izjemen,23
svet,23
osnova,23
strategija,23
finančen,23
sprejet,23
delavec,23
pripravljen,23
posameznik,23
možen,23
okolje,22
naloga,22
blagajna,22
prostor,22
vsaj,22
odgovor,22
nit,22
normalen,22
zadovoljen,22
zaposlen,22
okoli,22
matičen,22
prejšnji,22
mesec,22
presoja,22
sds,22
celota,22
minimalen,22
potrebovati,22
preiskava,22
gozd,22
dodaten,21
stanovanje,21
upati,21
kolikor,21
najti,21
imenovati,21
glas,21
ponavljati,21
preiskovalen,21
celoten,21
diplomatski,21
politik,21
nad,21
mlad,21
dr,21
vojen,21
izkušnja,20
podpirati,20
spremeniti,20
kandidatek,20
podpredsednica,20
no,20
preveč,20
enak,20
obravnavati,20
ukrep,20
predstavitev,20
trije,20
vrsta,19
rad,19
voditi,19
letošnji,19
bančen,19
številka,19
reševanje,19
žal,19
nekak,19
govor,19
poklic,19
zveza,19
zaključiti,19
parlamentaren,19
sektor,19
lepahvala,19
dovolj,19
kdaj,19
razpravljavec,19
migrant,19
pripadati,19
zdeti,19
investicija,18
ime,18
pravilo,18
poudariti,18
točen,18
omenjati,18
varnost,18
voda,18
skoraj,18
ponoven,18
nadaljnji,18
vezan,18
precej,18
dodatek,18
ja,18
manj,18
moč,18
takle,18
poseben,18
breza,18
delodajalec,18
hrvaški,18
pozneje,18
vloga,18
interpelacija,18
korekten,18
omogočiti,18
mera,18
program,17
spreminjati,17
javnost,17
izjava,17
spomin,17
stanje,17
zopet,17
glaven,17
strošek,17
oni,17
živeti,17
zagotavljati,17
spoštovati,17
član,17
razmera,17
znesek,17
življenje,17
prag,17
širok,17
izpeljati,17
ukvarjati,17
slovenec,17
današnji,17
trenuten,17
priprava,17
milijarda,16
sodelovanje,16
njen,16
zunanji,16
povezan,16
kmetijski,16
10,16
dajati,16
20,16
temeljit,16
desni,16
močen,16
razmerje,16
prihodnji,16
drugačen,16
štirje,16
mandat,16
dogodek,16
posamezen,16
razrešiti,16
plačevati,16
mandati,16
vsebina,16
državljanov,16
zemljišče,16
zagovarjati,16
koristen,16
družben,15
zapisan,15
pripeljati,15
mandatnovolilen,15
učinek,15
majhen,15
opcija,15
pomoč,15
prositi,15
15,15
izpostaviti,15
rezerven,15
spraševati,15
medij,15
proti,15
leten,15
poznati,15
dalja,15
obramben,15
znan,15
sposoben,15
2014,15
dodati,15
dogajati,15
luk,15
stati,15
partner,15
klop,15
upravljanje,15
podpora,14
ustanovitev,14
rezultat,14
sestanek,14
sicer,14
račun,14
uskladiti,14
prodaja,14
takoj,14
tir,14
poskušati,14
levi,14
odločati,14
posledica,14
spremljati,14
zastaviti,14
ocena,14
porabiti,14
hkrati,14
razmišljanje,14
oblast,14
hiša,14
trg,14
lotiti,14
2015,14
teči,14
nameniti,14
izkoristiti,14
predstavništvo,14
naložba,14
poslovnik,14
reprezentanca,14
opredeliti,14
predlagatelj,13
lastnik,13
človekov,13
zgodba,13
takraten,13
tretji,13
odgovoriti,13
samostojen,13
skrbeti,13
sekretar,13
imenovanje,13
nenehen,13
priznati,13
napaka,13
policija,13
članica,13
torej,13
otrok,13
nasprotovati,13
uspel,13
sila,13
praviti,13
nazaj,13
veljati,13
…,13
roka,13
kvaliteten,13
kazati,13
les,13
revščina,13
kandidatov,13
pristojnost,13
storiti,13
praven,13
notranji,13
sklep,12
prispevek,12
istočasen,12
sodba,12
potreba,12
deliti,12
oba,12
izvajanje,12
sprejetje,12
minuta,12
veber,12
vrednost,12
pogoj,12
parlament,12
najemnina,12
reči,12
nadaljevati,12
dejanje,12
rebalans,12
podlaga,12
pomagati,12
spodbujanje,12
obravnava,12
podoben,12
sprejem,12
brut,12
pogled,12
evropa,12
reševati,12
znati,12
aktivnost,12
doba,12
vesel,12
ravnanje,12
tokrat,12
delovati,12
odreagirati,11
položaj,11
sistemski,11
varnosten,11
čez,11
motiti,11
končati,11
oblikovati,11
znašati,11
strokovnjak,11
ljubljana,11
nerazumljiv,11
50,11
sprejemanje,11
lovski,11
škoda,11
pooblastiti,11
skrb,11
predstaviti,11
družinski,11
ostajati,11
zaupanje,11
hvalahvala,11
mednaroden,11
dejavnost,11
učinkovit,11
delen,11
eden,11
delež,11
volitve,11
nikakor,11
stopnja,11
obveznost,11
dostojen,11
zanimiv,11
predhoden,11
opozicijski,11
zaveza,11
občutek,11
obseg,11
ravnati,11
misel,11
vodovod,11
konzularen,11
koncesija,11
odvijati,11
diskutirati,11
edin,11
nekje,11
nadzor,11
zavzemati,11
vplivati,11
zameriti,11
oceniti,10
včasih,10
prispevati,10
uvod,10
včeraj,10
narobe,10
večkrat,10
spominjati,10
zakonski,10
kakršen,10
breznik,10
dostikrat,10
6,10
zdravstven,10
resen,10
preko,10
trajati,10
pomislek,10
oblikovanje,10
usklajevati,10
obrazložitev,10
smisel,10
12,10
praksa,10
urediti,10
zgodovina,10
luknja,10
kje,10
pristop,10
nastal,10
starš,10
odvisen,10
krivica,10
povečati,10
ostati,10
rabiti,10
opozarjati,10
povprečnina,10
tikati,10
iskati,10
ministrski,10
sedlo,10
prebivalec,10
citirati,10
kohezijski,10
postopkoven,10
himna,10
trd,10
generacija,10
vodstvo,10
regija,10
tematika,10
čakati,10
2011,10
zaupati,10
obrazložiti,10
posledičen,10
organizacija,10
negativen,10
kupiti,10
dotakniti,10
ekipa,10
zahtevati,10
nivo,10
predlagan,10
pomeniti,9
reforma,9
financiranje,9
prepričati,9
prodati,9
ustvariti,9
pripadnik,9
dolgoročen,9
kredit,9
obstajati,9
predviden,9
povzročiti,9
višina,9
vzeti,9
drža,9
segment,9
zgolj,9
realen,9
nekoč,9
tanek,9
sanacija,9
pripravljati,9
vodenje,9
prisoten,9
popolnoma,9
obveščevalen,9
dogovor,9
spodbujati,9
amand,9
pretekel,9
sodnik,9
določati,9
zdrav,9
janša,9
primerjati,9
glasovanje,9
podati,9
upoštevati,9
generalštab,9
povprečen,9
svetoven,9
predsednica,9
nanašati,9
noveti,9
dosti,9
last,9
žeti,9
dobivati,9
namenjen,9
dobiček,9
vložiti,9
2008,9
doseči,9
proceduralen,9
