Beseda,Števec
biti,1970
ta,1830
da,1311
jesti,1287
in,1125
se,817
v,760
na,644
tudi,630
za,522
pa,446
ne,406
ki,379
jaz,330
tak,293
lahek,275
ves,257
ker,232
kot,228
s,226
kar,222
imeti,203
zelo,198
če,190
še,183
z,181
on,165
sem,164
tisti,163
en,153
do,152
že,151
zakon,149
ali,148
velik,147
sam,143
prav,141
potem,133
ozir,132
iz,131
način,127
nek,125
ampak,123
po,117
zaradi,116
ko,115
pomemben,110
hvala,110
pravi,107
pri,106
tu,105
o,101
drug,98
povedati,97
dober,96
misliti,96
vedeti,93
oda,93
naš,91
beseda,90
zdaj,89
kaj,80
videti,79
priti,78
želeti,76
družba,76
državen,75
pomen,73
svoj,73
država,72
več,70
kateri,70
spoštovan,70
sprememba,69
seveda,68
upravljanje,67
sredstvo,66
pač,65
kakšen,65
sicer,64
let,64
podjetje,63
slovenija,63
zadeva,63
gospodarski,63
predvsem,63
mogoč,63
reklo,63
izreden,62
glede,62
določen,62
nekaj,61
ostal,61
lep,61
iti,60
treba,59
zagotovo,59
ti,58
možnost,57
regija,57
stvar,57
čas,57
vlada,57
pozitiven,56
problem,56
k,55
dobiti,55
naložba,55
primer,54
moj,54
kolega,54
stran,53
naslednji,52
takšen,51
področje,51
prej,50
sd,50
skupaj,50
območje,50
vsekakor,50
kak,50
morati,50
ministrstvo,50
kapitalski,48
si,48
moči,47
saj,47
zakaj,47
ukrep,47
postopek,46
kmetija,46
tam,46
kolegica,45
mali,45
trg,45
skupnost,44
sklad,44
dalja,44
naroden,44
posloven,43
škoda,43
zato,43
reči,42
smer,41
gospodarstvo,41
mora,41
tikati,41
celoten,41
tolik,41
človek,41
vsak,40
potreben,40
danes,40
vendar,40
proračun,40
–,40
čim,40
narediti,40
učinek,39
predsednica,39
rešitev,39
vprašanje,39
sistem,39
pogledati,38
tukaj,38
kmet,38
visok,38
dejanski,37
haloza,37
predsednik,37
dati,37
hvalaspoštovan,37
predlagati,37
zgoditi,36
smatrati,36
jasen,36
močen,36
del,36
finančen,36
pričakovati,36
nadaljevanje,35
svet,35
projekt,35
kmetijstvo,34
upati,34
ja,34
pozdrav,34
negativen,34
dan,34
dejstvo,33
morala,33
bistven,33
povedan,33
mesto,33
cel,33
okolje,33
trenuten,33
praksa,32
strategija,32
enkrat,32
res,32
sedaj,32
slovenski,32
razvojen,32
marsikaj,32
predstavnik,32
tisoč,31
razvoj,31
sploh,31
nov,31
zanimati,31
začeti,31
javen,30
leto,30
cilj,30
občina,29
ever,29
tveganje,29
majhen,29
slab,29
bit,29
kvaliteten,29
absoluten,29
noben,29
nadzor,29
stanje,28
delovanje,28
podatek,28
služba,28
nazadnje,27
prihajati,27
omeniti,27
razpis,27
naj,27
kazati,27
obdobje,27
kljub,27
težek,26
bolj,26
prvi,26
pred,26
situacija,26
kapital,26
nekje,26
kakršenkoli,26
kjer,25
prisoten,25
kratek,25
deloven,25
konkurenčen,25
pomoč,25
strateški,25
med,24
prispevati,24
govoriti,24
doseči,24
program,24
tovrsten,24
bodoč,24
praven,24
pripraviti,24
kdo,24
prodaja,23
člen,23
ekonomski,23
težava,23
takrat,23
pogoj,23
predsedujoč,23
poznati,23
breza,23
podlaga,23
milijon,23
vpliv,23
podpora,22
gledati,22
komisija,22
vrednost,22
kolik,22
osnoven,22
le,22
mnenje,22
priprava,22
predlog,21
