Priimek,Števec
prikl,11
tomić,0
trček,63
ban,2
cink,1
ferluga,12
kavčič,0
kotnik,0
prelog,6
ranc,7
šergan,0
zorčič,11
dekleva,0
brglez,14
košnik,0
horvat,18
koleša,8
kramar,0
matić,13
murgel,2
rajić,1
shaker,0
dolinšek,13
škodnik,1
škopac,4
zajc,0
zorman,0
gantar,4
hainz,3
hršak,0
kotnik,0
levičar,18
battelli,1
breznik,24
brinovšek,0
grims,28
irgl,6
lep,335
logar,15
mahnič,5
podkrajšek,0
pojbič,5
šircelj,11
muršič,0
nemec,13
horvat,18
vrtovec,4
kovačič,1
hanžek,7
kordiš,6
škoberne,5
vilfan,2
veber,4
krajnc,2
janša,57
göncz,14
tanko,28
novak,0
han,18
sluga,10
tonin,24
jurša,4
gorenak,33
vervega,0
potočnik,5
kopmajer,0
žibert,2
godec,1
krivec,17
lisec,24
pogačnik,6
žnidar,7
dimic,0
tašner,0
bizjak,1
lipicer,4
möderndorfer,18
verbič,6
mesec,123
čuš,16
laj,5
ljubič,0
počkaj,0
bratušek,17
lah,41
dobovšek,11
bačič,0
klanjšček,9
radič,0
tabaković,0
