Beseda,Števec
biti,18644
ta,11733
jesti,9005
se,7844
v,7140
in,7126
da,7082
jaz,5295
ne,4836
na,4543
nek,4090
pa,4008
ki,3822
za,3758
tudi,3509
imeti,3430
on,2567
če,2557
o,2157
tak,2139
sem,2036
mali,1959
kot,1942
ali,1841
iti,1795
nekak,1730
vedeti,1723
s,1620
ker,1589
ampak,1538
še,1519
že,1510
z,1468
iz,1427
kar,1407
reklo,1359
kaj,1355
seveda,1339
tukaj,1261
zdaj,1252
lahek,1227
zelo,1200
drug,1193
en,1117
slovenija,1089
ves,1078
kak,1077
nekaj,1012
zadeva,960
po,924
potem,913
dober,892
ti,889
sam,866
ko,861
let,783
kolega,769
do,754
človek,741
bolj,734
–,723
povedati,719
beseda,710
oda,700
tu,695
kateri,686
verjeten,678
kakšen,655
mogoč,652
gospoda,649
zakon,644
tisti,644
država,643
več,622
govoriti,616
dati,615
vprašanje,611
del,608
zdeti,607
naprej,605
državen,593
si,591
stran,577
ministrstvo,570
velik,565
gledati,562
cel,545
morati,545
sedaj,539
misliti,536
združen,533
delati,526
seja,518
kdo,513
levica,511
reči,509
upati,502
skratka,496
čas,494
moj,489
pogovarjati,486
vlada,484
naš,474
hvala,470
pri,468
zakaj,462
navsezadnje,459
hoteti,457
mora,454
tam,453
priti,451
nov,437
dva,424
zaradi,398
občina,397
glede,395
odbor,377
videti,376
naj,374
nekdo,367
kjer,366
predlog,362
gospa,361
politika,359
vedno,359
reč,354
morala,347
koalicija,346
lep,335
evropski,335
mena,332
slovenski,331
saj,328
problem,328
minister,327
dobiti,324
dejanski,324
strinjati,324
ukvarjati,322
danes,315
področje,314
maribor,312
govorilo,309
poslanec,306
rad,304
resen,303
zbor,302
trije,302
narediti,301
treba,300
debata,297
pomemben,295
zato,291
svoj,290
ob,289
začeti,289
tovrsten,284
zgodba,284
oblast,283
raven,282
zlasti,269
potreben,268
prvi,267
ozir,267
vaš,265
bistvo,264
moči,262
kje,260
način,260
spet,259
javen,258
podjetje,257
dan,255
konec,255
sklep,254
razvoj,254
pred,252
primer,250
čeprav,248
res,246
kolik,245
proračun,245
gospod,245
odgovor,244
pač,243
slab,242
problematika,241
poslušati,241
razprava,238
gora,238
skoraj,236
prej,236
zavedati,235
a,232
parlament,231
družba,231
jasen,231
dol,229
vsaj,228
med,228
kratek,227
predlagati,225
strategija,224
pol,223
milijon,222
bit,222
ministrica,218
voda,216
zadnji,216
vsak,215
takšen,215
pogledati,215
proti,214
točka,214
dogajati,213
tolik,212
razvojen,211
projekt,210
banka,209
očiten,208
glasovati,207
zakonodaja,206
nazaj,205
govor,204
določen,203
razmišljati,202
kolegica,198
potrebovati,198
svet,197
izraziti,197
prositi,196
stranka,196
leto,196
infrastruktura,195
dejstvo,193
brati,192
nit,191
čez,191
stanje,190
imenovan,190
izvršilen,189
gospodarstvo,188
le,186
podpreti,185
manj,185
regija,184
mlad,184
enkrat,183
nadaljevanje,183
oseben,181
20,181
podoben,180
pomen,179
nekolik,178
hvalahvala,178
preveč,178
povedan,176
gospodarski,176
lokalen,175
reševati,175
političen,174
takrat,174
večina,172
sektor,172
denar,171
vrsta,168
težava,165
star,164
turizem,164
tretji,163
nič,162
mesto,162
vsebinski,161
živeti,161
prostor,160
slišati,160
domač,160
sistem,159
služba,159
zgoditi,159
pravi,159
tisoč,156
pričakovati,156
dokument,156
ura,155
opozicija,155
pogost,154
praven,154
številen,154
dolg,154
nerazumljiv,153
sredstvo,152
razumeti,152
ever,152
sprememba,152
besedohvala,152
včasih,151
drugače,151
vseeno,150
sploh,149
delovati,149
breza,149
prebrati,148
najbolj,147
žal,147
nehati,146
pameten,145
k,144
zanimati,144
finančen,144
resoren,143
komisija,142
pod,142
člen,141
sds,141
delen,140
okolje,140
omenjati,139
razlika,139
regionalen,137
dotakniti,137
interes,137
kazati,136
predsedujoč,136
skupaj,135
napisati,135
citirati,135
ja,134
socialen,134
policija,131
opravičevati,131
informacija,131
delo,129
podatek,129
odkrit,129
stanovanje,127
nujen,126
republika,125
čist,124
mesec,123
najprej,121
prihajati,121
dovolj,121
ter,121
najti,120
nekje,120
visok,120
naslednji,120
stoletje,120
skupina,119
ključen,119
znati,119
župan,118
ljubljana,118
početi,118
resor,117
smer,117
pravica,117
deloven,117
smca,117
različen,116
proceduralen,114
znotraj,114
red,114
oni,113
začet,113
stališče,112
energetski,112
delavec,112
trenuten,112
razlog,111
pet,111
noben,111
ime,111
ev,110
ogromen,110
dosti,110
širok,110
omeniti,109
znanje,108
kultura,108
majhen,106
predsednik,106
praksa,105
medij,105
spraševati,105
isti,104
