Priimek,Števec
prikl,7
tomić,1
trček,59
ban,11
cink,1
ferluga,9
kavčič,2
kotnik,45
prelog,20
ranc,26
šergan,10
zorčič,1
dekleva,1
brglez,1
košnik,1
horvat,23
koleša,4
kramar,0
matić,2
murgel,4
rajić,1
shaker,27
dolinšek,8
škodnik,14
škopac,3
zajc,5
zorman,3
gantar,2
hainz,0
hršak,7
kotnik,45
levičar,8
battelli,1
breznik,9
brinovšek,6
grims,4
irgl,2
lep,55
logar,7
mahnič,4
podkrajšek,15
pojbič,3
šircelj,0
muršič,5
nemec,9
horvat,23
vrtovec,39
kovačič,1
hanžek,3
kordiš,8
škoberne,4
vilfan,0
veber,11
krajnc,1
janša,17
göncz,0
tanko,5
novak,2
han,3
sluga,1
tonin,11
jurša,3
gorenak,10
vervega,27
potočnik,13
kopmajer,1
žibert,3
godec,2
krivec,56
lisec,18
pogačnik,7
žnidar,52
dimic,7
tašner,0
bizjak,0
lipicer,0
möderndorfer,11
verbič,21
mesec,36
čuš,9
laj,1
ljubič,0
počkaj,0
bratušek,10
lah,24
dobovšek,5
bačič,0
klanjšček,26
radič,0
tabaković,1
