Priimek,Števec
prikl,1
tomić,0
trček,0
ban,0
cink,1
ferluga,3
kavčič,1
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,0
brglez,0
košnik,0
horvat,8
koleša,0
kramar,0
matić,3
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,3
battelli,4
breznik,2
brinovšek,1
grims,0
irgl,0
lep,174
logar,0
mahnič,0
podkrajšek,0
pojbič,6
šircelj,0
muršič,0
nemec,2
horvat,8
vrtovec,0
kovačič,0
hanžek,2
kordiš,1
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,4
göncz,35
tanko,2
novak,0
han,1
sluga,0
tonin,0
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,10
lisec,0
pogačnik,0
žnidar,0
dimic,0
tašner,1
bizjak,0
lipicer,7
möderndorfer,3
verbič,1
mesec,26
čuš,1
laj,21
ljubič,0
počkaj,0
bratušek,1
lah,0
dobovšek,0
bačič,4
klanjšček,0
radič,0
tabaković,0
