Priimek,Števec
prikl,1
tomić,0
trček,0
ban,0
cink,2
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,2
zorčič,0
dekleva,2
brglez,0
košnik,0
horvat,1
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,1
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,10
logar,0
mahnič,3
podkrajšek,2
pojbič,1
šircelj,0
muršič,3
nemec,0
horvat,1
vrtovec,0
kovačič,0
hanžek,2
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,0
göncz,0
tanko,0
novak,0
han,0
sluga,1
tonin,0
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,3
žibert,0
godec,1
krivec,0
lisec,2
pogačnik,0
žnidar,0
dimic,3
tašner,0
bizjak,1
lipicer,0
möderndorfer,2
verbič,0
mesec,9
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,0
dobovšek,0
bačič,0
klanjšček,1
radič,0
tabaković,1
