Beseda,Števec
biti,783
ta,702
da,688
in,614
jesti,490
v,379
se,355
za,317
na,295
tudi,248
ki,214
pa,194
tak,138
zakon,129
socialen,119
imeti,118
on,116
ne,110
pri,105
jaz,102
še,101
o,98
do,88
ves,88
lahek,85
s,85
velik,77
kot,74
misliti,72
z,70
kar,68
predlog,66
sam,64
zelo,63
če,63
družina,59
let,59
že,55
del,53
mlad,53
res,52
delo,51
tisti,50
seveda,50
področje,50
spoštovan,50
ali,49
ko,49
kolegica,48
dodatek,48
kolega,47
en,47
pomoč,46
po,45
drug,45
več,44
način,43
ukrep,43
pravi,42
sprememba,42
dober,41
sem,41
sredstvo,41
oda,41
skupina,41
nek,40
nekak,40
kateri,40
iz,39
plača,39
možnost,38
takšen,38
pravica,38
zato,38
država,38
saj,37
hvalahvala,37
otrok,37
deloven,37
ministrstvo,37
ker,35
tisoč,34
ter,34
tukaj,34
kak,34
zdaj,34
k,33
predsednik,33
potem,33
ob,32
morati,32
med,31
pravzaprav,31
pomen,31
svoj,31
zaradi,31
predvsem,31
naš,30
človek,30
gospa,29
podpreti,28
ministrica,28
čas,28
pomemben,27
trg,27
gospodarski,26
oseba,26
ustrezen,25
gospoda,25
slovenija,25
minimalen,25
prav,25
potreben,25
sedaj,25
sistem,25
zakonodaja,25
otroški,24
podjetje,24
priti,24
bolj,24
si,24
zaposlen,24
enak,24
kakšen,24
državen,24
poudariti,23
treba,23
odbor,23
dohodek,23
meniti,23
iti,23
delavec,23
visok,23
beseda,23
ever,22
kjer,22
tu,22
ozir,22
plačilo,21
smer,21
javen,21
zaposlovanje,21
vprašanje,21
invalid,21
raven,21
stran,20
prispevek,20
glede,20
ampak,20
predstavnik,20
zaposlitev,19
strokoven,19
zadeva,19
hkrati,19
pripravništvo,19
invalidski,19
revščina,19
bistvo,19
rast,19
različen,19
center,19
sklep,18
sicer,18
dajati,18
družba,18
korak,18
dobiti,18
nekaj,18
ti,18
mora,18
dva,18
program,17
politika,17
primer,17
družinski,17
varstven,17
kandidatek,17
štipendija,17
