Beseda,Števec
in,668
biti,645
da,478
ta,422
jesti,363
v,342
se,297
na,285
za,281
ki,192
tudi,175
pa,146
o,142
ves,138
ne,133
on,131
zakon,107
področje,107
izobraževanje,105
z,97
jaz,91
s,90
sem,81
tak,77
imeti,76
kot,75
pri,74
lahek,73
tukaj,69
še,61
že,61
sam,60
do,59
sprememba,59
iz,58
kar,58
en,55
ampak,55
drug,54
danes,53
del,52
kolega,50
šola,49
oda,49
sicer,48
med,46
predlog,46
šport,46
svoj,44
velik,44
odbor,43
program,43
ko,43
kolegica,41
nekaj,41
misliti,40
vprašanje,40
ozir,40
ker,40
javen,39
ali,39
skupina,39
slovenija,38
pomemben,38
ter,38
spoštovan,38
vzgoja,37
poslanski,37
zelo,36
stvar,36
potreben,36
beseda,36
zaseben,35
znanost,34
otrok,34
mlad,34
mnenje,34
sklep,33
glede,33
študijski,32
pogovarjati,32
pripravništvo,31
šolstvo,31
vlada,30
če,30
po,30
let,30
ministrica,29
kateri,29
sredstvo,29
naš,29
izobraževalen,28
univerza,28
smca,28
trg,28
sistem,28
ministrstvo,28
videti,27
strokoven,27
dopolnitev,27
prav,27
kdo,27
k,26
nov,26
republika,26
mladina,26
financiranje,25
znanje,25
kak,25
dober,25
slišati,25
hvalahvala,24
predlagati,24
vajeništvo,23
želeti,23
zaradi,23
denar,23
zato,23
treba,23
delo,22
strinjati,22
priti,22
izvajanje,22
odlok,22
poklicen,22
meniti,22
ti,22
deloven,22
država,22
prepričan,21
več,21
vedeti,21
kandidatek,21
državen,21
res,21
naprej,20
stran,20
primer,20
si,20
tisti,20
fakulteta,20
pogoj,20
kaj,20
vsebina,19
članov,19
predvsem,19
sprejet,19
poslanec,19
elektronski,19
različen,19
problem,19
sodelovanje,18
predsednik,18
potreba,18
prvi,18
mogoč,18
pomoč,18
poslušati,18
organizacija,18
rešitev,17
mesto,17
reklo,17
član,16
hvalaspoštovan,16
saj,16
proti,16
predsedujoč,16
mora,16
iti,16
noveti,16
proces,16
fundacija,16
le,16
nekje,16
učen,16
družben,15
izkušnja,15
kjer,15
razlog,15
čas,15
rada,15
dobiti,15
težava,15
ukrep,15
dva,15
začeti,15
proračun,15
dodati,15
glasovati,15
vedno,15
zdaj,15
nasilje,15
seja,14
vsak,14
nadomeščati,14
gospodarstvo,14
praksa,14
deležnik,14
leto,14
ob,14
eden,14
kakšen,14
visok,14
uspešen,14
človek,14
socialen,14
načrt,14
pomen,13
razvoj,13
podjetje,13
šolski,13
podpirati,13
družba,13
delodajalec,13
zbor,13
naj,13
potrebovati,13
raziskovalen,13
narediti,13
soglasje,13
kakovost,13
enkrat,13
položaj,12
vajenec,12
športnik,12
sedaj,12
delovanje,12
dati,12
člen,12
pravica,12
vidik,12
pravzaprav,12
pogledati,12
bit,12
povedati,12
morati,12
lep,12
učitelj,12
nekateri,12
kljub,12
njihov,12
zaposlitev,11
dejavnost,11
izvedba,11
reševanje,11
starš,11
najti,11
moj,11
jasen,11
zakaj,11
vendar,11
razumeti,11
cilj,11
poslovanje,11
omogočiti,11
razprava,11
poudariti,10
predlagatelj,10
povezovanje,10
okvir,10
kandidat,10
postavljati,10
namreč,10
pred,10
1,10
sklad,10
izpostaviti,10
vzgojnoizobraževalen,10
takrat,10
celovit,10
domovinski,10
zveza,10
podatek,10
osnoven,10
dan,10
kompetence,10
urejati,10
dotakniti,10
volonterski,10
predstavnik,10
sploh,9
komercialen,9
ustrezen,9
temeljen,9
odgovor,9
pravi,9
dodaten,9
podpreti,9
bolj,9
morala,9
prej,9
stališče,9
povezava,9
pristopiti,9
kje,9
pot,9
vesel,9
zavarovanje,9
upoštevati,9
svet,9
problematika,9
vsebinski,9
okolje,9
ključen,9
predvidevati,9
delavec,9
amandmajati,9
premostitven,9
pokazati,9
obdobje,9
potem,9
raven,9
spremeniti,8
sistemski,8
ureditev,8
gospa,8
usklajen,8
obravnava,8
prostor,8
vsaj,8
športen,8
sedež,8
odločiti,8
visokošolski,8
zagotoviti,8
oba,8
sprejemanje,8
povezan,8
vrtec,8
2,8
urediti,8
zanimati,8
pač,8
mednaroden,8
odločba,8
odprt,8
podati,8
veljavnost,8
poznati,8
študent,8
veljaven,8
obveznost,8
podlaga,8
upravljanje,8
pogodba,8
odgovornost,8
vloga,8
kazati,8
oseba,8
pogled,8
dr,8
2015,8
praven,8
predstavitev,8
maga,8
novel,8
omogočati,8
postopek,7
državljanski,7
naslov,7
pridobiti,7
rs,7
evropski,7
preoblikovanje,7
družina,7
dolgoročen,7
opravljanje,7
gledati,7
predviden,7
omeniti,7
rok,7
zagotavljanje,7
izbira,7
maribor,7
slediti,7
status,7
dvig,7
razred,7
oblikovanje,7
predlagan,7
uvedba,7
leten,7
oseben,7
nanašati,7
milijon,7
informacijski,7
temelj,7
vključen,7
pedagoški,7
odločitev,7
obseg,7
zavod,7
analiza,7
nad,7
število,7
pripravljen,7
širok,7
mena,7
naveden,7
2014,7
določen,7
podpredsednik,7
dovolj,7
zadnji,7
premalo,7
tolik,7
sodišče,7
reč,7
aktivnost,7
slovenski,7
nujen,7
trenuten,7
vaš,7
sporočilo,7
pošiljanje,7
odrasel,7
načrtovan,6
akt,6
tisoč,6
pripravnik,6
možnost,6
oblikovati,6
volja,6
ideološki,6
storitev,6
bled,6
moči,6
govoriti,6
zakonski,6
akcijski,6
verjeti,6
nadaljevanje,6
nihče,6
stanje,6
smer,6
začetek,6
komunikacija,6
kolik,6
nadaljnji,6
izvajalec,6
odločati,6
način,6
gozdarstvo,6
fizičen,6
10,6
predstaviti,6
predšolski,6
minister,6
seveda,6
odnos,6
ravnatelj,6
konkreten,6
predstavljen,6
primorski,6
gospodarski,6
vzgojitelj,6
pozdravljati,6
predsednica,6
dijak,6
odgovoren,6
cesta,6
lokalen,6
pozdrav,6
načelo,6
ustaven,6
namen,6
reševati,6
primera,6
2016,6
sprejemati,6
akterjev,6
hvala,6
gostja,6
dogajati,6
–,6
zavedati,6
izvajati,6
potek,6
zgled,6
zavzemati,6
priprava,6
obvezen,6
obstoječ,5
akreditacija,5
nek,5
osredotočiti,5
ever,5
aktualen,5
telo,5
politika,5
opravljati,5
bodoč,5
državljanka,5
težek,5
predloga,5
podaljšanje,5
učbenik,5
večkrat,5
prihajati,5
njen,5
vrednota,5
takoj,5
postaviti,5
prisoten,5
kratek,5
minimalen,5
zadeva,5
naslednji,5
spraševati,5
vrednost,5
čeprav,5
predstavljati,5
torej,5
nekak,5
matičen,5
dosedanji,5
13,5
ostal,5
razmerje,5
rabiti,5
amandmaj,5
breza,5
obravnavati,5
uspel,5
tikati,5
poklic,5
vrhunski,5
stranka,5
prejemnik,5
projekt,5
pomagati,5
celota,5
posamezen,5
funkcija,5
najbolj,5
pozitiven,5
kvaliteten,5
kader,5
noben,5
vpis,5
2013,5
znati,5
pozdraviti,5
trije,5
čim,5
vojen,5
gozd,5
sodelovati,5
razvojen,5
zakonodaja,5
večina,4
pozabiti,4
