Priimek,Števec
prikl,8
tomić,111
trček,4
ban,0
cink,5
ferluga,39
kavčič,0
kotnik,1
prelog,6
ranc,29
šergan,40
zorčič,4
dekleva,3
brglez,0
košnik,0
horvat,14
koleša,4
kramar,0
matić,2
murgel,3
rajić,2
shaker,3
dolinšek,0
škodnik,23
škopac,8
zajc,32
zorman,2
gantar,14
hainz,19
hršak,0
kotnik,1
levičar,4
battelli,0
breznik,14
brinovšek,3
grims,0
irgl,0
lep,689
logar,0
mahnič,0
podkrajšek,14
pojbič,2
šircelj,0
muršič,0
nemec,3
horvat,14
vrtovec,0
kovačič,0
hanžek,0
kordiš,10
škoberne,8
vilfan,10
veber,32
krajnc,0
janša,0
göncz,0
tanko,4
novak,3
han,9
sluga,2
tonin,3
jurša,1
gorenak,3
vervega,33
potočnik,46
kopmajer,11
žibert,0
godec,0
krivec,9
lisec,16
pogačnik,20
žnidar,25
dimic,6
tašner,0
bizjak,24
lipicer,0
möderndorfer,6
verbič,38
mesec,84
čuš,14
laj,25
ljubič,0
počkaj,0
bratušek,25
lah,66
dobovšek,0
bačič,0
klanjšček,3
radič,1
tabaković,0
