Beseda,Števec
biti,8680
da,5430
in,5194
jesti,5050
ta,4367
v,3638
se,3387
za,3341
na,3077
tudi,2609
pa,2111
ki,1733
ne,1655
jaz,1625
o,1257
še,1220
imeti,1124
on,1076
ves,1073
beseda,1032
odbor,999
s,969
slovenija,908
zakon,883
tak,874
ti,863
gospoda,836
seja,808
ali,801
z,790
kot,762
če,696
že,690
lep,689
sam,685
ker,685
sem,657
do,652
lahek,634
kdo,609
predlog,598
kar,584
državen,577
misliti,572
zadeva,550
gospa,549
let,534
sklep,530
kaj,524
kmetijstvo,517
po,491
razprava,481
oda,477
k,471
iz,470
nek,451
tukaj,441
področje,439
potem,438
velik,436
ozir,435
ministrstvo,432
pri,429
vedeti,427
ampak,421
ko,420
nov,408
država,401
želeti,391
izvolitehvala,390
zato,379
prehrana,367
red,365
gozdarstvo,363
poslanski,363
drug,362
minister,362
dajati,356
skupina,356
člen,355
vlada,352
mogoč,352
iti,341
predlagati,338
tisti,338
povedati,337
žeti,336
en,334
svoj,327
kak,321
kakšen,308
naš,307
glede,297
točka,297
del,294
ukrep,294
kateri,293
dneven,290
vprašanje,288
mora,283
več,279
potreben,277
sprememba,271
zdeti,270
človek,267
izvoliti,266
članov,266
reklo,262
prehajati,262
slovenski,261
javen,255
poslanec,254
kmetijski,249
nekaj,245
dati,241
evropski,239
spoštovan,237
dober,236
govoriti,234
seveda,233
čas,231
glasovanje,231
sprejet,230
–,229
gospod,224
prvi,221
način,221
otrok,219
nujen,219
raven,217
kolega,214
treba,206
priti,204
republika,204
zbor,203
mnenje,202
pravica,201
gozd,200
stran,200
sodišče,199
družina,198
gospodarstvo,197
leto,196
zdaj,196
možnost,195
zelo,195
zaradi,194
današnji,193
krščanski,193
si,192
sredstvo,191
danes,191
reč,191
zanimati,190
dobiti,190
sklic,189
glasovati,188
dva,185
ob,183
ter,183
član,182
vedno,182
predlagatelj,182
vendar,179
naslednji,178
prejeti,177
med,175
primer,175
pomemben,175
razvoj,174
proti,173
dan,173
dejanski,171
2015,170
narediti,167
naj,167
socialen,167
pravi,166
sklad,163
pomen,163
obravnava,163
morati,162
kjer,162
predstavnik,161
občina,160
demokrat,160
bit,158
res,157
postopek,156
nihče,156
predvsem,156
predsednik,156
ja,155
sicer,153
sedaj,152
1,152
deloven,152
nekak,151
enkrat,151
prositi,150
vsak,150
služba,147
kolegica,146
podatek,145
mali,144
maga,144
trije,144
bolj,143
saj,141
moči,141
nekateri,140
delo,137
podlaga,137
naprej,137
odgovor,137
zaključevati,136
videti,135
ostal,135
opozoriti,134
prej,134
vaš,134
zemljišče,132
razpravljati,131
določen,131
rešitev,130
pričakovati,129
pred,129
zveza,128
ministrica,126
praven,126
prebrati,125
tam,125
svet,124
gospodarski,123
ugotavljati,122
lipica,121
vseeno,121
amand,120
mesto,120
stanje,119
njihov,118
zakaj,118
nadaljevanje,118
pomoč,116
podeželje,116
zahteva,115
vabiti,115
takšen,113
ever,113
opozarjati,112
le,112
prav,112
tomić,111
2,110
hvala,110
koalicijski,109
dejstvo,109
glas,109
skupaj,106
najprej,106
podati,106
delati,105
10,105
zakonodaja,104
težava,103
finančen,103
konec,103
proračun,102
visok,102
javiti,102
unija,102
soden,101
2014,101
zbornica,101
morala,101
pod,101
dr,100
zavod,100
sprejeti,99
prepričan,99
predstavitev,99
kmet,98
stališče,98
slab,97
torej,97
amandmaj,96
razumeti,96
prihajati,96
dama,96
noben,96
program,96
okolje,96
prijaviti,96
sistem,95
verjeten,95
noveti,94
stvar,94
skupnost,92
upati,92
enak,92
nit,92
nadomeščati,91
židan,91
predsedujoč,91
slišati,91
nazadnje,90
pogledati,90
žrtev,90
namen,90
tolik,90
politika,87
skupen,87
nekolik,87
odgovornost,87
oseba,87
konkreten,87
milijon,87
podpreti,86
stranka,86
hkrati,86
nič,85
sekretar,85
5,85
vabljen,84
podjetje,84
mesec,84
kobilaren,84
strokoven,83
zakonski,83
kolik,83
poročilo,83
dejan,83
posamezen,82
moj,82
sekretarka,81
cel,81
pričenjati,81
najbolj,81
komisija,81
štipendija,81
organ,81
družba,81
strošek,80
priprava,80
smer,80
problem,80
družinski,79
število,79
zadnji,79
obrazložitev,78
podpirati,78
hvalahvala,78
dodaten,78
spraševati,78
nasilje,77
ime,77
strinjati,76
javnost,75
plača,75
prihodnji,73
lokalen,73
nekdo,73
govor,73
star,73
pobuda,73
življenje,73
enostaven,72
združen,72
dopolnitev,72
kmetija,72
obravnavati,72
predsednica,72
levica,72
škoda,71
zagotoviti,71
pogoj,71
pozdravljati,71
tretji,71
gradivo,71
dodatek,71
besedohvala,71
pripraviti,70
jasen,70
takrat,70
začeti,70
kmetijskogozdarski,69
prijavljen,69
omeniti,69
ponoven,69
poslovnik,68
pravosodje,68
poudariti,68
spremeniti,68
članica,67
nad,67
dejavnost,67
čim,67
prostor,66
delovanje,66
obrazložiti,66
la,66
majhen,65
območje,65
dolg,65
obdobje,65
zgoditi,65
izvajanje,65
breza,65
nekje,64
3,64
banka,64
mlad,64
odgovoriti,64
rok,64
dogajati,64
sporazum,63
tu,63
problematika,63
predstaviti,63
nizek,63
direktor,63
človekov,63
izreden,63
kje,62
posledica,62
resničen,62
trg,62
urediti,62
nazaj,62
kljub,61
obveščati,61
tisoč,60
številen,60
izvajati,60
14,60
zakonodajnopraven,60
ureditev,60
vidik,59
starš,59
številka,59
kratek,59
rada,59
drugače,59
odločiti,59
poplava,59
pripravljen,58
vsaj,58
pogovarjati,58
upoštevati,58
hrana,57
političen,57
preko,57
no,57
6,57
odgovarjati,57
infrastruktura,56
namreč,56
11,56
zahvaljevati,56
revščina,56
varnost,56
premoženje,56
sodelovati,56
tema,56
2013,55
ustrezen,55
državljan,55
oba,54
izmed,54
telo,54
hiter,54
dodati,54
informacija,54
eden,54
2012,53
prisoten,53
poleg,53
finance,53
znati,53
izpostaviti,53
korak,53
kmetov,53
sploh,52
mena,52
oblika,52
funkcija,52
praksa,52
isti,52
bistvo,52
zavedati,52
naveden,52
poslušati,52
zdravstven,51
manj,51
reševanje,51
omogočiti,51
pozivati,51
dotakniti,51
kdaj,51
poročiti,51
preden,51
20,51
magnetogram,51
center,51
stopnja,50
zaščita,50
ura,50
skratka,50
15,50
potek,50
denar,50
dejanje,50
trenuten,50
reči,49
župan,49
dovolj,49
vrsta,49
haloza,49
varstvo,49
sindikat,49
pet,49
odločitev,49
volja,48
trasa,48
spet,48
okvir,48
veljati,48
določitev,48
poslanka,48
4,48
odločba,48
nenazadnje,48
8,48
celoten,48
omogočati,48
gledati,48
odločati,47
kraj,47
leten,47
30,47
pač,47
žal,47
zavarovanje,47
franc,47
organizacija,47
nasprotovati,47
prejšnji,47
vendarle,46
načrt,46
potočnik,46
predlagan,46
posebej,46
širok,46
turizem,46
začetek,46
les,45
potrebovati,45
učinkovit,45
parlament,45
čeprav,45
poudarjati,45
matičen,45
miza,45
oglašanje,45
projekt,45
pooblašč,44
obstajati,44
sklop,44
vložiti,44
takoj,44
določiti,44
cilj,44
amandmajati,44
pooblastilo,44
tehnologija,44
opraviti,44
njen,43
rečen,43
generalen,43
demokratov,43
pogodba,43
kazati,43
koalicija,43
omenjen,43
ekološki,43
ljubljana,43
razpravljavec,43
violet,43
minuta,42
razlog,42
nadaljevati,42
politik,42
andreja,42
razmerje,42
bistven,42
reševati,42
odstavek,41
davek,41
vprašati,41
minimalen,41
otroški,41
plačilo,41
poseben,41
institucija,41
tikati,41
nadaljnji,40
zaključiti,40
vloga,40
ustaven,40
šergan,40
narejen,40
oseben,40
odgovoren,40
prihodnost,40
roka,40
marec,40
upravljanje,40
namenjen,40
uporaba,40
predstavljati,40
upravičen,40
podoben,40
rešiti,40
sd,39
nadzor,39
podpora,39
živeti,39
vrednost,39
tožilstvo,39
strniša,39
pristojnost,39
medicinski,39
predloga,39
hud,39
pol,39
status,39
poznati,39
urejati,39
ferluga,39
sodnik,38
ženski,38
zaposlen,38
verbič,38
kršitev,38
reden,38
pomagati,38
zlasti,38
storitev,38
delovati,38
zahtevati,38
najti,37
včeraj,37
2016,37
praktičen,37
osnoven,37
kakorkoli,37
skoraj,37
12,37
praviti,37
dušan,37
samooskrba,37
predlagateljica,37
grobišče,37
lastnik,36
vašahvala,36
verjeti,36
večina,36
tožilec,36
oktober,36
simona,36
položaj,36
napaka,36
meniti,36
ravnik,36
iskati,36
njegov,36
štirje,35
cesta,35
lasten,35
7,35
časoven,35
reforma,35
določba,35
marka,35
delavec,35
čez,35
odločanje,35
voda,35
december,35
ugotoviti,34
točen,34
zgolj,34
ostajati,34
drugačen,34
pomeniti,34
poskušati,34
industrija,34
istospolen,34
rebalans,34
čakati,34
predstavnica,34
uredba,34
brezplačen,34
največ,34
kakor,34
uvoden,34
državljanov,34
pridelava,34
nadomestiti,33
prinašati,33
prenesti,33
raziskava,33
šola,33
premalo,33
vzeti,33
evidenca,33
razmera,33
pogajanje,33
seznam,33
potreba,33
ostati,33
pristojen,33
navesti,33
vervi,33
poročevalec,33
dopolniti,33
dolgoročen,32
inštitut,32
težek,32
spremenjen,32
šele,32
dvorana,32
policija,32
kulturen,32
vsebina,32
gozdarski,32
seznaniti,32
zajca,32
vesen,32
25,32
pripravništvo,32
veljaven,32
kazenski,32
uspešen,32
udeležiti,32
primeren,32
veber,32
postati,31
oni,31
breme,31
gostja,31
odvzem,31
udeležba,31
posloven,31
13,31
dohodek,31
splošen,31
vključiti,31
kandidat,31
uprava,31
predložiti,31
deklaracija,31
september,31
pravilnik,30
povedan,30
preteklost,30
popraviti,30
standard,30
odprava,30
račun,30
kolikor,30
slediti,30
zadržan,30
velikokrat,30
ugotovitev,30
ključen,30
pisen,30
sedanji,30
končen,29
opravljati,29
izguba,29
argument,29
kriterij,29
večkrat,29
zdravje,29
prinesti,29
a,29
nesprejemljiv,29
vložen,29
e,29
koncesija,29
rast,29
nadomesten,29
cena,29
smeti,29
mleko,29
erjavec,29
franca,29
konopati,29
sodstvo,29
nerazumljiv,29
vojen,29
ranc,29
naknaden,29
bati,29
andrej,29
pretekel,29
sklicati,29
denaren,29
pokojninski,28
spoštovati,28
ocena,28
zloraba,28
rastlina,28
mera,28
prispevek,28
določati,28
rabiti,28
priporočiti,28
čist,28
ljub,28
dopolnilen,28
sistemski,28
sodba,28
preprečevanje,28
pooblastiti,28
21,28
pregled,28
vključen,28
sprejemati,28
50,28
kultura,28
izobraževanje,28
študent,28
nanašati,28
zagotavljanje,27
tomaž,27
svoboda,27
dutba,27
zagotavljati,27
računski,27
naloga,27
proizvod,27
voditi,27
namesto,27
razmišljati,27
teren,27
prekiniti,27
18,27
naslov,27
močen,27
potrošnik,27
davčen,27
postaviti,27
pot,27
9,27
edin,27
srečevati,27
zastopnik,26
pokojnina,26
društvo,26
datum,26
prepričanje,26
mednaroden,26
združenje,26
držati,26
vladen,26
izčrpati,26
sodelovanje,26
človeški,26
teden,26
zmanjšati,26
vpliv,26
pripomba,26
razen,26
včasih,26
nadomeščanje,26
moški,26
notranjski,26
spreminjati,26
pokazati,26
poslovanje,26
zaposlitev,25
pogost,25
znanje,25
avgust,25
notri,25
dijak,25
ravnanje,25
ivati,25
žnidar,25
opravičiti,25
strategija,25
pričetek,25
seznanjen,25
replik,25
industrijski,25
temeljen,25
imenovan,25
samostojen,25
