Beseda,Števec
biti,1145
in,715
jesti,714
v,660
ta,643
da,606
za,531
se,426
na,418
tudi,267
pa,249
ki,237
ne,217
s,214
jaz,170
on,157
kot,147
po,141
slovenija,139
komisija,125
z,124
beseda,121
o,116
še,110
zakon,105
če,104
ves,102
imeti,99
že,99
slovenec,99
spoštovan,95
lep,95
slovenski,94
tak,90
predlog,88
iz,87
republika,86
let,86
lahek,85
kar,83
seja,81
pri,79
gospoda,79
do,77
minister,77
svet,77
drug,73
skupina,72
zdaj,72
poslanski,69
ker,69
seveda,67
ozir,65
svoj,64
hvala,64
predsednik,62
državen,61
potem,61
sem,60
sam,59
ali,58
ter,57
kolega,55
desus,54
naš,53
prispevek,52
področje,52
dober,52
član,50
kateri,50
oda,50
država,50
kolegica,49
ministrstvo,48
pravi,47
glede,47
en,47
del,47
med,45
gospa,45
reklo,45
poslanec,45
velik,44
vlada,44
skupnost,43
prositi,43
zaradi,43
tisti,42
zamejstvo,42
vprašanje,42
zbor,42
kdo,42
sklep,41
stran,41
nov,41
odnos,41
ti,41
naslednji,41
nek,40
dr,39
glas,39
morati,39
nujen,39
dobiti,38
prosimhvala,38
zelo,37
red,37
ampak,37
pod,36
ko,36
sredstvo,35
projekt,35
predlagati,35
kandidat,34
primer,34
več,34
čas,34
leto,34
nekaj,34
program,34
sedaj,34
vedeti,33
1,33
gospod,33
torej,33
sodelovanje,32
način,32
zato,32
vaš,32
priti,31
stanovanje,31
6,31
mora,31
konec,31
srečanje,30
proračun,30
dneven,29
prvi,29
kaj,29
tukaj,29
k,28
saj,28
zadeva,28
pravica,28
hvalahvala,28
ob,28
danes,28
agencija,28
sprememba,28
točka,28
moj,27
razprava,26
treba,26
članica,26
takšen,26
dati,26
številka,26
predstaviti,26
potreben,26
pravzaprav,26
povedati,26
mnenje,26
evropski,25
podpreti,25
prej,25
dva,25
urad,25
podatek,25
tujina,25
nadaljevanje,24
rešitev,24
noveti,24
preiskovalen,24
maga,24
strinjati,23
naslov,23
sicer,23
želeti,23
pomemben,23
ugotavljati,23
dajati,23
glasovanje,23
poslanka,23
določen,23
nekateri,23
postopek,22
odgovor,22
kjer,22
pred,22
2,22
proti,22
prav,22
uspešen,22
–,22
pristojen,21
ustrezen,21
moči,21
meniti,21
ministrica,21
naroden,21
iti,21
kak,21
danijeti,21
deloven,21
le,21
javen,20
delo,20
ljudmiti,20
občina,20
prejeti,20
banka,20
sosednji,20
članov,20
mali,20
mogoč,20
sprejet,20
2014,20
narediti,20
odbor,19
člen,19
vendar,19
bit,19
naj,19
njegov,19
problem,19
predlagatelj,18
izvoliti,18
meja,18
prejšnji,18
problematika,18
breza,18
predvsem,18
misliti,18
2015,18
zadnji,18
omenjen,18
vedno,18
center,18
obrazložitev,17
nadomeščati,17
verjeti,17
njen,17
sklad,17
vseslovenski,17
finance,17
10,17
blok,17
krivec,17
kakšen,17
stranka,17
obravnava,17
pomoč,17
dan,17
sistem,17
zloraba,16
sploh,16
pomen,16
drugače,16
izgradnja,16
bolj,16
stanje,16
dodaten,16
najti,16
matičen,16
namreč,16
obravnavati,16
služba,16
zaključevati,15
storitev,15
ever,15
morala,15
zahvaljevati,15
žal,15
nekak,15
ostal,15
oseben,15
podlaga,15
finančen,15
zveza,15
lepahvala,15
vabiti,15
vloga,15
sklic,15
cena,15
sodelovati,15
urgenten,15
zahteva,15
dejstvo,14
podpirati,14
upati,14
si,14
kupec,14
razlog,14
3,14
4,14
dolg,14
tu,14
7,14
trg,14
odločiti,14
glasovati,14
isti,14
sodišče,14
predstavitev,14
lászló,13
politika,13
tretji,13
prostor,13
vsaj,13
nit,13
bančen,13
prisoten,13
xv,13
delati,13
praksa,13
termoelektrarna,13
pač,13
gospodarski,13
medicinski,13
ocena,13
skupen,13
okolje,13
gorazd,13
delavec,13
osnoven,13
göncz,13
žmavec,13
priporočiti,13
organizacija,13
prehajati,13
nadzor,13
predstavnik,13
investicija,12
telo,12
možnost,12
stanovanjski,12
zasavje,12
podjetje,12
govoriti,12
dokument,12
dovoljenje,12
direktiva,12
kratek,12
dimnikarski,12
jedrski,12
takrat,12
glasovnica,12
5,12
energija,12
zakaj,12
mesec,12
cel,12
udeleženec,12
sti,12
predstavljati,12
poleg,12
res,12
čim,12
novel,12
pripraviti,12
njihov,12
zakonodaja,12
poudariti,11
rezultat,11
bodoč,11
šola,11
račun,11
omeniti,11
majhen,11
nihče,11
domovina,11
zunanji,11
zunaj,11
dejavnost,11
začetek,11
delovanje,11
zaposlen,11
naveden,11
podati,11
pozdravljati,11
rebalans,11
verjeten,11
osnova,11
hkrati,11
pregled,11
veljaven,11
uporaba,11
nanašati,11
novak,11
žeti,11
pokojnina,11
hišniški,11
zaključiti,11
odgovornost,11
noben,11
varnost,11
pripomba,11
dogajati,11
organ,11
pričakovati,11
violet,11
načrt,11
ekipa,11
prijaviti,11
poseben,10
končen,10
varstvo,10
splošen,10
ureditev,10
infrastruktura,10
nekje,10
kazen,10
nič,10
prenos,10
strokoven,10
trbovlje,10
stališče,10
izpostaviti,10
urediti,10
informacija,10
amand,10
političen,10
mednaroden,10
koalicijski,10
pogoj,10
vidik,10
rok,10
poznati,10
tikati,10
8,10
enkrat,10
pogodba,10
sedanji,10
čeprav,10
najbolj,10
slišati,10
interes,10
vsak,10
2016,10
reč,10
razpravljati,10
videti,9
naprej,9
dejanski,9
podpora,9
izreden,9
okvir,9
izkušnja,9
stvar,9
odločitev,9
prevoz,9
upraven,9
zakonski,9
postaviti,9
zgolj,9
bistven,9
slovenka,9
slab,9
ja,9
zamejski,9
zavedati,9
jasen,9
predsedujoč,9
predlagan,9
socialen,9
ugotovitev,9
avtohton,9
9,9
kulturen,9
skratka,9
znan,9
število,9
absoluten,9
opozicija,9
franc,9
podpredsednik,9
pooblastilo,9
čakati,9
trije,9
človek,9
nato,9
žmavca,9
zaposlitev,8
financiranje,8
naprava,8
preprečiti,8
nositi,8
imenovan,8
hišnik,8
