Priimek,Števec
prikl,2
tomić,0
trček,7
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,1
dekleva,0
brglez,0
košnik,0
horvat,5
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,1
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,9
brinovšek,0
grims,2
irgl,0
lep,66
logar,0
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,2
nemec,2
horvat,5
vrtovec,2
kovačič,0
hanžek,0
kordiš,2
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,3
göncz,0
tanko,1
novak,0
han,0
sluga,0
tonin,0
jurša,0
gorenak,3
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,1
krivec,1
lisec,2
pogačnik,0
žnidar,0
dimic,0
tašner,0
bizjak,0
lipicer,0
möderndorfer,0
verbič,0
mesec,16
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,3
lah,0
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
