Beseda,Števec
biti,2467
da,2141
ta,2005
in,1953
jesti,1798
v,1316
se,1084
ki,1010
na,844
ne,787
tudi,760
za,756
pa,751
on,498
jaz,484
o,455
imeti,366
ali,364
kot,353
tak,348
lahek,347
s,303
kar,302
še,292
z,285
če,282
tisti,257
ker,253
ves,234
do,222
pri,214
vprašanje,214
razprava,201
socialen,193
po,193
nek,192
drug,191
seveda,190
zakon,183
ko,183
že,180
del,180
pomemben,179
danes,178
država,178
en,174
tukaj,165
zato,163
sam,161
slovenija,158
kateri,158
oda,154
iz,151
ampak,145
človek,144
ustrezen,141
treba,140
velik,140
hvala,140
ukrep,139
si,136
stvar,136
iti,136
svoj,134
pravica,128
stran,126
kak,123
govoriti,121
ozir,116
dober,116
želeti,115
let,115
slovenski,114
kaj,112
kolega,111
primer,109
predlog,109
vlada,108
morati,105
sistem,105
nekaj,104
zdeti,104
javen,102
mora,101
več,100
ob,99
potreben,96
izjemen,95
kakšen,94
ključen,94
mogoč,89
način,89
možnost,88
pomen,86
razumeti,86
potem,86
bolj,85
izobraževanje,85
–,85
gospodarstvo,84
naš,84
skozi,82
zelo,81
predvsem,81
čas,80
priti,79
ministrstvo,79
rešitev,77
gospodarski,77
standard,76
državen,75
odločitev,75
med,74
ter,74
zdaj,74
kolegica,73
evropski,73
gospoda,73
republika,71
pač,71
moči,70
morda,70
zaradi,69
podpreti,69
jasen,69
kjer,68
deloven,68
misliti,68
skupina,68
vendar,67
bit,67
demokrat,67
nov,66
lep,66
naprej,65
predsednik,64
sem,64
sredstvo,64
šola,63
proračun,63
znanje,62
bistven,62
visok,62
področje,61
tovrsten,61
povedati,61
predlagati,61
kdo,61
minister,59
mesto,59
delo,58
proces,58
nekateri,58
rast,58
k,57
spoštovan,57
zbor,57
dan,57
razvoj,56
deti,55
pravzaprav,55
minimalen,54
tu,54
nujen,54
sicer,53
enak,53
prav,53
konec,53
breza,53
glede,53
razpravljati,53
strinjati,52
zgoditi,52
pred,52
cilj,52
seja,51
vsaj,51
pravi,51
dva,51
odločiti,50
družba,50
posebej,50
sedaj,50
torej,49
poslanski,49
otrok,49
ugotoviti,48
pogovarjati,48
nadaljevanje,47
plača,47
reči,47
narediti,47
okvir,46
zagotoviti,46
zaposlen,46
verjeten,46
hkrati,46
enkrat,46
točka,46
vedno,45
sklep,43
doseči,43
cel,43
naj,43
osnoven,43
trenutek,43
program,42
politika,42
vsak,42
zagotavljati,42
interes,42
potrebovati,42
nit,41
takšen,41
morala,41
vedeti,41
trg,41
reč,41
odbor,40
saj,40
manj,40
situacija,40
skupnost,39
verjeti,39
precej,39
ti,39
investicija,38
temeljen,38
ocenjevati,38
zaseben,38
obstoječ,37
podpora,37
mali,37
moj,37
tam,37
sprejeti,37
mnenje,37
sodišče,37
finančen,36
učinek,36
težava,36
zakaj,36
ministrica,36
okolje,36
odgovornost,36
najbolj,36
komisija,35
projekt,35
naslednji,35
sprememba,35
dogajati,35
obdobje,35
dodaten,34
demokratov,34
zgolj,34
aktivnost,34
pogoj,34
noveti,34
namen,34
isti,34
njegov,34
vajeništvo,34
videti,33
skupaj,33
političen,33
učinkovit,33
poklicen,33
dobiček,33
prostor,32
državljanka,32
resen,32
nekdo,32
upati,32
takrat,32
podlaga,32
poročilo,32
ponoven,31
namreč,31
razmišljati,31
zadnji,31
različen,31
omogočati,31
deregulacija,30
njen,30
ugotavljati,30
odnos,30
državljan,30
izobrazba,30
sprejet,30
neposreden,29
opravljati,29
prvi,29
zagotavljanje,29
vrednost,29
leto,29
ostal,29
jezik,29
nadaljevati,29
pozitiven,29
včasih,28
izreden,28
gospa,28
posledica,28
dolg,28
ocena,28
stopnja,28
mlad,28
omogočiti,28
predlagatelj,27
občina,27
nič,27
težek,27
vzeti,27
financirati,27
izobraževalen,27
unija,27
podoben,27
pet,27
noben,27
dovolj,27
raven,27
ever,26
pogost,26
drugače,26
postopek,26
ustvarjanje,26
narava,26
smiseln,26
predstavljati,26
sprejemati,26
dodati,26
pričakovati,26
mera,26
poskušati,25
dati,25
pot,25
primeren,25
denar,25
opozoriti,25
pripravljen,25
širok,25
določen,25
podpredsednik,25
razvojen,25
zgodba,24
mena,24
družina,24
podjetje,24
obstajati,24
potreba,24
izvajanje,24
prej,24
stališče,24
kje,24
dobiti,24
stanovanje,24
problem,24
poklic,24
delodajalec,24
lepahvala,24
absoluten,24
reševati,24
praven,24
vendarle,24
vesel,24
mnog,24
njihov,24
red,23
bodoč,23
prihajati,23
podpirati,23
delati,23
urediti,23
popraviti,23
znotraj,23
svet,23
oseben,23
resnica,23
očiten,23
celoten,23
kazati,23
pokazati,23
kdaj,23
pripraviti,23
preprost,23
tretji,22
postavljati,22
zadeva,22
funkcija,22
model,22
povsem,22
milijon,22
nizek,22
znan,22
logičen,22
finance,22
solidarnost,21
ustvarjati,21
kriza,21
delovanje,21
odločati,21
strošek,21
slab,21
ekonomski,21
krivica,21
pogledati,21
lepalep,21
predsednica,21
brezposelnost,21
ustaven,21
izmed,21
znati,21
trije,21
izvajati,21
nalog,21
pravilen,20
narobe,20
odgovor,20
sploh,20
korak,20
predsedujoč,20
govor,20
žeti,20
stranka,20
strateški,20
kader,20
poslušati,20
nadzor,20
večina,19
varnosten,19
dejstvo,19
dolgoročen,19
oba,19
rok,19
začetek,19
rečen,19
sklad,19
dilema,19
delovati,19
družinski,19
početi,19
veljati,19
bodisi,19
vloga,19
slišati,19
tematika,19
usposabljanje,19
lepaspoštovan,19
kljub,19
priprava,19
skladen,18
potencialen,18
povezan,18
člen,18
upravičen,18
dogovor,18
razmera,18
okoli,18
vir,18
šport,18
gotov,18
drag,18
najmanj,18
le,18
skupen,18
uspešen,18
današnji,18
cena,18
vaš,18
rešiti,18
predstavnik,18
financiranje,17
človekov,17
nevaren,17
pristojen,17
želja,17
referendum,17
stanje,17
šibek,17
praksa,17
pozdravljati,17
banka,17
uspel,17
vsebinski,17
reklo,17
obravnava,17
dialog,17
število,17
potencial,17
tolik,17
državljanov,17
možen,17
beseda,17
partner,17
cesta,17
davčen,17
iskren,17
poudariti,16
zahteven,16
preprečiti,16
razlog,16
infrastruktura,16
varnost,16
združen,16
račun,16
trgovec,16
trend,16
nadaljnji,16
nazaj,16
posloven,16
trgovina,16
podpredsednica,16
promocija,16
slediti,16
tuj,16
glasovati,16
energija,16
naslov,16
mesec,16
malenkost,16
iskati,16
iskanje,16
celota,16
sektor,16
sindikat,16
poslanec,16
ja,16
sposoben,16
edin,16
urejati,16
storitev,16
predmet,16
celosten,15
strah,15
ureditev,15
prositi,15
ustvariti,15
opravljen,15
odličen,15
mehanizem,15
prekiniti,15
najprej,15
oni,15
pod,15
koalicijski,15
preveč,15
življenje,15
eden,15
pravičen,15
življenjski,15
sodelovati,15
drugačen,15
občutek,15
razvit,15
šolstvo,15
služba,15
žal,15
res,15
praviti,15
razmisliti,15
izobrazben,15
pozabiti,14
položaj,14
pomagati,14
prispevati,14
stanovanjski,14
opravičevati,14
pobuda,14
institucija,14
sekretarka,14
reprezentanca,14
dajati,14
kategorija,14
vrsta,14
investitor,14
odprt,14
obravnavati,14
domač,14
delitev,14
napačen,14
sedeti,14
podatek,14
aktiven,14
gostja,14
lipica,14
pošten,14
zakonodaja,14
zakonski,13
lastnik,13
pritisk,13
prispevek,13
kompetence,13
izhajati,13
strokoven,13
večkrat,13
negativen,13
zbornica,13
direktor,13
vseeno,13
10,13
živeti,13
demokratski,13
povečanje,13
dohodek,13
zaupanje,13
dovoliti,13
odvisen,13
štipendija,13
dvig,13
dejavnost,13
usposobljen,13
verjetneje,13
sprejem,13
čeprav,13
industrija,13
oseba,13
pogled,13
zaščititi,13
vprašati,13
posledičen,13
čim,13
fiskalen,13
obveznost,12
pravilo,12
naloga,12
premislek,12
sodba,12
enostaven,12
slednji,12
povečevati,12
sankcija,12
prostovoljen,12
ostajati,12
konkreten,12
karkoli,12
čez,12
ponoviti,12
povečati,12
dosegati,12
priložnost,12
lačen,12
dejanje,12
rezultat,12
zaposlovanje,12
nujnost,12
upravljanje,12
skratka,12
obseg,12
vložiti,12
nad,12
kvaliteten,12
začeti,12
koncesija,12
evropa,12
kakor,12
uprava,12
kolektiven,12
pričakovanje,12
uporabljati,12
obvezen,12
lasten,12
družben,11
oceniti,11
tisoč,11
pridobiti,11
nazadnje,11
odgovoriti,11
ideološki,11
materialen,11
regija,11
višina,11
športnik,11
poseg,11
postaviti,11
majhen,11
ura,11
znanost,11
smer,11
dovoljenje,11
mreža,11
izključen,11
izkazati,11
širiti,11
pretekel,11
proti,11
povedan,11
šteti,11
eksistenčen,11
pravosodje,11
močen,11
razred,11
perspektiva,11
delež,11
davek,11
problematika,11
20,11
kršitev,11
razumevanje,11
kazalec,11
sodelovanje,11
zaveza,11
objekt,11
dogodek,11
teza,11
deležen,11
zaščita,11
gradivo,11
breme,11
promet,11
odpreti,11
pozdraviti,11
učinkovitost,11
poudarjati,11
prioriteta,11
argumentacija,11
maga,11
organizacija,11
begunec,11
novel,11
smeti,11
zahteva,11
trenuten,11
prekinitev,11
delegacija,10
razen,10
slika,10
varčevalen,10
ime,10
vzgoja,10
koalicija,10
privoščiti,10
zapisan,10
temelj,10
prevoz,10
imenovan,10
voditi,10
dvigovati,10
prenos,10
simpatičen,10
izgradnja,10
bolje,10
izreči,10
zunanji,10
kultura,10
morebiten,10
najsi,10
ponudba,10
škoda,10
zujf,10
dodatek,10
argument,10
popolnoma,10
industrijski,10
rekoč,10
soočati,10
spremljati,10
zavedati,10
status,10
najti,10
problematičen,10
migracija,10
sporočati,10
razmislek,10
prinesti,10
upoštevati,10
konstruktiven,10
nasprotovati,10
osnova,10
upravljati,10
hiter,10
tikati,10
menda,10
sila,10
podporen,10
proračunski,10
delavec,10
enakost,10
sds,10
znajti,10
2017,10
primaren,10
vsebina,10
tehničen,10
kakršenkoli,10
kakorkoli,10
poraba,10
ukvarjati,10
govorilo,10
dvakrat,10
računski,10
razlika,10
praktičen,10
pravilnik,10
določati,10
kapital,10
posvetiti,10
pretiran,10
številka,9
investicijski,9
čist,9
plačilo,9
uresničevati,9
neizvedljiv,9
dopolnilen,9
naslavljati,9
proizvod,9
izkušnja,9
podjetnik,9
stabilen,9
številen,9
zaključen,9
doseganje,9
sekretar,9
dneven,9
nerazumljiv,9
logika,9
breznik,9
deliti,9
voda,9
preko,9
tir,9
upravičenec,9
glaven,9
napaka,9
prebrati,9
izpostaviti,9
cenjen,9
poročiti,9
deležnik,9
diskriminacija,9
pol,9
reševanje,9
predstavljen,9
soroden,9
mednaroden,9
oblika,9
vključevati,9
prejšnji,9
opredelitev,9
sum,9
razpis,9
infrastrukturen,9
služben,9
ohranjanje,9
nanašati,9
dijak,9
norma,9
odgovoren,9
prihodnji,9
internacionalizacija,9
pokojnina,9
oblast,9
karieren,9
pogodba,9
računati,9
enoten,9
posamezen,9
boriti,9
dovoljen,9
proceduralen,9
zanimiv,9
poleg,9
kriv,9
odveč,9
revščina,9
2016,9
kazen,9
kazenski,9
živ,9
razpolaga,9
tujina,9
ideja,9
razum,9
seznaniti,9
gozd,9
stabilnost,9
revizija,9
tokrat,9
star,9
načrt,9
krepitev,9
akt,8
povzročiti,8
kadar,8
spremeniti,8
otroški,8
član,8
volja,8
greda,8
namenjen,8
ohranjati,8
spomniti,8
opravljanje,8
realnost,8
marsikdo,8
marsikaj,8
tveganje,8
kontekst,8
preprečevanje,8
dokument,8
