Beseda,Števec
biti,3675
ta,2933
jesti,2358
in,1494
da,1341
v,1329
se,1227
ki,928
na,870
za,727
pa,700
ne,682
tudi,534
on,478
jaz,408
o,343
imeti,335
če,314
še,313
s,313
kot,311
slovenija,307
tak,302
ali,293
ko,288
ves,267
nek,246
vlada,246
ampak,244
kar,236
ker,229
zdaj,227
banka,214
z,212
tisti,203
po,203
že,198
sam,197
tukaj,188
iti,185
lahek,183
država,183
potem,181
drug,179
velik,178
problem,174
nekaj,170
iz,169
oda,169
kateri,154
let,152
pač,150
misliti,150
danes,149
stvar,145
slovenski,141
do,134
državen,134
človek,133
zelo,130
kaj,130
vedeti,128
čas,127
zaradi,125
takrat,122
priti,121
kakšen,120
evropski,119
situacija,119
reklo,118
kak,116
treba,112
en,111
sem,111
noben,111
pri,109
glede,108
kjer,108
več,107
vprašanje,104
prej,103
takšen,100
pravi,98
del,98
narediti,98
pred,96
naš,95
predsednik,94
dva,92
seveda,91
zakon,89
nadzor,87
dan,86
kdo,83
stran,81
stranka,81
nov,80
sedaj,79
ozir,78
govoriti,77
meja,77
gospoda,76
prvi,75
predlagati,75
naprej,75
političen,74
beseda,73
ti,72
vsak,72
komisija,72
bolj,72
tam,72
videti,71
nič,69
dobiti,69
sodišče,69
zbor,68
slišati,68
resen,67
ustaven,67
leto,66
evropa,66
zato,66
–,66
mogoč,64
zadnji,64
svoj,61
morala,61
tu,61
sredstvo,61
pripravljen,61
dober,60
tisoč,59
vsaj,59
razprava,59
med,58
si,58
minister,57
potreben,57
bančen,56
naslednji,56
torej,55
denar,55
naj,55
služba,55
številka,55
zadeva,54
dolg,54
val,54
bistven,53
reči,53
očiten,53
isti,53
možen,53
odgovor,52
vedno,52
enak,52
breza,52
institucija,51
konec,51
pomemben,50
raven,50
obstajati,49
nit,49
dati,49
ustava,49
nekateri,49
sicer,48
nihče,48
jasen,48
dogajati,48
hrvaški,47
neposreden,46
volitve,46
nad,46
podatek,46
podjetje,45
manj,45
ukrep,45
sklep,44
gospod,44
parlament,44
teden,43
ostal,43
vendar,43
morati,43
dejanski,42
koalicija,42
finančen,42
začeti,42
mora,41
računski,41
slab,40
svet,40
javen,39
sanacija,39
stanje,39
mali,39
rečen,39
proti,39
posledica,39
pogledati,39
pričakovati,39
sistem,39
večina,38
čez,38
kolik,38
konkreten,38
zgoditi,38
ključen,38
sprememba,38
gledati,37
parlamentaren,37
ljubljanski,37
prejšnji,37
verjeten,37
tikati,37
mednaroden,36
cel,36
zveza,36
povedati,36
nekdo,36
govorilo,36
točka,36
kriza,35
rezultat,35
pravica,35
mesec,35
predvsem,35
odločitev,35
seja,34
delati,34
primer,34
stališče,34
način,34
policija,34
čeprav,34
hoteti,34
kljub,34
tolik,33
red,32
sploh,32
nastal,32
sila,32
sprejet,32
reševati,32
sprejeti,32
mnenje,32
ukvarjati,32
enostaven,31
rešitev,31
moj,31
odgovoren,31
nadaljevanje,30
drugače,30
predlog,30
govor,30
enkrat,30
poslanec,30
glasovati,30
zahteva,30
politika,29
zunanji,29
smer,29
začetek,29
delovati,29
bit,29
varnost,29
opozicija,29
vaš,29
piš,29
delo,28
glaven,28
davkoplačevalec,28
podoben,28
skušati,28
predstavljati,28
interes,28
res,28
tehničen,28
razpravljati,28
vladen,27
moči,27
prihajati,27
saj,27
unija,27
mesto,27
ob,27
podlaga,27
odgovornost,27
roka,27
praven,27
ura,27
prvič,27
razen,26
ever,26
zgolj,26
republika,26
luknja,26
kje,26
posebej,26
eden,26
drugačen,26
število,26
bivši,26
mandati,26
kandidat,25
težek,25
račun,25
plača,25
resolucija,25
kasneje,25
pod,25
pot,25
zakaj,25
vojen,25
javnost,24
podpora,24
