Priimek,Števec
prikl,3
tomić,2
trček,19
ban,0
cink,0
ferluga,3
kavčič,1
kotnik,0
prelog,0
ranc,1
šergan,0
zorčič,1
dekleva,1
brglez,0
košnik,0
horvat,6
koleša,0
kramar,0
matić,2
murgel,1
rajić,0
shaker,4
dolinšek,3
škodnik,0
škopac,3
zajc,1
zorman,3
gantar,5
hainz,1
hršak,1
kotnik,0
levičar,3
battelli,2
breznik,11
brinovšek,4
grims,14
irgl,8
lep,681
logar,18
mahnič,8
podkrajšek,0
pojbič,21
šircelj,12
muršič,1
nemec,3
horvat,6
vrtovec,3
kovačič,0
hanžek,2
kordiš,2
škoberne,0
vilfan,1
veber,7
krajnc,0
janša,62
göncz,0
tanko,137
novak,8
han,17
sluga,1
tonin,42
jurša,22
gorenak,72
vervega,0
potočnik,4
kopmajer,0
žibert,18
godec,3
krivec,14
lisec,18
pogačnik,13
žnidar,10
dimic,5
tašner,0
bizjak,1
lipicer,4
möderndorfer,21
verbič,10
mesec,243
čuš,2
laj,1
ljubič,0
počkaj,0
bratušek,18
lah,21
dobovšek,9
bačič,0
klanjšček,1
radič,0
tabaković,0
