Priimek,Števec
prikl,7
tomić,1
trček,6
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,0
košnik,2
horvat,0
koleša,3
kramar,0
matić,2
murgel,1
rajić,0
shaker,0
dolinšek,1
škodnik,0
škopac,0
zajc,1
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,1
grims,1
irgl,0
lep,98
logar,0
mahnič,3
podkrajšek,0
pojbič,2
šircelj,0
muršič,0
nemec,0
horvat,0
vrtovec,1
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,3
göncz,0
tanko,3
novak,0
han,2
sluga,0
tonin,0
jurša,0
gorenak,3
vervega,0
potočnik,0
kopmajer,0
žibert,1
godec,0
krivec,0
lisec,2
pogačnik,0
žnidar,0
dimic,0
tašner,0
bizjak,1
lipicer,0
möderndorfer,4
verbič,0
mesec,34
čuš,1
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,4
dobovšek,1
bačič,0
klanjšček,1
radič,0
tabaković,0
