Priimek,Števec
prikl,2
tomić,2
trček,0
ban,0
cink,0
ferluga,2
kavčič,1
kotnik,2
prelog,1
ranc,0
šergan,0
zorčič,2
dekleva,1
brglez,0
košnik,2
horvat,8
koleša,0
kramar,8
matić,2
murgel,2
rajić,2
shaker,2
dolinšek,2
škodnik,0
škopac,0
zajc,0
zorman,2
gantar,2
hainz,1
hršak,0
kotnik,2
levičar,0
battelli,0
breznik,14
brinovšek,0
grims,3
irgl,2
lep,134
logar,2
mahnič,7
podkrajšek,2
pojbič,3
šircelj,7
muršič,0
nemec,0
horvat,8
vrtovec,1
kovačič,0
hanžek,0
kordiš,1
škoberne,0
vilfan,2
veber,1
krajnc,0
janša,10
göncz,2
tanko,4
novak,1
han,1
sluga,2
tonin,29
jurša,6
gorenak,4
vervega,2
potočnik,0
kopmajer,3
žibert,4
godec,2
krivec,1
lisec,0
pogačnik,7
žnidar,3
dimic,2
tašner,0
bizjak,2
lipicer,1
möderndorfer,0
verbič,1
mesec,15
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,1
lah,0
dobovšek,0
bačič,0
klanjšček,0
radič,0
tabaković,0
