Priimek,Števec
prikl,1
tomić,0
trček,2
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,0
brglez,1
košnik,0
horvat,1
koleša,0
kramar,0
matić,0
murgel,1
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,4
brinovšek,0
grims,1
irgl,1
lep,100
logar,0
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,0
horvat,1
vrtovec,0
kovačič,0
hanžek,0
kordiš,0
škoberne,0
vilfan,0
veber,0
krajnc,0
janša,2
göncz,0
tanko,0
novak,0
han,0
sluga,0
tonin,1
jurša,0
gorenak,8
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,12
lisec,0
pogačnik,0
žnidar,1
dimic,1
tašner,0
bizjak,0
lipicer,0
möderndorfer,2
verbič,0
mesec,16
čuš,0
laj,0
ljubič,0
počkaj,0
bratušek,2
lah,0
dobovšek,3
bačič,0
klanjšček,0
radič,0
tabaković,0
