Beseda,Števec
biti,2390
ta,1902
jesti,1666
da,1553
in,1434
v,1041
se,865
za,795
ki,756
na,747
ne,716
tudi,583
o,548
on,495
pa,392
imeti,390
zakon,332
jaz,330
če,308
sodišče,304
kot,280
ali,274
ampak,266
kar,262
s,252
lahek,249
sam,242
državen,236
ker,235
že,229
ves,227
pač,226
še,210
tak,208
tisti,197
pravica,184
zadeva,172
kaj,171
zato,171
tukaj,169
po,168
torej,164
postopek,163
z,163
soden,161
potem,156
zelo,147
zdaj,147
pravosodje,144
svet,142
zbor,141
drug,141
kateri,137
predlog,136
iz,134
sem,130
vedeti,122
en,119
svoj,116
iti,116
človekov,112
mora,112
slovenija,109
sodnik,108
velik,107
nek,105
sodniški,105
ko,104
do,101
predlagati,101
lep,100
sprememba,98
država,97
moči,96
pri,96
sklep,94
člen,94
praven,94
nekaj,93
si,92
treba,91
poslovnik,90
dejanje,90
danes,89
sprejeti,89
pomemben,87
–,87
povedati,86
poslanec,85
odločati,84
misliti,84
kolega,82
ugotoviti,81
morati,80
mnenje,80
evropski,79
primer,79
naj,76
oda,76
sploh,75
nekdo,75
izvršba,74
podlaga,73
skupina,71
sicer,70
naš,70
področje,69
funkcija,69
takšen,68
glede,68
reči,67
vprašanje,67
predsednik,66
potreben,66
kazenski,66
vrhoven,65
diskriminacija,65
kazniv,64
del,64
razpravljati,64
dati,63
moj,63
seveda,62
dober,62
zakaj,62
ti,62
pogoj,61
morda,61
želeti,60
meniti,60
konkreten,60
odločiti,59
kršitev,59
obstajati,58
minister,58
oseba,58
določen,58
hvala,58
ministrstvo,58
pred,57
poslanski,57
služba,57
javen,56
možnost,56
ja,56
mednaroden,56
kakšen,56
reklo,56
enkrat,56
odločitev,56
sodstvo,56
let,56
zdeti,55
sistem,55
odbor,54
način,54
kak,54
spoštovan,54
res,54
več,53
zaradi,53
republika,53
političen,53
stranka,53
proti,51
oseben,51
bit,51
k,50
govoriti,50
seja,49
priti,49
ozir,49
oblast,49
komisija,48
ugotavljati,48
sprejet,48
sedaj,48
organ,48
zakonik,48
pomen,46
varstvo,46
delati,46
rešitev,46
mali,46
ustaven,46
pristojnost,46
stečaj,46
točka,46
problem,46
strinjati,45
okvir,45
kolegica,45
pravi,45
saj,45
tu,45
razprava,45
korupcija,44
beseda,44
narediti,44
razlog,43
predvsem,43
praksa,42
določati,42
vlada,42
parlament,41
nekak,41
mogoč,41
podpreti,40
pogledati,40
podati,40
obravnavati,40
skupnost,39
dejanski,39
ustrezen,39
čas,39
glasovati,39
vedno,39
določba,38
nov,38
namen,38
dolžnik,38
red,38
slovenski,38
upnik,38
videti,37
kandidat,37
dejstvo,37
nit,37
prvi,37
resolucija,37
dobiti,37
sredstvo,37
tam,37
priporočiti,37
poročilo,37
spet,36
shod,36
soglasje,36
upoštevati,36
celoten,36
večina,35
vsak,35
veljati,35
noben,35
smeti,35
zakonodaja,35
strokoven,34
stvar,34
nekateri,34
narobe,33
veja,33
kjer,33
