Priimek,Števec
prikl,4
tomić,1
trček,17
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,3
dekleva,5
brglez,0
košnik,0
horvat,0
koleša,0
kramar,0
matić,7
murgel,0
rajić,0
shaker,0
dolinšek,2
škodnik,0
škopac,0
zajc,0
zorman,15
gantar,6
hainz,4
hršak,0
kotnik,0
levičar,1
battelli,0
breznik,0
brinovšek,0
grims,0
irgl,0
lep,259
logar,0
mahnič,0
podkrajšek,0
pojbič,3
šircelj,0
muršič,0
nemec,2
horvat,0
vrtovec,0
kovačič,0
hanžek,1
kordiš,1
škoberne,4
vilfan,1
veber,2
krajnc,0
janša,19
göncz,3
tanko,1
novak,2
han,0
sluga,2
tonin,0
jurša,4
gorenak,2
vervega,0
potočnik,2
kopmajer,0
žibert,0
godec,2
krivec,3
lisec,1
pogačnik,0
žnidar,1
dimic,1
tašner,0
bizjak,0
lipicer,1
möderndorfer,13
verbič,0
mesec,116
čuš,4
laj,2
ljubič,0
počkaj,0
bratušek,10
lah,0
dobovšek,0
bačič,2
klanjšček,3
radič,0
tabaković,0
