Beseda,Števec
biti,8003
da,5668
ta,5317
in,4367
jesti,4247
v,3414
se,3034
na,2583
ne,2145
pa,2059
za,2038
tudi,1897
ki,1623
jaz,1548
o,1116
ves,1105
tak,1077
on,1014
imeti,958
s,946
ozir,855
ali,824
še,745
če,726
kot,718
zakon,674
z,664
sam,649
že,636
kar,635
zadeva,633
govoriti,622
lahek,612
potem,599
ker,589
ampak,580
torej,579
tisti,570
misliti,558
let,534
ti,527
danes,517
kaj,508
do,500
ministrstvo,470
vedeti,453
iti,440
področje,440
po,440
sem,429
ko,427
reklo,404
zdaj,401
oda,382
pri,379
povedati,379
drug,367
iz,353
vlada,340
slovenija,336
kak,322
glede,322
sklep,320
bistvo,319
en,317
otrok,315
naprej,310
javen,305
velik,305
takšen,299
več,294
dober,293
nekaj,293
res,287
tukaj,282
šola,272
stran,272
mora,268
kakšen,260
seveda,259
lep,259
pomoč,259
zato,257
svoj,257
dva,254
dati,252
odbor,250
državen,250
seja,249
enkrat,249
–,247
nov,242
naš,241
narediti,240
zelo,235
sedaj,231
strinjati,227
določen,226
slovenski,223
treba,222
ministrica,222
del,222
priti,217
nič,215
kateri,215
želeti,214
šolstvo,213
hvala,213
pravilnik,210
predlagati,207
človek,207
nek,207
reči,206
čas,205
naj,205
socialen,204
gospoda,203
država,202
dobiti,199
zakaj,199
zanimati,197
ukrep,193
pravica,193
delati,190
vedno,188
si,186
nekateri,186
vendar,185
vprašanje,183
izobraževanje,183
mogoč,181
pač,180
zdravstven,179
sredstvo,177
univerza,177
program,176
namreč,172
beseda,171
prositi,170
člen,168
hkrati,167
konec,167
strokoven,165
moči,165
sprememba,165
razprava,164
verjeten,163
kjer,160
predlog,159
koalicija,157
zdravstvo,157
družina,157
stvar,157
center,156
stranka,155
gospa,155
zavod,155
problem,154
potreben,154
takrat,153
med,152
prvi,152
dan,152
vaš,152
dejati,150
pred,150
reč,149
mlad,146
kdo,145
zveza,144
upati,143
leto,141
gledati,140
mali,139
zbor,138
nekak,138
mena,136
slišati,136
primer,136
prav,136
služba,131
ustaven,130
slab,129
morati,129
zaradi,129
ostal,128
sistem,127
učitelj,127
republika,127
začeti,127
sicer,125
zakonski,124
nujen,124
opozarjati,123
bolj,122
delo,121
denar,120
mnenje,119
medicinski,119
predvsem,119
demokratski,118
vsak,117
dejavnost,117
mesec,116
enak,116
urgenten,116
tam,115
deloven,114
tikati,114
skupina,112
videti,111
referendum,110
moj,110
pravi,110
le,109
odgovor,108
predsednik,108
poslušati,108
visok,107
vsekakor,107
prej,107
težek,106
sodišče,106
cesta,106
govor,106
kolega,105
piš,104
gospod,103
pogledati,102
popolnoma,102
emuna,102
dogajati,101
verjeti,100
saj,100
pomen,100
minister,100
kje,99
ugotavljati,98
sindikat,98
morala,98
sploh,97
kdaj,97
bit,97
dodatek,97
ja,96
drugače,94
mesto,94
zdeti,93
praviti,93
poslanec,93
noben,93
gospodarstvo,92
kajti,91
vsaj,91
starš,91
zdravnik,90
pogoj,89
otroški,89
tolik,89
sprejet,88
vzgoja,88
prebrati,88
predlagatelj,88
naslednji,88
prihajati,87
ukca,87
pomemben,87
stališče,86
breza,86
ljubljana,86
osnoven,85
poudarjati,85
nadaljevanje,85
praznik,85
raven,84
star,83
podpreti,82
finančen,82
kolik,82
dom,82
nit,82
domoljubje,82
2013,81
ura,81
evropski,81
konkreten,81
poznati,81
točka,81
zaposlen,80
oseba,80
jasen,80
podpirati,79
različen,79
rešiti,79
ugotoviti,78
k,78
učen,78
financirati,77
dodaten,77
cel,76
pričakovati,76
tu,75
sprejeti,75
trije,75
javnost,74
razumeti,74
istospolen,74
rebalans,74
izmed,74
komisija,74
spremeniti,74
razvoj,74
izvajanje,74
razpis,73
razred,73
sistemski,73
direktor,73
spraševati,73
delovati,73
zadnji,73
financiranje,72
poslanski,72
projekt,71
zaposlovanje,71
hvalalep,71
nekje,70
nihče,70
zgoditi,70
vseeno,70
skupnost,69
milijon,69
poročilo,69
ob,69
prejšnji,69
svet,69
družinski,68
razpravljati,68
srednji,67
pogodba,67
zujf,67
ustava,67
daleč,66
plača,65
pripravništvo,65
problematika,64
isti,64
oba,64
namen,64
pripomba,64
organizacija,64
človekov,64
sza,63
predmet,63
vzeti,63
vprašati,63
najbolj,63
zaseben,63
razmerje,63
1,63
resolucija,62
2014,62
proti,62
kazati,62
proračun,62
urediti,61
20,61
stanje,60
analiza,60
možnost,59
končen,59
delovanje,59
spet,59
žal,59
občina,58
pomagati,58
varstven,58
tema,58
teren,57
vabiti,57
2015,56
ter,56
poseben,56
očiten,56
čim,56
tisoč,55
zagotoviti,55
pogovarjati,55
včeraj,55
postopek,54
kljub,54
način,54
izvajati,53
družba,53
normalen,52
odgovornost,52
10,52
posredovalec,52
obravnava,52
prehrana,51
podatek,51
načrt,51
varčevalen,51
omogočati,51
miza,51
število,51
točen,50
manj,50
podlaga,50
ponoven,49
medij,49
dovolj,49
smeti,49
odločba,49
brezposeln,49
predstavljati,49
včasih,49
reševati,49
raziskovalen,49
moški,49
minuta,48
najprej,48
urejen,48
postavka,48
vsebina,48
zmanjšati,48
odgovoriti,48
nenehen,48
zdravje,48
vsebinski,47
pripravljen,47
zapisan,47
dr,47
začetek,47
posledica,46
povedan,46
itd,46
2012,46
volonterski,46
čist,46
podjetje,46
zmanjševati,46
ženski,46
odgovarjati,46
zakonodaja,46
nacionalen,45
ukvarjati,45
mreža,45
dolg,45
štipendija,45
odrasel,45
no,45
pod,45
podati,44
amand,44
pozdrav,44
vesel,44
življenje,44
