Priimek,Števec
prikl,2
tomić,2
trček,9
ban,1
cink,0
ferluga,1
kavčič,0
kotnik,0
prelog,0
ranc,1
šergan,0
zorčič,1
dekleva,2
brglez,0
košnik,0
horvat,2
koleša,0
kramar,0
matić,0
murgel,0
rajić,0
shaker,1
dolinšek,0
škodnik,0
škopac,0
zajc,4
zorman,3
gantar,7
hainz,1
hršak,0
kotnik,0
levičar,1
battelli,0
breznik,2
brinovšek,1
grims,0
irgl,0
lep,244
logar,3
mahnič,0
podkrajšek,0
pojbič,0
šircelj,0
muršič,0
nemec,7
horvat,2
vrtovec,1
kovačič,0
hanžek,2
kordiš,0
škoberne,1
vilfan,1
veber,2
krajnc,0
janša,2
göncz,0
tanko,0
novak,4
han,6
sluga,3
tonin,2
jurša,6
gorenak,4
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,13
lisec,0
pogačnik,1
žnidar,2
dimic,0
tašner,0
bizjak,0
lipicer,1
möderndorfer,16
verbič,5
mesec,151
čuš,0
laj,1
ljubič,0
počkaj,0
bratušek,8
lah,1
dobovšek,3
bačič,0
klanjšček,0
radič,1
tabaković,0
