Beseda,Števec
biti,9046
ta,6586
jesti,5059
in,4748
da,4378
v,4363
se,3075
na,2626
za,2599
ne,2364
tudi,2339
pa,2143
ki,1983
jaz,1400
on,1207
imeti,1096
tak,1034
če,958
ampak,956
sam,943
še,940
slovenija,922
s,921
o,898
kot,879
ali,834
že,822
zaradi,819
z,764
lahek,743
ves,692
iti,692
en,686
zakon,648
kar,631
nov,628
ti,622
let,607
ozir,597
državen,590
vlada,586
država,565
naš,560
drug,551
do,547
po,544
iz,531
pri,520
ko,510
primer,501
ker,482
tukaj,472
sem,438
velik,434
dober,413
govoriti,413
gospoda,409
glede,402
zdravstven,398
torej,396
tisti,387
sistem,386
več,371
kaj,370
naprej,365
vedeti,357
–,353
namreč,349
človek,347
spoštovan,345
kolega,340
kak,339
kajti,337
potem,331
vprašanje,330
želeti,322
slovenski,321
ever,320
oda,317
javen,312
danes,308
zelo,304
svoj,302
pravi,301
stvar,301
evropski,299
dejati,296
predlog,296
seja,291
res,291
predvsem,289
kolegica,287
prav,284
kateri,281
zdaj,276
zbor,274
minister,272
vaš,271
banka,270
naj,270
del,269
kakšen,269
stran,267
seveda,263
saj,262
problem,261
dejanski,254
morati,254
čas,253
priti,252
sicer,248
predlagati,247
lep,244
pravica,240
nekaj,237
gospa,236
si,232
ob,232
republika,231
gospod,225
predsednik,223
sodišče,221
razprava,221
enkrat,220
ministrica,219
vedno,210
pred,208
področje,207
podjetje,206
dati,205
koalicija,204
ministrstvo,202
narediti,201
podpreti,200
denar,198
treba,197
poslanec,196
leto,196
milijon,195
mora,194
dobiti,194
sklep,193
moči,193
nič,189
potreben,189
takšen,186
določen,186
konec,184
med,183
dutba,182
finančen,181
izmed,180
reklo,178
političen,177
stranka,175
postopek,173
sredstvo,170
zakaj,170
misliti,169
pač,169
slab,168
nek,168
težava,167
dva,167
dan,167
mnenje,166
proračun,166
bit,165
rešitev,162
pomemben,162
kdo,161
zavarovanje,160
bančen,159
zadnji,158
kazati,156
povedati,154
gospodarstvo,153
bistvo,153
mesec,151
poudarjati,151
pogledati,149
hvala,149
videti,148
strinjati,148
le,147
bolj,146
prvi,146
občina,144
podlaga,143
dejstvo,143
morala,140
odgovornost,139
odbor,138
popolnoma,138
tikati,138
volilen,138
sprememba,137
način,137
odgovor,136
zavod,135
hvalaspoštovan,134
razlog,133
skupina,133
breza,133
takrat,133
sploh,132
nadaljevanje,131
ukrep,130
tisoč,127
ključen,127
poslanski,127
gospodarski,126
kljub,126
sprejeti,125
zakonodaja,124
moj,124
nekak,124
začeti,124
reči,123
komisija,123
unija,123
ter,123
podatek,122
k,121
svet,120
sedaj,120
razumeti,118
pogovarjati,118
pomen,118
spet,116
nekateri,116
družba,116
zato,115
politika,114
storitev,114
možnost,112
celoten,112
nadalje,111
noben,111
ostal,111
dodaten,110
javnost,110
kjer,110
uprava,109
gledati,109
naslednji,109
migrant,108
raven,107
prej,107
nadzor,106
njihov,106
imenovan,105
meja,104
delati,102
verjeti,102
nekdo,102
krščanski,102
rad,102
vrsta,101
delo,99
upati,99
isti,99
problematika,98
hkrati,98
ustaven,97
mesto,97
preteklost,96
tir,96
projekt,95
opozarjati,94
potrebovati,94
nemčija,94
odgovoren,94
trenutek,94
reforma,94
konkreten,94
državljan,93
plača,93
nazaj,93
vsaj,92
vsak,92
priporočiti,92
sprejet,91
ponoven,91
visok,91
praviti,90
podizvajalec,90
dogajati,90
omeniti,89
sklad,89
vrednost,89
kolik,88
zadeva,87
posledica,86
slišati,86
spraševati,86
prihajati,85
zanimati,85
poudariti,85
demokrat,83
današnji,83
oseba,83
dolg,83
direktor,83
trije,83
kriza,83
nujen,83
milijarda,82
morda,82
delovanje,81
praven,81
člen,80
mlad,80
predstavnik,80
pripravljen,79
predstavljati,79
sekretar,79
medij,78
račun,78
policija,78
tožilstvo,78
situacija,78
državljanka,77
kje,77
računski,77
zdravstvo,77
pogoj,77
poročilo,77
stališče,76
tu,76
terjatev,76
zaupanje,76
skozi,76
tam,76
amand,75
izvajalec,75
finance,75
žal,75
govorilo,75
težek,74
služba,74
red,74
različen,74
spremeniti,74
začetek,74
število,74
zgolj,73
razpis,72
nadaljevati,72
davčen,72
ja,72
odločiti,72
odločitev,72
luknja,71
davkoplačevalec,71
tovrsten,70
veljati,70
nad,70
sistemski,70
malce,70
zgoditi,70
bistven,70
korupcija,70
pol,70
najprej,69
cena,69
pričakovati,69
tolik,69
strokoven,68
mali,68
begunec,68
cesta,68
namen,68
dejanje,68
plačevati,68
okvir,67
hoteti,67
človekov,67
podjetnik,66
zagotoviti,66
sektor,66
načrt,66
enak,66
stanje,65
proti,65
učinkovit,65
vladen,65
otrok,65
premoženje,65
jasen,65
telek,65
predlagatelj,64
sd,64
izvoliti,64
resen,64
cel,64
spomniti,64
organizacija,64
mnog,64
migrantski,64
infrastruktura,63
zaseben,63
varnost,63
kredit,63
eden,63
poznati,63
izguba,62
član,62
dovolj,62
izpostaviti,62
prejšnji,62
2014,61
funkcija,61
tujina,61
10,61
odnos,61
razpravljati,61
prositi,60
omenjen,60
oseben,60
najbolj,60
nit,60
priložnost,60
zdravje,60
investicija,59
mena,59
manj,59
trd,59
preiskava,59
rok,59
cilj,59
socialen,59
