Priimek,Števec
prikl,4
tomić,2
trček,2
ban,0
cink,0
ferluga,0
kavčič,2
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,4
dekleva,0
brglez,13
košnik,1
horvat,68
koleša,1
kramar,0
matić,22
murgel,15
rajić,1
shaker,3
dolinšek,3
škodnik,0
škopac,0
zajc,0
zorman,2
gantar,7
hainz,4
hršak,0
kotnik,0
levičar,2
battelli,0
breznik,18
brinovšek,0
grims,4
irgl,7
lep,687
logar,18
mahnič,0
podkrajšek,0
pojbič,1
šircelj,14
muršič,0
nemec,5
horvat,68
vrtovec,0
kovačič,0
hanžek,25
kordiš,0
škoberne,1
vilfan,1
veber,17
krajnc,0
janša,311
göncz,1
tanko,6
novak,1
han,26
sluga,0
tonin,8
jurša,11
gorenak,19
vervega,0
potočnik,0
kopmajer,1
žibert,1
godec,0
krivec,2
lisec,2
pogačnik,9
žnidar,0
dimic,1
tašner,0
bizjak,0
lipicer,20
möderndorfer,75
verbič,13
mesec,184
čuš,1
laj,5
ljubič,0
počkaj,0
bratušek,66
lah,0
dobovšek,38
bačič,0
klanjšček,0
radič,0
tabaković,0
