Beseda,Števec
biti,16697
ta,14166
jesti,9982
in,8937
da,8364
v,6887
se,5861
na,5183
ki,5102
ne,4525
za,4509
pa,3580
tudi,3423
ali,2721
on,2635
tak,2422
državen,2320
jaz,2273
o,2196
imeti,1945
zbor,1927
kar,1833
če,1717
vlada,1661
s,1650
tisti,1554
kot,1532
predsednik,1520
z,1497
zakon,1470
ves,1464
drug,1448
ker,1314
nek,1305
zadeva,1299
ti,1260
pri,1243
predlagati,1239
komisija,1224
sam,1139
še,1133
lahek,1127
ko,1122
gospoda,1094
en,1015
stvar,999
postopek,997
po,939
potem,931
seja,905
iti,897
ampak,890
del,881
noben,854
do,840
način,840
pač,788
primer,783
misliti,777
oda,771
poslanec,765
kakšen,746
problem,739
zdaj,732
kaj,726
iz,717
razprava,713
mnenje,707
vedeti,695
lep,687
predlog,672
država,671
točka,660
že,658
velik,658
povedati,640
kateri,632
ozir,626
skupina,624
nekaj,595
sem,586
nič,583
govoriti,579
pravi,574
narediti,572
zato,564
glede,556
nit,552
naprej,549
minister,541
sklep,538
mandatnovolilen,534
vprašanje,533
svoj,531
sodišče,524
praven,515
najbrž,513
poslanski,513
red,504
čas,503
sedaj,498
treba,493
področje,488
služba,484
pravica,478
mora,474
priti,473
beseda,463
več,455
koalicija,437
odločitev,431
nekateri,426
dneven,423
ustaven,421
naš,409
dobiti,406
dati,397
–,397
zgoditi,396
tukaj,395
mandati,393
slovenija,390
javen,385
hvala,383
kak,382
dva,364
si,350
tu,342
poslovnik,340
morala,339
takrat,338
odgovor,335
soden,331
člen,330
tam,328
stranka,321
slovenski,320
sistem,313
janša,311
pred,311
vaš,304
isti,300
človekov,300
podlaga,298
naj,298
zelo,295
dober,294
nekdo,293
janez,289
ugotoviti,288
proračun,288
lepahvala,287
očiten,285
oseba,284
prej,283
let,282
političen,282
deloven,270
bit,265
stališče,264
ukrep,263
prav,261
pogledati,260
kdo,259
nadzor,259
določen,257
med,256
rešitev,256
svet,255
ostal,255
razlog,254
zakaj,252
moči,252
funkcija,249
odločati,248
korupcija,247
storiti,246
morati,245
reči,245
gospod,245
zdeti,244
popolnoma,243
banka,243
zakonodajnopraven,243
cel,237
danes,237
ustava,237
dan,237
zaradi,234
dodaten,232
drugače,231
določba,229
telo,228
institucija,228
pomemben,228
podatek,227
pomen,227
sprejeti,224
dogajati,223
potreben,221
nihče,217
sprememba,216
proti,215
delo,213
k,213
nadaljevanje,212
predvsem,210
pričakovati,210
bančen,208
predsedujoč,208
sploh,207
dr,207
odločiti,207
izjava,204
osnova,203
videti,202
pravzaprav,202
stran,201
kandidat,200
glasovati,199
trije,199
prejšnji,199
strokoven,198
nov,197
drugačen,195
glasovanje,193
preprečevanje,192
obravnava,192
član,191
spraševati,189
prebrati,188
izmed,188
ob,188
kjer,186
takšen,186
morda,186
podpreti,185
dokument,185
povezan,184
mesec,184
prvi,183
vsak,182
želeti,182
reklo,181
vsaj,180
stanje,180
enak,179
pripraviti,178
predlagatelj,177
opozorilo,177
preiskovalen,176
karkoli,175
ukvarjati,173
pogoj,173
gospa,173
kolega,172
opozoriti,170
republika,170
posledica,169
zahteva,169
veljati,169
delati,167
sprejet,167
človek,167
nad,166
evropski,166
edin,164
sicer,163
težek,162
mandat,162
ključen,162
sklad,161
zahtevati,159
hoteti,158
dejanje,157
koalicijski,157
akt,156
opraviti,156
zapisan,155
obravnavati,155
gradivo,155
praktičen,154
razpravljati,154
procesen,153
napisati,153
vrhoven,152
enostaven,152
kriterij,152
slab,152
kpka,152
torej,151
naslednji,151
možen,148
vedno,146
dejstvo,146
pravosodje,146
raven,146
razen,146
početi,146
obrazložitev,145
enkrat,145
moj,144
izreden,143
breza,143
govor,142
žal,142
razumeti,141
zveza,141
poročilo,141
ureditev,141
praviti,141
tolik,141
spoštovan,140
vendar,139
čist,139
opravljati,137
politika,136
najprej,136
bistvo,136
obdobje,136
napisan,135
odgovornost,135
ever,135
njegov,134
povsem,133
pojasniti,133
ravnanje,130
posamezen,130
vladen,130
sistemski,130
nujen,130
klemenčič,129
poseben,129
jasen,129
manj,128
večina,128
mena,127
konkreten,127
projekt,127
možnost,126
drža,126
finance,126
sredstvo,125
javnost,124
primeren,124
eden,124
voditi,123
referendum,123
korekten,123
spremeniti,123
odločanje,123
podoben,122
dejanski,120
res,120
odgovoriti,120
senat,120
konec,120
zagotoviti,118
bolj,118
prositi,117
ministrica,117
izvajati,117
posebej,117
vložiti,115
praksa,115
piš,115
kolik,114
skratka,114
nanašati,114
sodelovati,114
odbor,113
ura,113
varuh,113
rad,113
ustrezen,112
kdorkoli,112
mesto,112
podpis,111
izpeljati,111
urediti,109
gospodarski,109
leto,109
vsebinski,108
gledati,108
obstajati,107
situacija,107
predloga,107
predstavnik,107
saj,106
mali,106
vprašati,106
zavrniti,106
uvrstiti,106
neprimeren,106
funkcionar,105
kakorkoli,105
milijon,105
kršiti,105
pod,105
katerikoli,104
tretji,104
težava,103
dolžen,103
narejen,102
cerar,102
govorilo,102
bistven,102
kršitev,101
kljub,101
finančen,100
reč,100
točen,99
zakonodaja,99
narobe,99
