Priimek,Števec
prikl,9
tomić,2
trček,29
ban,7
cink,3
ferluga,95
kavčič,25
kotnik,12
prelog,1
ranc,2
šergan,18
zorčič,2
dekleva,9
brglez,35
košnik,2
horvat,26
koleša,5
kramar,21
matić,12
murgel,3
rajić,38
shaker,50
dolinšek,5
škodnik,4
škopac,2
zajc,17
zorman,11
gantar,6
hainz,3
hršak,1
kotnik,12
levičar,8
battelli,1
breznik,21
brinovšek,1
grims,47
irgl,1
lep,1361
logar,93
mahnič,19
podkrajšek,1
pojbič,0
šircelj,111
muršič,6
nemec,79
horvat,26
vrtovec,7
kovačič,2
hanžek,1
kordiš,17
škoberne,7
vilfan,17
veber,10
krajnc,9
janša,46
göncz,3
tanko,5
novak,5
han,3
sluga,9
tonin,2
jurša,8
gorenak,7
vervega,10
potočnik,27
kopmajer,8
žibert,5
godec,5
krivec,8
lisec,5
pogačnik,29
žnidar,11
dimic,6
tašner,41
bizjak,27
lipicer,0
möderndorfer,17
verbič,11
mesec,181
čuš,9
laj,4
ljubič,0
počkaj,0
bratušek,72
lah,10
dobovšek,8
bačič,6
klanjšček,11
radič,0
tabaković,2
