Priimek,Števec
prikl,1
tomić,4
trček,1
ban,0
cink,0
ferluga,0
kavčič,0
kotnik,0
prelog,0
ranc,0
šergan,0
zorčič,0
dekleva,1
brglez,0
košnik,0
horvat,0
koleša,1
kramar,0
matić,18
murgel,0
rajić,0
shaker,0
dolinšek,0
škodnik,0
škopac,0
zajc,0
zorman,0
gantar,0
hainz,0
hršak,0
kotnik,0
levičar,0
battelli,0
breznik,0
brinovšek,0
grims,1
irgl,2
lep,107
logar,1
mahnič,0
podkrajšek,1
pojbič,0
šircelj,0
muršič,1
nemec,3
horvat,0
vrtovec,0
kovačič,0
hanžek,0
kordiš,1
škoberne,1
vilfan,3
veber,0
krajnc,0
janša,6
göncz,4
tanko,1
novak,2
han,0
sluga,3
tonin,0
jurša,0
gorenak,0
vervega,0
potočnik,0
kopmajer,0
žibert,0
godec,0
krivec,0
lisec,0
pogačnik,1
žnidar,1
dimic,0
tašner,0
bizjak,0
lipicer,1
möderndorfer,1
verbič,0
mesec,26
čuš,2
laj,0
ljubič,0
počkaj,0
bratušek,0
lah,1
dobovšek,0
bačič,1
klanjšček,5
radič,0
tabaković,1
